,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
20157,29,10.0,,10.5,,7.0,0.0,,,,,,8.7,,,12.0,,6.6,2.0,,,6.0,4.4,,7.0,14.0,,,,,,,8.0,,10.8,-19.0,,-18.5,,-22.0,-29.0,,,,,,-20.3,,,-17.0,,-22.4,-27.0,,,-23.0,-24.6,,-22.0,-15.0,,,,,,,-21.0,,-18.2,,True,,False,False,,,,,,False,,,True,,False,False,,,False,False,,False,True,,,,,,,False,,True
20159,28,20.0,,20.0,,20.0,22.0,,,,,,12.8,,,21.0,,39.8,5.8,,,13.0,10.9,,24.0,4.0,,,,,,,13.0,,23.6,-8.0,,-8.0,,-8.0,-6.0,,,,,,-15.2,,,-7.0,,11.8,-22.1,,,-15.0,-17.1,,-4.0,-24.0,,,,,,,-15.0,,-4.4,,True,,False,True,,,,,,False,,,True,,False,False,,,False,False,,True,False,,,,,,,False,,True
20161,183,103.0,,101.7,,103.0,122.0,,,,,,114.5,,,207.0,,103.3,36.9,58.0,,66.0,54.2,,118.0,71.0,,,,103.9,,,28.0,,103.0,-80.0,,-81.3,,-80.0,-61.0,,,,,,-68.5,,,24.0,,-79.7,-146.1,-125.0,,-117.0,-128.8,,-65.0,-112.0,,,,-79.1,,,-155.0,,-80.0,,False,,False,True,,,,,,True,,,True,,True,False,False,,False,False,,True,False,,,,True,,,False,,True
20163,29,18.0,,22.8,,14.0,5.0,,,,,,15.4,,,15.0,,14.2,2.0,,,13.0,8.6,,18.0,21.0,,,,,,,12.0,,16.5,-11.0,,-6.2,,-15.0,-24.0,,,,,,-13.6,,,-14.0,,-14.8,-27.0,,,-16.0,-20.4,,-11.0,-8.0,,,,,,,-17.0,,-12.5,,True,,False,False,,,,,,False,,,False,,False,False,,,False,False,,False,True,,,,,,,False,,False
20165,10,0.0,,0.0,,0.0,0.0,,,,,,4.7,,,9.0,,0.3,2.8,,,5.0,0.0,,,1.0,,,,,,,0.0,,5.2,-10.0,,-10.0,,-10.0,-10.0,,,,,,-5.3,,,-1.0,,-9.7,-7.2,,,-5.0,-10.0,,,-9.0,,,,,,,-10.0,,-4.8,,False,,False,False,,,,,,True,,,True,,True,True,,,True,True,,,True,,,,,,,False,,True
20167,58,36.0,,39.0,,21.0,7.0,,,,,,31.5,,,21.0,,25.7,7.1,,,19.0,13.1,,36.0,59.0,,,,,,,26.0,,34.6,-22.0,,-19.0,,-37.0,-51.0,,,,,,-26.5,,,-37.0,,-32.3,-50.9,,,-39.0,-44.9,,-22.0,1.0,,,,,,,-32.0,,-23.4,,True,,False,False,,,,,,False,,,False,,False,False,,,False,False,,False,True,,,,,,,False,,False
20169,181,103.0,,100.2,,102.0,113.0,,,,,,93.8,,,127.0,,121.5,52.4,98.5,,72.0,61.1,,130.0,59.0,,,,101.1,,,65.0,,131.4,-78.0,,-80.8,,-79.0,-68.0,,,,,,-87.2,,,-54.0,,-59.5,-128.6,-82.5,,-109.0,-119.9,,-51.0,-122.0,,,,-79.9,,,-116.0,,-49.6,,False,,False,True,,,,,,False,,,True,,True,False,False,,False,False,,True,False,,,,False,,,False,,True
20171,44,11.0,,8.9,,9.0,7.0,,,,,,17.4,,,26.0,,7.0,4.3,,,6.0,10.0,,11.0,8.0,,,,,,,6.0,,11.3,-33.0,,-35.1,,-35.0,-37.0,,,,,,-26.6,,,-18.0,,-37.0,-39.6,,,-38.0,-34.0,,-33.0,-36.0,,,,,,,-38.0,,-32.7,,False,,False,False,,,,,,True,,,True,,False,False,,,False,False,,False,False,,,,,,,False,,True
20173,2700,1460.0,,1475.3,1441.1,1468.0,1874.0,,,,,,1659.2,,,880.0,,1155.7,654.0,1051.5,,1678.0,1756.8,,1569.0,1239.0,,,,1256.1,1526.0,,1373.0,,1640.5,-1240.0,,-1224.7,-1258.9,-1232.0,-826.0,,,,,,-1040.8,,,-1820.0,,-1544.3,-2046.0,-1648.5,,-1022.0,-943.2,,-1131.0,-1461.0,,,,-1443.9,-1174.0,,-1327.0,,-1059.5,,True,False,True,True,,,,,,True,,,False,,False,False,False,,True,True,,True,False,,,,False,True,,False,,True
20175,140,109.0,,110.8,,96.0,77.0,,,,,,171.8,,,285.0,,82.3,51.3,,,81.0,56.9,,126.0,35.0,,,,115.3,,,82.0,,122.6,-31.0,,-29.2,,-44.0,-63.0,,,,,,31.8,,,145.0,,-57.7,-88.7,,,-59.0,-83.1,,-14.0,-105.0,,,,-24.7,,,-58.0,,-17.4,,True,,False,False,,,,,,False,,,False,,False,False,,,False,False,,True,False,,,,True,,,False,,True
20177,629,293.0,,310.1,,278.0,373.0,,,,,,226.2,,,436.0,,198.2,136.9,232.5,,238.0,247.3,,294.0,425.0,,,,265.1,,,217.0,,291.2,-336.0,,-318.9,,-351.0,-256.0,,,,,,-402.8,,,-193.0,,-430.8,-492.1,-396.5,,-391.0,-381.7,,-335.0,-204.0,,,,-363.9,,,-412.0,,-337.8,,True,,False,True,,,,,,False,,,True,,False,False,False,,False,False,,True,True,,,,False,,,False,,False
20179,31,42.0,,44.5,,27.0,0.0,,,,,,31.0,,,10.0,,49.6,0.8,,,27.0,21.7,,41.0,37.0,,,,,,,0.0,,44.5,11.0,,13.5,,-4.0,-31.0,,,,,,0.0,,,-21.0,,18.6,-30.2,,,-4.0,-9.3,,10.0,6.0,,,,,,,-31.0,,13.5,,False,,True,False,,,,,,True,,,False,,False,False,,,True,True,,True,True,,,,,,,False,,False
20181,55,68.0,,63.3,,54.0,54.0,,,,,,21.5,,,25.0,,194.3,2.8,,,28.0,21.6,,62.0,3.0,,,,,,,38.0,,53.9,13.0,,8.3,,-1.0,-1.0,,,,,,-33.5,,,-30.0,,139.3,-52.2,,,-27.0,-33.4,,7.0,-52.0,,,,,,,-17.0,,-1.1,,True,,True,True,,,,,,False,,,False,,False,False,,,False,False,,True,False,,,,,,,False,,True
20183,25,2.0,,2.6,,2.0,0.0,,,,,,2.9,,,9.0,,5.0,2.4,,,2.0,0.3,,2.0,2.0,,,,,,,1.0,,2.5,-23.0,,-22.4,,-23.0,-25.0,,,,,,-22.1,,,-16.0,,-20.0,-22.6,,,-23.0,-24.7,,-23.0,-23.0,,,,,,,-24.0,,-22.5,,True,,False,False,,,,,,True,,,True,,True,True,,,False,False,,False,False,,,,,,,False,,True
20185,21,16.0,,16.9,,10.0,0.0,,,,,,14.1,,,10.0,,14.5,4.1,,,5.0,6.1,,13.0,20.0,,,,,,,11.0,,16.0,-5.0,,-4.1,,-11.0,-21.0,,,,,,-6.9,,,-11.0,,-6.5,-16.9,,,-16.0,-14.9,,-8.0,-1.0,,,,,,,-10.0,,-5.0,,True,,False,False,,,,,,False,,,False,,False,False,,,False,False,,False,True,,,,,,,False,,False
20187,5,4.0,,3.6,,4.0,0.0,,,,,,2.6,,,8.0,,4.7,0.8,,,0.0,0.2,,2.0,1.0,,,,,,,4.0,,4.9,-1.0,,-1.4,,-1.0,-5.0,,,,,,-2.4,,,3.0,,-0.3,-4.2,,,-5.0,-4.8,,-3.0,-4.0,,,,,,,-1.0,,-0.1,,False,,False,False,,,,,,False,,,False,,True,False,,,False,False,,False,False,,,,,,,False,,True
20189,37,25.0,,25.6,,24.0,13.0,,,,,,25.3,,,42.0,,30.3,5.0,,,17.0,15.0,,28.0,1.0,,,,,,,15.0,,23.8,-12.0,,-11.4,,-13.0,-24.0,,,,,,-11.7,,,5.0,,-6.7,-32.0,,,-20.0,-22.0,,-9.0,-36.0,,,,,,,-22.0,,-13.2,,True,,False,False,,,,,,True,,,True,,True,False,,,False,False,,True,False,,,,,,,False,,False
20191,85,49.0,,50.0,,49.0,52.0,,,,,,35.2,,,42.0,,79.2,14.9,,,18.0,22.5,,55.0,5.0,,,,,,,37.0,,53.8,-36.0,,-35.0,,-36.0,-33.0,,,,,,-49.8,,,-43.0,,-5.8,-70.1,,,-67.0,-62.5,,-30.0,-80.0,,,,,,,-48.0,,-31.2,,True,,False,True,,,,,,False,,,False,,True,False,,,False,False,,True,False,,,,,,,False,,True
20193,92,48.0,,47.1,,47.0,46.0,,,,,,30.4,,,41.0,,91.0,3.4,,,55.0,30.7,,54.0,4.0,,,,,,,0.0,,52.5,-44.0,,-44.9,,-45.0,-46.0,,,,,,-61.6,,,-51.0,,-1.0,-88.6,,,-37.0,-61.3,,-38.0,-88.0,,,,,,,-92.0,,-39.5,,False,,False,False,,,,,,False,,,False,,True,False,,,True,False,,True,False,,,,,,,False,,True
20195,15,22.0,,22.1,,13.0,0.0,,,,,,14.0,,,13.0,,52.9,2.0,,,8.0,9.2,,26.0,17.0,,,,,,,12.0,,17.9,7.0,,7.1,,-2.0,-15.0,,,,,,-1.0,,,-2.0,,37.9,-13.0,,,-7.0,-5.8,,11.0,2.0,,,,,,,-3.0,,2.9,,False,,True,False,,,,,,True,,,True,,False,False,,,False,True,,False,True,,,,,,,True,,True
20197,31,3.0,,3.1,,3.0,0.0,,,,,,3.8,,,9.0,,3.6,2.2,,,2.0,0.5,,4.0,2.0,,,,,,,2.0,,4.7,-28.0,,-27.9,,-28.0,-31.0,,,,,,-27.2,,,-22.0,,-27.4,-28.8,,,-29.0,-30.5,,-27.0,-29.0,,,,,,,-29.0,,-26.3,,True,,False,False,,,,,,True,,,True,,True,False,,,False,False,,True,False,,,,,,,False,,True
20199,27,34.0,,35.9,,15.0,0.0,,,,,,47.0,,,7.0,,62.1,0.9,,,8.0,14.5,,29.0,9.0,,,,,,,13.0,,36.4,7.0,,8.9,,-12.0,-27.0,,,,,,20.0,,,-20.0,,35.1,-26.1,,,-19.0,-12.5,,2.0,-18.0,,,,,,,-14.0,,9.4,,False,,False,False,,,,,,False,,,False,,False,False,,,False,False,,True,False,,,,,,,False,,False
20201,47,8.0,,7.5,,8.0,1.0,,,,,,5.0,,,10.0,,12.0,3.9,,,3.0,1.3,,6.0,2.0,,,,,,,6.0,,8.7,-39.0,,-39.5,,-39.0,-46.0,,,,,,-42.0,,,-37.0,,-35.0,-43.1,,,-44.0,-45.7,,-41.0,-45.0,,,,,,,-41.0,,-38.3,,False,,False,False,,,,,,False,,,True,,True,False,,,False,False,,False,False,,,,,,,False,,True
20203,21,16.0,,15.7,,8.0,0.0,,,,,,7.3,,,8.0,,72.7,0.5,,,6.0,4.6,,13.0,1.0,,,,,,,10.0,,17.9,-5.0,,-5.3,,-13.0,-21.0,,,,,,-13.7,,,-13.0,,51.7,-20.5,,,-15.0,-16.4,,-8.0,-20.0,,,,,,,-11.0,,-3.1,,False,,False,False,,,,,,False,,,False,,False,False,,,False,False,,False,False,,,,,,,False,,True
20205,25,9.0,,9.9,,9.0,1.0,,,,,,10.5,,,19.0,,11.6,4.5,,,7.0,3.9,,9.0,5.0,,,,,,,6.0,,9.0,-16.0,,-15.1,,-16.0,-24.0,,,,,,-14.5,,,-6.0,,-13.4,-20.5,,,-18.0,-21.1,,-16.0,-20.0,,,,,,,-19.0,,-16.0,,True,,False,False,,,,,,True,,,True,,True,False,,,False,False,,False,False,,,,,,,False,,False
20207,5,0.0,,0.1,,0.0,0.0,,,,,,1.5,,,6.0,,0.1,0.5,,,2.0,0.0,,0.0,1.0,,,,,,,0.0,,3.6,-5.0,,-4.9,,-5.0,-5.0,,,,,,-3.5,,,1.0,,-4.9,-4.5,,,-3.0,-5.0,,-5.0,-4.0,,,,,,,-5.0,,-1.4,,True,,False,False,,,,,,True,,,True,,True,True,,,True,True,,False,True,,,,,,,False,,True
20209,441,394.0,,398.2,,394.0,443.0,,,,,,425.9,,,449.0,,245.3,143.8,342.0,,295.0,425.9,,379.0,311.0,,,,386.3,243.0,,420.0,,432.2,-47.0,,-42.8,,-47.0,2.0,,,,,,-15.1,,,8.0,,-195.7,-297.2,-99.0,,-146.0,-15.1,,-62.0,-130.0,,,,-54.7,-198.0,,-21.0,,-8.8,,True,,False,True,,,,,,True,,,True,,False,False,False,,False,True,,False,False,,,,False,False,,True,,True
21001,23,32.0,,33.5,,34.0,41.0,,,,,,31.1,,,63.0,,56.3,18.6,,,19.0,26.4,,34.0,7.0,,,,,,,24.0,,41.7,9.0,,10.5,,11.0,18.0,,,,,,8.1,,,40.0,,33.3,-4.4,,,-4.0,3.4,,11.0,-16.0,,,,,,,1.0,,18.7,,False,,False,False,,,,,,True,,,False,,False,True,,,True,True,,False,False,,,,,,,True,,False
21003,35,34.0,,39.4,,39.0,40.0,,,,,,39.7,,,77.0,,62.4,31.0,,,40.0,34.5,,41.0,27.0,,,,,,,31.0,,38.7,-1.0,,4.4,,4.0,5.0,,,,,,4.7,,,42.0,,27.4,-4.0,,,5.0,-0.5,,6.0,-8.0,,,,,,,-4.0,,3.7,,False,,False,False,,,,,,False,,,False,,False,False,,,False,True,,False,False,,,,,,,False,,False
21005,34,36.0,,37.8,,35.0,33.0,,,,,,42.5,,,35.0,,33.2,17.7,,,27.0,36.0,,40.0,39.0,,,,,,,32.0,,36.6,2.0,,3.8,,1.0,-1.0,,,,,,8.5,,,1.0,,-0.8,-16.3,,,-7.0,2.0,,6.0,5.0,,,,,,,-2.0,,2.6,,False,,True,True,,,,,,False,,,True,,True,False,,,False,True,,False,False,,,,,,,False,,False
21007,24,10.0,,8.9,,9.0,7.0,,,,,,11.1,,,14.0,,5.0,3.8,,,6.0,10.1,,8.0,22.0,,,,,,,12.0,,9.9,-14.0,,-15.1,,-15.0,-17.0,,,,,,-12.9,,,-10.0,,-19.0,-20.2,,,-18.0,-13.9,,-16.0,-2.0,,,,,,,-12.0,,-14.1,,False,,False,False,,,,,,True,,,True,,False,False,,,False,True,,False,True,,,,,,,True,,False
21009,174,226.0,,220.5,,234.0,379.0,,,,,,205.8,,,152.0,,300.5,59.6,188.0,,408.0,241.0,,255.0,120.0,,,,218.1,,,226.0,,279.5,52.0,,46.5,,60.0,205.0,,,,,,31.8,,,-22.0,,126.5,-114.4,14.0,,234.0,67.0,,81.0,-54.0,,,,44.1,,,52.0,,105.5,,True,,False,False,,,,,,True,,,True,,False,False,True,,False,False,,False,False,,,,True,,,False,,False
21011,24,24.0,,23.3,,24.0,29.0,,,,,,19.1,,,27.0,,32.1,8.4,,,20.0,16.5,,26.0,7.0,,,,,,,20.0,,26.1,0.0,,-0.7,,0.0,5.0,,,,,,-4.9,,,3.0,,8.1,-15.6,,,-4.0,-7.5,,2.0,-17.0,,,,,,,-4.0,,2.1,,False,,True,False,,,,,,False,,,False,,False,False,,,False,False,,False,False,,,,,,,False,,False
21013,106,116.0,,117.5,,116.0,93.0,,,,,,170.3,,,101.0,,62.7,44.3,,,161.0,167.7,,118.0,70.0,,,,,,,148.0,,125.5,10.0,,11.5,,10.0,-13.0,,,,,,64.3,,,-5.0,,-43.3,-61.7,,,55.0,61.7,,12.0,-36.0,,,,,,,42.0,,19.5,,False,,False,False,,,,,,False,,,True,,False,False,,,False,False,,False,False,,,,,,,False,,False
21015,336,234.0,,230.9,,264.0,264.0,,,,,,245.4,,,313.0,,264.8,153.0,225.5,,307.0,273.4,,286.0,280.0,,,,230.6,262.0,,253.0,,309.1,-102.0,,-105.1,,-72.0,-72.0,,,,,,-90.6,,,-23.0,,-71.2,-183.0,-110.5,,-29.0,-62.6,,-50.0,-56.0,,,,-105.4,-74.0,,-83.0,,-26.9,,False,,True,True,,,,,,True,,,True,,True,False,False,,True,True,,True,True,,,,False,True,,True,,True
21017,39,25.0,,25.4,,28.0,32.0,,,,,,34.3,,,49.0,,41.0,14.2,,,23.0,27.7,,31.0,32.0,,,,,,,22.0,,28.7,-14.0,,-13.6,,-11.0,-7.0,,,,,,-4.7,,,10.0,,2.0,-24.8,,,-16.0,-11.3,,-8.0,-7.0,,,,,,,-17.0,,-10.3,,True,,True,True,,,,,,True,,,True,,True,False,,,False,True,,True,True,,,,,,,False,,True
21019,131,100.0,,95.8,,100.0,139.0,,,,,,105.2,,,130.0,,107.0,31.5,75.0,,120.0,93.4,,100.0,0.0,,,,,,,90.0,,96.3,-31.0,,-35.2,,-31.0,8.0,,,,,,-25.8,,,-1.0,,-24.0,-99.5,-56.0,,-11.0,-37.6,,-31.0,-131.0,,,,,,,-41.0,,-34.7,,False,,False,True,,,,,,True,,,True,,True,False,False,,True,False,,False,False,,,,,,,False,,False
21021,58,46.0,,49.7,,50.0,43.0,,,,,,76.8,,,72.0,,53.7,23.3,51.0,,56.0,56.6,,57.0,54.0,,,,,,,44.0,,50.4,-12.0,,-8.3,,-8.0,-15.0,,,,,,18.8,,,14.0,,-4.3,-34.7,-7.0,,-2.0,-1.4,,-1.0,-4.0,,,,,,,-14.0,,-7.6,,True,,True,False,,,,,,False,,,False,,True,False,True,,True,True,,True,True,,,,,,,False,,True
21023,8,6.0,,5.8,,8.0,16.0,,,,,,10.0,,,18.0,,15.9,2.8,,,12.0,7.7,,15.0,6.0,,,,,,,6.0,,6.8,-2.0,,-2.2,,0.0,8.0,,,,,,2.0,,,10.0,,7.9,-5.2,,,4.0,-0.3,,7.0,-2.0,,,,,,,-2.0,,-1.2,,False,,True,False,,,,,,True,,,False,,False,False,,,False,True,,False,False,,,,,,,False,,True
21025,35,30.0,,30.0,,30.0,19.0,,,,,,26.8,,,41.0,,37.6,8.9,,,34.0,25.3,,32.0,37.0,,,,,,,31.0,,33.2,-5.0,,-5.0,,-5.0,-16.0,,,,,,-8.2,,,6.0,,2.6,-26.1,,,-1.0,-9.7,,-3.0,2.0,,,,,,,-4.0,,-1.8,,False,,False,False,,,,,,False,,,False,,True,False,,,True,False,,True,True,,,,,,,True,,True
21027,77,29.0,,30.3,,28.0,24.0,,,,,,37.4,,,36.0,,23.9,14.4,,,26.0,29.3,,30.0,45.0,,,,,,,27.0,,28.3,-48.0,,-46.7,,-49.0,-53.0,,,,,,-39.6,,,-41.0,,-53.1,-62.6,,,-51.0,-47.7,,-47.0,-32.0,,,,,,,-50.0,,-48.7,,True,,False,False,,,,,,True,,,True,,False,False,,,False,True,,True,True,,,,,,,False,,False
21029,281,242.0,,236.4,,250.0,275.0,,,,,,236.6,,,187.0,,283.8,90.9,233.0,,258.0,262.6,,265.0,247.0,,,,220.1,,,265.0,,268.1,-39.0,,-44.6,,-31.0,-6.0,,,,,,-44.4,,,-94.0,,2.8,-190.1,-48.0,,-23.0,-18.4,,-16.0,-34.0,,,,-60.9,,,-16.0,,-12.9,,False,,True,True,,,,,,False,,,False,,True,False,False,,True,True,,True,True,,,,False,,,True,,True
21031,26,39.0,,36.9,,31.0,12.0,,,,,,36.5,,,43.0,,28.2,12.4,,,23.0,31.2,,30.0,43.0,,,,,,,32.0,,36.5,13.0,,10.9,,5.0,-14.0,,,,,,10.5,,,17.0,,2.2,-13.6,,,-3.0,5.2,,4.0,17.0,,,,,,,6.0,,10.5,,True,,True,False,,,,,,True,,,False,,True,False,,,True,True,,True,False,,,,,,,True,,True
21033,67,49.0,,49.7,,43.0,30.0,,,,,,63.9,,,45.0,,28.3,6.8,,,36.0,43.1,,49.0,49.0,,,,,,,44.0,,44.4,-18.0,,-17.3,,-24.0,-37.0,,,,,,-3.1,,,-22.0,,-38.7,-60.2,,,-31.0,-23.9,,-18.0,-18.0,,,,,,,-23.0,,-22.6,,True,,False,False,,,,,,True,,,False,,False,False,,,False,False,,False,False,,,,,,,False,,False
21035,96,133.0,,131.2,,120.0,113.0,,,,,,148.4,,,109.0,,154.6,46.6,127.0,,87.0,119.8,,161.0,127.0,,,,,,,122.0,,142.2,37.0,,35.2,,24.0,17.0,,,,,,52.4,,,13.0,,58.6,-49.4,31.0,,-9.0,23.8,,65.0,31.0,,,,,,,26.0,,46.2,,True,,True,True,,,,,,False,,,True,,False,False,True,,True,True,,False,True,,,,,,,True,,False
21037,303,227.0,,234.0,,238.0,308.0,,,,,,206.3,,,254.0,,238.2,78.7,183.0,,247.0,237.6,,241.0,315.0,,,,214.1,,,244.0,,259.5,-76.0,,-69.0,,-65.0,5.0,,,,,,-96.7,,,-49.0,,-64.8,-224.3,-120.0,,-56.0,-65.4,,-62.0,12.0,,,,-88.9,,,-59.0,,-43.5,,True,,True,True,,,,,,False,,,True,,True,False,False,,True,True,,True,True,,,,False,,,True,,True
21039,18,8.0,,6.1,,6.0,5.0,,,,,,11.8,,,12.0,,3.6,3.1,,,2.0,8.4,,7.0,15.0,,,,,,,9.0,,7.1,-10.0,,-11.9,,-12.0,-13.0,,,,,,-6.2,,,-6.0,,-14.4,-14.9,,,-16.0,-9.6,,-11.0,-3.0,,,,,,,-9.0,,-10.9,,False,,False,False,,,,,,True,,,True,,False,False,,,False,True,,False,True,,,,,,,True,,False
21041,17,15.0,,14.9,,14.0,0.0,,,,,,13.3,,,36.0,,13.9,3.8,,,8.0,10.4,,14.0,34.0,,,,,,,16.0,,15.5,-2.0,,-2.1,,-3.0,-17.0,,,,,,-3.7,,,19.0,,-3.1,-13.2,,,-9.0,-6.6,,-3.0,17.0,,,,,,,-1.0,,-1.5,,False,,False,False,,,,,,False,,,False,,False,False,,,False,False,,False,False,,,,,,,True,,True
21043,39,66.0,,63.6,,64.0,57.0,,,,,,74.3,,,65.0,,60.5,30.8,,,44.0,68.6,,71.0,56.0,,,,,,,64.0,,81.0,27.0,,24.6,,25.0,18.0,,,,,,35.3,,,26.0,,21.5,-8.2,,,5.0,29.6,,32.0,17.0,,,,,,,25.0,,42.0,,True,,True,True,,,,,,False,,,True,,True,True,,,True,False,,False,True,,,,,,,True,,False
21045,18,12.0,,14.5,,15.0,17.0,,,,,,20.6,,,31.0,,9.5,6.8,,,19.0,11.2,,15.0,3.0,,,,,,,10.0,,24.9,-6.0,,-3.5,,-3.0,-1.0,,,,,,2.6,,,13.0,,-8.5,-11.2,,,1.0,-6.8,,-3.0,-15.0,,,,,,,-8.0,,6.9,,True,,True,True,,,,,,True,,,False,,False,False,,,True,False,,True,False,,,,,,,False,,False
21047,194,187.0,,186.9,,187.0,209.0,,,,,,273.5,,,266.0,,154.3,72.7,168.5,,156.0,202.4,,200.0,210.0,,,,177.1,,,196.0,,195.9,-7.0,,-7.1,,-7.0,15.0,,,,,,79.5,,,72.0,,-39.7,-121.3,-25.5,,-38.0,8.4,,6.0,16.0,,,,-16.9,,,2.0,,1.9,,False,,False,False,,,,,,False,,,False,,False,False,False,,False,False,,True,False,,,,False,,,True,,True
21049,63,53.0,,53.4,,53.0,75.0,,,,,,64.9,,,80.0,,109.2,21.8,61.5,,48.0,46.9,,85.0,17.0,,,,,,,50.0,,63.1,-10.0,,-9.6,,-10.0,12.0,,,,,,1.9,,,17.0,,46.2,-41.2,-1.5,,-15.0,-16.1,,22.0,-46.0,,,,,,,-13.0,,0.1,,True,,False,False,,,,,,True,,,False,,False,False,True,,False,False,,False,False,,,,,,,False,,True
21051,74,136.0,,140.8,,136.0,126.0,,,,,,142.4,,,84.0,,137.9,39.0,,,167.0,119.3,,139.0,47.0,,,,,,,118.0,,139.4,62.0,,66.8,,62.0,52.0,,,,,,68.4,,,10.0,,63.9,-35.0,,,93.0,45.3,,65.0,-27.0,,,,,,,44.0,,65.4,,False,,False,True,,,,,,False,,,True,,False,True,,,False,True,,False,True,,,,,,,True,,False
21053,18,26.0,,25.6,,26.0,33.0,,,,,,24.6,,,41.0,,42.3,8.6,,,22.0,21.8,,31.0,8.0,,,,,,,12.0,,31.0,8.0,,7.6,,8.0,15.0,,,,,,6.6,,,23.0,,24.3,-9.4,,,4.0,3.8,,13.0,-10.0,,,,,,,-6.0,,13.0,,True,,False,False,,,,,,True,,,False,,False,False,,,True,True,,False,False,,,,,,,True,,False
21055,11,11.0,,11.5,,11.0,5.0,,,,,,11.9,,,25.0,,13.8,4.3,,,9.5,9.9,,17.0,15.0,,,,,,,7.0,,11.3,0.0,,0.5,,0.0,-6.0,,,,,,0.9,,,14.0,,2.8,-6.7,,,-1.5,-1.1,,6.0,4.0,,,,,,,-4.0,,0.3,,False,,True,False,,,,,,False,,,False,,False,False,,,False,False,,False,False,,,,,,,False,,False
21057,8,21.0,,20.6,,19.0,19.0,,,,,,17.4,,,17.0,,20.7,3.0,,,16.0,12.8,,23.0,25.0,,,,,,,17.0,,30.4,13.0,,12.6,,11.0,11.0,,,,,,9.4,,,9.0,,12.7,-5.0,,,8.0,4.8,,15.0,17.0,,,,,,,9.0,,22.4,,True,,True,True,,,,,,True,,,True,,True,True,,,True,True,,False,False,,,,,,,True,,False
21059,235,159.0,,161.5,,180.0,196.0,,,,,,186.1,,,317.0,,179.4,115.8,167.5,,187.0,193.8,,202.0,161.0,,,,165.0,,,177.0,,180.4,-76.0,,-73.5,,-55.0,-39.0,,,,,,-48.9,,,82.0,,-55.6,-119.2,-67.5,,-48.0,-41.2,,-33.0,-74.0,,,,-70.0,,,-58.0,,-54.6,,True,,True,True,,,,,,True,,,False,,True,False,True,,True,True,,True,True,,,,True,,,True,,True
