,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
01023,12,5.0,,4.8,,5.0,2.0,,,,,,7.0,,,25.0,,6.4,3.3,,,1.0,3.4,,6.0,0.0,,,,,,,3.0,,7.1,-7.0,,-7.2,,-7.0,-10.0,,,,,,-5.0,,,13.0,,-5.6,-8.7,,,-11.0,-8.6,,-6.0,-12.0,,,,,,,-9.0,,-4.9,,False,,False,False,,,,,,True,,,False,,True,False,,,False,False,,True,False,,,,,,,False,,True
01025,40,51.0,,45.0,,51.0,47.0,,,,,,52.6,,,81.0,,90.5,11.6,,,76.0,56.2,,74.0,0.0,,,,42.9,,,32.0,,51.4,11.0,,5.0,,11.0,7.0,,,,,,12.6,,,41.0,,50.5,-28.4,,,36.0,16.2,,34.0,-40.0,,,,2.9,,,-8.0,,11.4,,True,,False,True,,,,,,False,,,False,,False,False,,,False,False,,False,False,,,,True,,,True,,False
01027,41,31.0,,29.4,,31.0,35.0,,,,,,36.0,,,24.0,,32.7,9.4,,,23.0,31.7,,30.0,6.0,,,,,,,27.0,,47.4,-10.0,,-11.6,,-10.0,-6.0,,,,,,-5.0,,,-17.0,,-8.3,-31.6,,,-18.0,-9.3,,-11.0,-35.0,,,,,,,-14.0,,6.4,,False,,False,True,,,,,,True,,,False,,True,False,,,False,True,,False,False,,,,,,,False,,True
01029,35,27.0,,25.9,,28.0,25.0,,,,,,28.2,,,34.0,,44.3,6.7,,,33.0,28.3,,24.0,6.0,,,,,,,28.0,,36.9,-8.0,,-9.1,,-7.0,-10.0,,,,,,-6.8,,,-1.0,,9.3,-28.3,,,-2.0,-6.7,,-11.0,-29.0,,,,,,,-7.0,,1.9,,False,,True,False,,,,,,True,,,True,,False,False,,,True,True,,False,False,,,,,,,True,,True
01031,109,102.0,,120.7,,111.0,123.0,,,,,,108.5,,,85.0,,143.8,52.5,118.0,,112.0,109.5,,137.0,66.0,,,,92.1,,,96.0,,135.9,-7.0,,11.7,,2.0,14.0,,,,,,-0.5,,,-24.0,,34.8,-56.5,9.0,,3.0,0.5,,28.0,-43.0,,,,-16.9,,,-13.0,,26.9,,False,,True,False,,,,,,True,,,False,,False,False,False,,True,True,,False,False,,,,False,,,False,,False
01033,156,146.0,,149.4,,148.0,169.0,,,,,,148.6,,,141.0,,143.7,34.7,130.5,,316.0,355.2,,153.0,91.0,,,,132.1,,,388.0,,178.1,-10.0,,-6.6,,-8.0,13.0,,,,,,-7.4,,,-15.0,,-12.3,-121.3,-25.5,,160.0,199.2,,-3.0,-65.0,,,,-23.9,,,232.0,,22.1,,True,,True,False,,,,,,True,,,False,,False,False,False,,False,False,,True,False,,,,False,,,False,,False
01035,27,16.0,,16.2,,9.0,0.0,,,,,,21.2,,,19.0,,7.6,3.1,,,7.0,9.2,,15.0,4.0,,,,,,,13.0,,15.6,-11.0,,-10.8,,-18.0,-27.0,,,,,,-5.8,,,-8.0,,-19.4,-23.9,,,-20.0,-17.8,,-12.0,-23.0,,,,,,,-14.0,,-11.4,,True,,False,False,,,,,,True,,,True,,False,False,,,False,False,,False,False,,,,,,,False,,False
01037,9,19.0,,19.1,,14.0,14.0,,,,,,18.0,,,13.0,,16.2,5.5,,,18.0,14.3,,16.0,,,,,,,,18.0,,10.6,10.0,,10.1,,5.0,5.0,,,,,,9.0,,,4.0,,7.2,-3.5,,,9.0,5.3,,7.0,,,,,,,,9.0,,1.6,,False,,True,True,,,,,,True,,,True,,True,True,,,True,True,,True,,,,,,,,True,,True
01039,53,146.0,,145.2,,115.0,123.0,,,,,,275.7,,,80.0,,84.0,32.7,101.0,,107.0,82.9,,149.0,24.0,,,,125.8,,,103.0,,133.8,93.0,,92.2,,62.0,70.0,,,,,,222.7,,,27.0,,31.0,-20.3,48.0,,54.0,29.9,,96.0,-29.0,,,,72.8,,,50.0,,80.8,,True,,True,True,,,,,,False,,,True,,True,True,True,,True,True,,False,True,,,,True,,,True,,True
01041,22,14.0,,15.8,,14.0,7.0,,,,,,23.7,,,24.0,,11.5,9.2,,,12.0,13.7,,14.0,18.0,,,,,,,11.0,,14.8,-8.0,,-6.2,,-8.0,-15.0,,,,,,1.7,,,2.0,,-10.5,-12.8,,,-10.0,-8.3,,-8.0,-4.0,,,,,,,-11.0,,-7.2,,True,,False,False,,,,,,True,,,True,,False,False,,,False,False,,False,True,,,,,,,False,,True
