,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,465,270.0,273.0,,,,194.0,,182.2,118.5,,125.7,,233.6,228.3,80.0,-195.0,-192.0,,,,-271.0,,-282.8,-346.5,,-339.3,,-231.4,-236.7,-385.0,True,,,,False,,False,False,,False,,False,False,False
01003,1192,2855.0,2769.0,,,,767.0,,3015.5,1501.8,,2151.5,,607.7,2009.8,32.0,1663.0,1577.0,,,,-425.0,,1823.5,309.8,,959.5,,-584.3,817.8,-1160.0,True,,,,True,,False,True,,True,,True,True,True
01005,178,195.0,84.0,,,,89.0,,109.8,58.3,,96.9,,17.5,83.6,51.0,17.0,-94.0,,,,-89.0,,-68.2,-119.7,,-81.1,,-160.5,-94.4,-127.0,False,,,,False,,False,False,,False,,False,False,False
01007,251,120.0,36.0,,,,87.0,,123.2,58.5,,84.9,,139.2,80.0,65.0,-131.0,-215.0,,,,-164.0,,-127.8,-192.5,,-166.1,,-111.8,-171.0,-186.0,False,,,,False,,True,False,,False,,True,False,False
01009,643,220.0,101.0,,,,281.0,,158.5,179.4,,105.5,,16.5,163.3,32.0,-423.0,-542.0,,,,-362.0,,-484.5,-463.6,,-537.5,,-626.5,-479.7,-611.0,False,,,,True,,False,False,,False,,False,False,False
01011,53,45.0,6.0,,,,45.0,,38.4,22.7,,4.6,,22.4,39.9,3.0,-8.0,-47.0,,,,-8.0,,-14.6,-30.3,,-48.4,,-30.6,-13.1,-50.0,False,,,,False,,False,False,,False,,False,False,False
01013,131,60.0,0.0,,,,69.0,,39.4,30.3,,11.7,,75.0,51.4,8.0,-71.0,-131.0,,,,-62.0,,-91.6,-100.7,,-119.3,,-56.0,-79.6,-123.0,False,,,,True,,False,False,,False,,True,False,False
01015,1532,725.0,289.0,,,,638.0,,530.8,552.8,,463.2,,301.5,467.6,103.0,-807.0,-1243.0,,,,-894.0,,-1001.2,-979.2,,-1068.8,,-1230.5,-1064.4,-1429.0,False,,,,False,,False,False,,False,,False,False,False
01017,289,200.0,239.0,,,,120.0,,94.6,110.2,,78.6,,11.7,80.1,38.0,-89.0,-50.0,,,,-169.0,,-194.4,-178.8,,-210.4,,-277.3,-208.9,-251.0,True,,,,False,,False,False,,False,,False,False,False
01019,216,155.0,231.0,,,,133.0,,127.6,102.1,,71.1,,13.4,121.3,40.0,-61.0,15.0,,,,-83.0,,-88.4,-113.9,,-144.9,,-202.6,-94.7,-176.0,True,,,,False,,False,False,,False,,False,False,False
01021,364,275.0,161.0,,,,184.0,,225.3,167.9,,183.8,,64.0,157.3,106.0,-89.0,-203.0,,,,-180.0,,-138.7,-196.1,,-180.2,,-300.0,-206.7,-258.0,False,,,,False,,False,False,,False,,False,False,False
01023,43,70.0,32.0,,,,58.0,,46.5,23.9,,24.9,,194.0,55.9,59.0,27.0,-11.0,,,,15.0,,3.5,-19.1,,-18.1,,151.0,12.9,16.0,True,,,,True,,True,True,,True,,False,True,True
01025,299,260.0,189.0,,,,158.0,,164.0,54.8,,195.4,,152.2,209.8,91.0,-39.0,-110.0,,,,-141.0,,-135.0,-244.2,,-103.6,,-146.8,-89.2,-208.0,False,,,,False,,False,False,,False,,False,False,False
01027,208,115.0,152.0,,,,51.0,,75.2,49.2,,30.7,,18.3,52.3,39.0,-93.0,-56.0,,,,-157.0,,-132.8,-158.8,,-177.3,,-189.7,-155.7,-169.0,True,,,,False,,False,False,,False,,False,False,False
01029,197,220.0,159.0,,,,74.0,,308.1,49.4,,85.8,,27.2,109.6,206.0,23.0,-38.0,,,,-123.0,,111.1,-147.6,,-111.2,,-169.8,-87.4,9.0,False,,,,False,,False,False,,False,,False,False,True
01031,530,520.0,621.0,,,,195.0,,298.7,320.4,,378.8,,344.3,327.5,499.0,-10.0,91.0,,,,-335.0,,-231.3,-209.6,,-151.2,,-185.7,-202.5,-31.0,False,,,,False,,False,False,,False,,False,False,False
01033,732,380.0,507.0,,,,431.0,,238.4,142.7,,190.4,,143.6,370.3,311.0,-352.0,-225.0,,,,-301.0,,-493.6,-589.3,,-541.6,,-588.4,-361.7,-421.0,True,,,,True,,False,False,,False,,False,False,False
01035,68,25.0,0.0,,,,35.0,,16.8,20.1,,0.7,,2.0,18.5,4.0,-43.0,-68.0,,,,-33.0,,-51.2,-47.9,,-67.3,,-66.0,-49.5,-64.0,False,,,,True,,False,False,,False,,False,False,False
01037,53,40.0,16.0,,,,22.0,,27.3,22.2,,9.9,,25.0,39.2,13.0,-13.0,-37.0,,,,-31.0,,-25.7,-30.8,,-43.1,,-28.0,-13.8,-40.0,False,,,,False,,False,False,,False,,False,False,False
01039,475,380.0,365.0,,,,183.0,,238.7,153.4,,225.5,,24.6,147.8,89.0,-95.0,-110.0,,,,-292.0,,-236.3,-321.6,,-249.5,,-450.4,-327.2,-386.0,False,,,,False,,False,False,,False,,False,False,False
01041,96,45.0,8.0,,,,48.0,,34.3,46.6,,4.6,,47.1,77.8,7.0,-51.0,-88.0,,,,-48.0,,-61.7,-49.4,,-91.4,,-48.9,-18.2,-89.0,False,,,,True,,False,True,,False,,True,True,False
01043,1249,235.0,190.0,,,,546.0,,151.2,168.0,,77.0,,92.2,160.2,47.0,-1014.0,-1059.0,,,,-703.0,,-1097.8,-1081.0,,-1172.0,,-1156.8,-1088.8,-1202.0,False,,,,True,,False,False,,False,,False,False,False
01045,547,590.0,468.0,,,,172.0,,244.5,220.3,,430.4,,53.4,407.4,669.0,43.0,-79.0,,,,-375.0,,-302.5,-326.7,,-116.6,,-493.6,-139.6,122.0,False,,,,False,,False,False,,False,,False,False,False
01047,189,80.0,98.0,,,,164.0,,59.6,48.9,,13.7,,45.2,46.4,16.0,-109.0,-91.0,,,,-25.0,,-129.4,-140.1,,-175.3,,-143.8,-142.6,-173.0,True,,,,True,,False,False,,False,,False,False,False
01049,1283,725.0,1366.0,,,,476.0,,401.5,205.1,,915.2,,3951.1,585.8,669.0,-558.0,83.0,,,,-807.0,,-881.5,-1077.9,,-367.8,,2668.1,-697.2,-614.0,True,,,,False,,False,False,,True,,False,False,False
01051,639,750.0,999.0,,,,244.0,,556.5,206.5,,449.9,,100.9,539.4,344.0,111.0,360.0,,,,-395.0,,-82.5,-432.5,,-189.1,,-538.1,-99.6,-295.0,False,,,,False,,True,False,,False,,False,True,False
01053,184,210.0,20.0,,,,232.0,,122.7,105.9,,66.0,,148.0,86.2,45.0,26.0,-164.0,,,,48.0,,-61.3,-78.1,,-118.0,,-36.0,-97.8,-139.0,False,,,,False,,False,False,,False,,False,False,False
01055,1242,895.0,1076.0,,,,652.0,,711.9,505.2,,613.1,,282.1,517.5,644.0,-347.0,-166.0,,,,-590.0,,-530.1,-736.8,,-628.9,,-959.9,-724.5,-598.0,True,,,,False,,False,False,,False,,False,False,False
01057,174,95.0,103.0,,,,84.0,,91.1,57.3,,57.4,,54.1,85.7,41.0,-79.0,-71.0,,,,-90.0,,-82.9,-116.7,,-116.6,,-119.9,-88.3,-133.0,True,,,,False,,False,False,,False,,False,False,False
01059,415,325.0,210.0,,,,288.0,,188.5,111.7,,134.4,,174.6,232.1,392.0,-90.0,-205.0,,,,-127.0,,-226.5,-303.3,,-280.6,,-240.4,-182.9,-23.0,False,,,,False,,False,False,,False,,False,False,True
01061,299,525.0,935.0,,,,106.0,,253.5,191.1,,218.6,,37.7,305.7,394.0,226.0,636.0,,,,-193.0,,-45.5,-107.9,,-80.4,,-261.3,6.7,95.0,False,,,,True,,True,True,,True,,False,True,True
01063,51,20.0,0.0,,,,23.0,,25.5,14.8,,2.5,,18.1,14.1,5.0,-31.0,-51.0,,,,-28.0,,-25.5,-36.2,,-48.5,,-33.0,-36.9,-46.0,False,,,,True,,True,False,,False,,False,False,False
01065,152,150.0,35.0,,,,81.0,,113.0,37.7,,18.1,,51.3,104.3,60.0,-2.0,-117.0,,,,-71.0,,-39.0,-114.3,,-133.9,,-100.7,-47.7,-92.0,False,,,,False,,False,False,,False,,False,False,False
01067,211,260.0,172.0,,,,46.0,,111.2,86.9,,133.4,,75.2,200.4,191.0,49.0,-39.0,,,,-165.0,,-99.8,-124.1,,-77.6,,-135.8,-10.6,-20.0,True,,,,False,,False,False,,False,,False,True,True
01069,1140,2140.0,4624.0,,,,407.0,,528.3,720.1,,1484.8,,277.1,1500.0,1753.0,1000.0,3484.0,,,,-733.0,,-611.7,-419.9,,344.8,,-862.9,360.0,613.0,False,,,,True,,True,True,,True,,True,True,True
