,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Alabama,9905,9009.0,7147.9,8550.4,10323.0,9210.0,,11325.5,4781.0,11529.0,10473.8,10286.9,,10036.0,9728.0,10029.2,12356.0,11046.0,2748.6,10118.5,10965.5,11388.5,11499.9,11592.0,10941.0,,18471.8,7008.9,7044.2,12459.1,9051.6,9803.0,12446.4,-896.0,-2757.1,-1354.6,418.0,-695.0,,1420.5,-5124.0,1624.0,568.8,381.9,,131.0,-177.0,124.2,2451.0,1141.0,-7156.4,213.5,1060.5,1483.5,1594.9,1687.0,1036.0,,8566.8,-2896.1,-2860.8,2554.1,-853.4,-102.0,2541.4,False,False,True,True,,False,False,False,True,True,,True,True,True,False,False,False,True,False,False,False,False,False,,False,False,False,False,True,True,False
Alaska,2951,2810.0,255.9,2799.2,2678.0,2259.0,,2554.4,1237.0,2220.2,3567.5,2902.4,,,,2663.2,6306.4,,704.9,2770.5,3069.4,3072.0,2855.1,3099.6,3042.0,,3335.4,2284.2,2773.1,2123.3,4325.5,1538.0,3050.9,-141.0,-2695.1,-151.8,-273.0,-692.0,,-396.6,-1714.0,-730.8,616.5,-48.6,,,,-287.8,3355.4,,-2246.1,-180.5,118.4,121.0,-95.9,148.6,91.0,,384.4,-666.8,-177.9,-827.7,1374.5,-1413.0,99.9,False,False,False,False,,False,False,False,False,True,,,,False,False,,False,False,True,True,True,False,True,,False,False,False,False,False,False,True
Arizona,11438,9174.0,7136.5,9096.6,8209.0,11777.0,,7894.1,708.0,10033.2,9117.9,10431.5,,9198.0,8096.0,7650.2,6779.1,8158.0,3044.4,8039.5,9498.0,10227.0,11534.5,10921.1,9466.0,,8459.6,7241.4,7934.8,8042.2,10268.9,9766.0,9597.5,-2264.0,-4301.5,-2341.4,-3229.0,339.0,,-3543.9,-10730.0,-1404.8,-2320.1,-1006.5,,-2240.0,-3342.0,-3787.8,-4658.9,-3280.0,-8393.6,-3398.5,-1940.0,-1211.0,96.5,-516.9,-1972.0,,-2978.4,-4196.6,-3503.2,-3395.8,-1169.1,-1672.0,-1840.5,False,False,False,True,,False,False,True,False,True,,True,False,False,False,False,False,False,True,True,True,True,True,,False,False,False,False,True,True,True
Arkansas,8638,6872.0,5564.4,6776.9,6980.0,6369.0,,7057.6,5171.0,8108.4,7138.3,7238.1,,7524.0,6902.0,7671.3,7386.3,6824.0,2754.7,7075.5,7351.2,7614.5,7471.9,7485.8,7789.0,,7695.1,5523.2,5468.7,8353.1,6864.5,7105.0,7109.2,-1766.0,-3073.6,-1861.1,-1658.0,-2269.0,,-1580.4,-3467.0,-529.6,-1499.7,-1399.9,,-1114.0,-1736.0,-966.7,-1251.7,-1814.0,-5883.3,-1562.5,-1286.8,-1023.5,-1166.1,-1152.2,-849.0,,-942.9,-3114.8,-3169.3,-284.9,-1773.5,-1533.0,-1528.8,False,False,True,False,,True,False,True,True,True,,True,True,True,True,False,False,True,True,True,True,True,True,,True,False,False,True,False,True,True
California,37219,28459.0,31293.3,28987.4,30061.0,27048.0,,31134.1,10795.0,32573.4,29854.0,25409.6,,29321.0,31588.0,32218.8,28686.5,29458.0,17856.2,28196.5,27626.0,32314.5,32357.0,30958.7,35352.0,,41286.4,9611.9,24237.9,34349.7,31384.0,32895.0,31619.0,-8760.0,-5925.7,-8231.6,-7158.0,-10171.0,,-6084.9,-26424.0,-4645.6,-7365.0,-11809.4,,-7898.0,-5631.0,-5000.2,-8532.5,-7761.0,-19362.8,-9022.5,-9593.0,-4904.5,-4862.0,-6260.3,-1867.0,,4067.4,-27607.1,-12981.1,-2869.3,-5835.0,-4324.0,-5600.0,True,True,True,False,,True,False,True,True,False,,True,True,True,True,True,False,False,False,True,True,True,True,,True,False,False,True,True,True,True
Colorado,20617,13950.0,4823.5,13783.5,13800.0,16701.0,,12368.1,21646.0,17217.1,15589.5,17479.9,,14124.0,13429.0,13153.3,11618.7,13853.0,7416.4,12935.0,14780.4,18450.5,19329.6,16079.8,14320.0,,19935.1,11799.7,13776.4,10748.2,19711.0,15033.0,14323.9,-6667.0,-15793.5,-6833.5,-6817.0,-3916.0,,-8248.9,1029.0,-3399.9,-5027.5,-3137.1,,-6493.0,-7188.0,-7463.7,-8998.3,-6764.0,-13200.6,-7682.0,-5836.6,-2166.5,-1287.4,-4537.2,-6297.0,,-681.9,-8817.3,-6840.6,-9868.8,-906.0,-5584.0,-6293.1,False,False,False,True,,False,True,True,True,True,,True,False,False,False,False,False,False,True,True,True,True,True,,True,False,False,False,True,True,True
Connecticut,6918,5155.0,5240.5,5227.8,4971.0,6656.0,,4684.1,3854.0,8843.2,5345.3,2841.7,,3662.0,4642.0,4254.2,3860.4,5299.0,5235.4,4156.0,5943.6,4642.5,4937.5,5376.9,4230.0,,8613.5,2675.4,5004.4,4242.7,4070.2,4621.0,4973.3,-1763.0,-1677.5,-1690.2,-1947.0,-262.0,,-2233.9,-3064.0,1925.2,-1572.7,-4076.3,,-3256.0,-2276.0,-2663.8,-3057.6,-1619.0,-1682.6,-2762.0,-974.4,-2275.5,-1980.5,-1541.1,-2688.0,,1695.5,-4242.6,-1913.6,-2675.3,-2847.8,-2297.0,-1944.7,True,True,False,True,,False,False,False,True,False,,False,False,False,False,True,True,False,True,False,False,True,False,,True,False,False,False,False,False,False
Delaware,1307,1104.0,1025.3,1116.2,1075.0,1163.0,,1028.1,757.0,1427.4,1203.7,1153.1,,1096.0,1049.0,1083.2,884.3,1129.0,733.4,1051.0,1132.2,1063.0,1249.2,1351.5,1160.0,,1133.7,1276.3,1077.1,1141.8,875.9,1142.0,1224.9,-203.0,-281.7,-190.8,-232.0,-144.0,,-278.9,-550.0,120.4,-103.3,-153.9,,-211.0,-258.0,-223.8,-422.7,-178.0,-573.6,-256.0,-174.8,-244.0,-57.8,44.5,-147.0,,-173.3,-30.7,-229.9,-165.2,-431.1,-165.0,-82.1,False,True,False,True,,False,False,True,True,True,,False,False,False,False,True,False,False,True,False,True,True,True,,True,True,False,True,False,True,True
District of Columbia,625,560.0,66.3,587.0,501.0,737.0,,500.9,93.0,644.4,683.8,714.2,,566.0,502.0,458.5,402.7,618.0,374.5,522.0,560.0,506.0,721.0,,589.0,,366.1,225.8,529.1,488.1,,652.0,537.5,-65.0,-558.7,-38.0,-124.0,112.0,,-124.1,-532.0,19.4,58.8,89.2,,-59.0,-123.0,-166.5,-222.3,-7.0,-250.5,-103.0,-65.0,-119.0,96.0,,-36.0,,-258.9,-399.2,-95.9,-136.9,,27.0,-87.5,False,True,False,False,,False,False,True,True,False,,True,False,False,False,True,False,False,False,False,False,,True,,False,False,False,False,,True,False
Florida,34530,26296.0,18258.6,25832.2,26485.0,26040.0,,26418.2,6587.0,28410.1,30249.2,17940.1,,25751.0,27660.0,26746.6,24785.6,27022.0,15934.5,24423.0,32735.2,32410.0,32332.0,31477.9,30787.0,,26614.7,18396.2,22657.6,29323.4,29592.6,27024.0,29751.5,-8234.0,-16271.4,-8697.8,-8045.0,-8490.0,,-8111.8,-27943.0,-6119.9,-4280.8,-16589.9,,-8779.0,-6870.0,-7783.4,-9744.4,-7508.0,-18595.5,-10107.0,-1794.8,-2120.0,-2198.0,-3052.1,-3743.0,,-7915.3,-16133.8,-11872.4,-5206.6,-4937.4,-7506.0,-4778.5,False,False,True,False,,True,False,True,True,False,,False,True,True,False,True,False,False,True,True,True,True,True,,True,False,False,True,True,True,True
