,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,59940,45626.0,,38653.7,15833.0,,67315.0,35573.7,24965.0,14588.3,28551.0,124269.1,22616.0,-14314.0,,-21286.3,-44107.0,,7375.0,-24366.3,-34975.0,-45351.7,-31389.0,64329.1,-37324.0,,False,False,,True,False,False,False,False,False,False
Alaska,11623,3654.0,,4214.4,2739.0,,,4619.9,2559.0,1537.4,1860.9,4874.1,3580.0,-7969.0,,-7408.6,-8884.0,,,-7003.1,-9064.0,-10085.6,-9762.1,-6748.9,-8043.0,,True,False,,,True,False,False,False,True,False
Arizona,43833,33698.0,,21309.3,5015.0,,17930.0,34791.5,21388.5,7266.4,25955.9,49111.2,38510.0,-10135.0,,-22523.7,-38818.0,,-25903.0,-9041.5,-22444.5,-36566.6,-17877.1,5278.2,-5323.0,,False,False,,False,True,False,False,False,True,True
Arkansas,45668,38150.0,,30249.3,20165.0,,40967.0,50552.4,20625.5,15993.9,25327.1,32813.3,18777.0,-7518.0,,-15418.7,-25503.0,,-4701.0,4884.4,-25042.5,-29674.1,-20340.9,-12854.7,-26891.0,,False,False,,True,True,False,False,False,False,False
California,188745,170660.0,,110535.8,102108.0,,156993.0,78374.4,82704.2,50190.7,125061.1,108407.0,120203.0,-18085.0,,-78209.2,-86637.0,,-31752.0,-110370.6,-106040.8,-138554.3,-63683.9,-80338.0,-68542.0,,False,False,,False,False,False,False,False,False,False
Colorado,63611,24220.0,,18994.4,764.0,,16985.0,30542.4,15089.0,11391.6,12734.5,82357.2,39377.0,-39391.0,,-44616.6,-62847.0,,-46626.0,-33068.6,-48522.0,-52219.4,-50876.5,18746.2,-24234.0,,False,False,,False,True,False,False,False,True,True
Connecticut,22598,8407.0,,7459.2,15.0,,5217.0,9790.8,2241.6,575.3,7581.5,5829.3,4867.0,-14191.0,,-15138.8,-22583.0,,-17381.0,-12807.2,-20356.4,-22022.7,-15016.5,-16768.7,-17731.0,,False,False,,False,True,False,False,False,False,False
Delaware,6809,5061.0,,6249.2,9.0,,3503.0,7822.5,2147.8,1476.5,3338.7,4513.8,3315.0,-1748.0,,-559.8,-6800.0,,-3306.0,1013.5,-4661.2,-5332.5,-3470.3,-2295.2,-3494.0,,True,False,,False,True,False,False,False,False,False
District of Columbia,2989,2863.0,,1773.4,83.0,,1884.0,1887.9,1270.2,1327.5,2213.7,2859.7,3534.0,-126.0,,-1215.6,-2906.0,,-1105.0,-1101.1,-1718.8,-1661.5,-775.3,-129.3,545.0,,False,False,,False,False,False,False,False,False,False
Florida,155844,137634.0,,104037.3,30708.0,,117836.0,112190.2,71313.1,35601.6,100188.0,91391.7,76976.0,-18210.0,,-51806.7,-125136.0,,-38008.0,-43653.8,-84530.9,-120242.4,-55656.0,-64452.3,-78868.0,,False,False,,False,False,False,False,False,False,False
Georgia,100016,84812.0,,60389.0,43109.0,,79433.0,59097.9,42205.1,30438.8,54209.7,51567.9,43038.0,-15204.0,,-39627.0,-56907.0,,-20583.0,-40918.1,-57810.9,-69577.2,-45806.3,-48448.1,-56978.0,,False,False,,False,False,False,False,False,False,False
Hawaii,4566,5166.0,,3083.7,3071.0,,,2131.5,2574.7,999.7,4820.8,2316.6,2096.0,600.0,,-1482.3,-1495.0,,,-2434.5,-1991.3,-3566.3,254.8,-2249.4,-2470.0,,False,False,,,False,False,False,True,False,False
Idaho,35065,14560.0,,13052.2,7723.0,,12053.0,9936.5,6983.4,6788.5,8476.3,15221.3,9517.0,-20505.0,,-22012.8,-27342.0,,-23012.0,-25128.5,-28081.6,-28276.5,-26588.7,-19843.7,-25548.0,,False,False,,False,False,False,False,False,True,False
Illinois,202937,91294.0,,65084.8,12068.0,,68246.0,94592.1,47612.5,56489.7,77230.5,68962.8,53845.0,-111643.0,,-137852.2,-190869.0,,-134691.0,-108344.9,-155324.5,-146447.3,-125706.5,-133974.2,-149092.0,,False,False,,False,True,False,False,False,False,False
Indiana,94963,43386.0,,38208.3,29095.0,,26589.0,35982.9,22833.5,21262.3,32851.9,35903.7,30709.0,-51577.0,,-56754.7,-65868.0,,-68374.0,-58980.1,-72129.5,-73700.7,-62111.1,-59059.3,-64254.0,,False,False,,False,False,False,False,False,False,False
Iowa,70450,39193.0,,29558.7,30144.0,,34109.0,25075.7,23239.2,21855.9,26772.6,42436.9,18326.0,-31257.0,,-40891.3,-40306.0,,-36341.0,-45374.3,-47210.8,-48594.1,-43677.4,-28013.1,-52124.0,,False,False,,False,False,False,False,False,True,False
Kansas,47191,26796.0,,21377.3,24485.0,,19439.0,14527.6,12254.3,8620.3,25799.4,17412.8,16468.0,-20395.0,,-25813.7,-22706.0,,-27752.0,-32663.4,-34936.7,-38570.7,-21391.6,-29778.2,-30723.0,,False,False,,False,False,False,False,False,False,False
Kentucky,58555,32837.0,,29137.7,29337.0,,33983.0,28554.1,17862.0,16561.4,26805.0,30793.1,27949.0,-25718.0,,-29417.3,-29218.0,,-24572.0,-30000.9,-40693.0,-41993.6,-31750.0,-27761.9,-30606.0,,False,False,,True,False,False,False,False,False,False
Louisiana,30393,28763.0,,17354.4,13455.0,,44054.0,18099.4,15442.0,12986.6,23297.2,12879.4,14006.0,-1630.0,,-13038.6,-16938.0,,13661.0,-12293.6,-14951.0,-17406.4,-7095.8,-17513.6,-16387.0,,False,False,,False,False,False,False,False,False,False
Maine,2566,1400.0,,1119.3,317.0,,3319.0,1971.2,840.0,392.8,1033.0,3287.6,1757.0,-1166.0,,-1446.7,-2249.0,,753.0,-594.8,-1726.0,-2173.2,-1533.0,721.6,-809.0,,False,False,,True,True,False,False,False,True,True
Maryland,33171,29477.0,,24097.1,797.0,,23651.0,36117.5,14201.4,12541.4,23170.1,23932.9,21188.0,-3694.0,,-9073.9,-32374.0,,-9520.0,2946.5,-18969.6,-20629.6,-10000.9,-9238.1,-11983.0,,False,False,,False,True,False,False,False,False,False
Massachusetts,42395,18487.0,,4952.4,110.0,,10323.0,19695.5,11079.9,4452.0,15261.8,50457.2,29760.0,-23908.0,,-37442.6,-42285.0,,-32072.0,-22699.5,-31315.1,-37943.0,-27133.2,8062.2,-12635.0,,False,False,,False,True,False,False,False,True,True
Michigan,100986,35203.0,,27676.6,10340.0,,42906.0,38822.2,10745.9,4873.5,20623.3,17712.4,13153.0,-65783.0,,-73309.4,-90646.0,,-58080.0,-62163.8,-90240.1,-96112.5,-80362.7,-83273.6,-87833.0,,False,False,,True,True,False,False,False,False,False
Minnesota,86233,35931.0,,26478.3,4019.0,,38209.0,31431.0,31467.3,25481.5,30298.9,107203.1,46483.0,-50302.0,,-59754.7,-82214.0,,-48024.0,-54802.0,-54765.7,-60751.5,-55934.1,20970.1,-39750.0,,False,False,,True,False,False,False,False,True,True
Mississippi,32798,24269.0,,15323.8,9937.0,,24987.0,20779.0,13292.7,7997.1,14156.6,15036.3,11076.0,-8529.0,,-17474.2,-22861.0,,-7811.0,-12019.0,-19505.3,-24800.9,-18641.4,-17761.7,-21722.0,,False,False,,True,False,False,False,False,False,False
Missouri,96473,74018.0,,65349.2,49678.0,,48438.0,68383.5,39557.4,34035.2,45064.7,57109.4,43253.0,-22455.0,,-31123.8,-46795.0,,-48035.0,-28089.5,-56915.6,-62437.8,-51408.3,-39363.6,-53220.0,,False,False,,False,False,False,False,False,False,False
Montana,28785,8666.0,,7471.2,3447.0,,10428.0,6987.7,6527.3,3515.8,4388.9,20562.5,8748.0,-20119.0,,-21313.8,-25338.0,,-18357.0,-21797.3,-22257.7,-25269.2,-24396.1,-8222.5,-20037.0,,False,False,,True,False,False,False,False,True,True
Nebraska,41598,18739.0,,17060.1,1612.0,,11698.0,26581.5,10520.9,6736.2,16004.7,18988.8,10171.0,-22859.0,,-24537.9,-39986.0,,-29900.0,-15016.5,-31077.1,-34861.8,-25593.3,-22609.2,-31427.0,,False,False,,False,True,False,False,False,True,False
Nevada,33327,15393.0,,12370.6,7135.0,,7040.0,11007.6,9021.6,8948.0,11022.3,12964.5,12979.0,-17934.0,,-20956.4,-26192.0,,-26287.0,-22319.4,-24305.4,-24379.0,-22304.7,-20362.5,-20348.0,,False,False,,False,False,False,False,False,False,False
New Hampshire,4321,1876.0,,2169.6,2.0,,1381.0,2094.6,993.6,842.4,1670.0,4080.9,1807.0,-2445.0,,-2151.4,-4319.0,,-2940.0,-2226.4,-3327.4,-3478.6,-2651.0,-240.1,-2514.0,,True,False,,False,True,False,False,False,True,False
New Jersey,64940,20804.0,,10740.5,78.0,,14768.0,28387.3,11378.2,31872.7,26833.9,32451.4,27545.0,-44136.0,,-54199.5,-64862.0,,-50172.0,-36552.7,-53561.8,-33067.3,-38106.1,-32488.6,-37395.0,,False,False,,False,True,False,True,True,True,True
