,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,66352,46744.0,,59107.4,,36836.0,19477.0,43434.8,12118.1,22599.2,26895.0,21385.0,-19608.0,,-7244.6,,-29516.0,-46875.0,-22917.2,-54233.9,-43752.8,-39457.0,-44967.0,,True,,False,False,False,False,False,False,False
Alaska,12177,4240.0,,6572.6,,,5533.7,5124.6,2148.5,2339.4,4898.2,3899.0,-7937.0,,-5604.4,,,-6643.3,-7052.4,-10028.5,-9837.6,-7278.8,-8278.0,,True,,,True,True,False,False,True,False
Arizona,49256,20888.0,,24536.2,,22318.0,21132.4,18667.1,8638.3,24015.7,13155.7,13656.0,-28368.0,,-24719.8,,-26938.0,-28123.6,-30588.9,-40617.7,-25240.3,-36100.3,-35600.0,,True,,True,True,False,False,True,False,False
Arkansas,51118,40160.0,,30222.2,,38424.0,46080.5,52284.8,17958.4,27288.7,44538.1,32936.0,-10958.0,,-20895.8,,-12694.0,-5037.5,1166.8,-33159.6,-23829.3,-6579.9,-18182.0,,False,,False,True,True,False,False,True,False
California,210429,188952.0,,135476.6,,207242.0,139559.7,156735.1,52246.8,141588.6,78739.1,62382.0,-21477.0,,-74952.4,,-3187.0,-70869.3,-53693.9,-158182.2,-68840.4,-131689.9,-148047.0,,False,,True,False,False,False,False,False,False
Colorado,67071,15280.0,,15851.5,,13056.0,15527.1,13699.6,9230.7,7943.2,28565.4,17758.0,-51791.0,,-51219.5,,-54015.0,-51543.9,-53371.4,-57840.3,-59127.8,-38505.6,-49313.0,,True,,False,True,False,False,False,True,True
Connecticut,23799,7688.0,,5169.9,,5897.0,3155.4,3978.3,600.7,9980.3,4752.1,6134.0,-16111.0,,-18629.1,,-17902.0,-20643.6,-19820.7,-23198.3,-13818.7,-19046.9,-17665.0,,False,,False,False,False,False,True,False,False
Delaware,7532,6672.0,,8671.6,,3542.0,9083.7,3837.7,4146.8,4738.0,7741.4,9211.0,-860.0,,1139.6,,-3990.0,1551.7,-3694.3,-3385.2,-2794.0,209.4,1679.0,,False,,False,False,False,False,False,True,False
District of Columbia,3398,2040.0,,2161.1,,2882.0,778.6,2349.6,2312.6,1324.6,2529.4,723.0,-1358.0,,-1236.9,,-516.0,-2619.4,-1048.4,-1085.4,-2073.4,-868.6,-2675.0,,True,,True,False,True,True,False,True,False
Florida,175506,141632.0,,114261.7,,155784.0,166603.9,123457.4,45241.5,94714.4,72310.2,68441.0,-33874.0,,-61244.3,,-19722.0,-8902.1,-52048.6,-130264.5,-80791.6,-103195.8,-107065.0,,False,,True,True,False,False,False,False,False
