,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,2200196.0,2587677,-387481.0,-15.0%
CU-select,1848909.0,2587677,-738768.0,-28.5%
JCB-PRM,1821005.3,2587677,-766671.7,-29.6%
Covid19Sim-Simulator,1592490.4,2587677,-995186.6,-38.5%
QJHong-Encounter,1566463.4,2587677,-1021213.6,-39.5%
COVIDhub-baseline,1512690.0,2587677,-1074987.0,-41.5%
JHU_IDD-CovidSP,1481888.9,2587677,-1105788.1,-42.7%
USC-SI_kJalpha,1448411.0,2587677,-1139266.0,-44.0%
Karlen-pypm,1391230.6,2587677,-1196446.4,-46.2%
JHUAPL-Bucky,1360794.3,2587677,-1226882.7,-47.4%
IowaStateLW-STEM,1190269.0,2587677,-1397408.0,-54.0%
UCLA-SuEIR,1049402.1,2587677,-1538274.9,-59.4%
RobertWalraven-ESG,904940.7,2587677,-1682736.3,-65.0%
LANL-GrowthRate,902579.8,2587677,-1685097.2,-65.1%
CovidAnalytics-DELPHI,697057.0,2587677,-1890620.0,-73.1%
