,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,385,320.0,416.6,,253.0,226.0,,,,,650.6,,166.0,,233.9,80.0,,222.5,252.4,,,,,272.2,,,,263.0,298.9,-65.0,31.6,,-132.0,-159.0,,,,,265.6,,-219.0,,-151.1,-305.0,,-162.5,-132.6,,,,,-112.8,,,,-122.0,-86.1,True,,False,False,,,,,False,,False,,False,False,,False,False,,,,,False,,,,False,False
01003,1050,568.0,595.5,,580.0,767.0,,,,,2449.7,,737.0,,463.1,772.1,,267.6,579.6,,,,,421.0,695.0,,,0.0,2811.4,-482.0,-454.5,,-470.0,-283.0,,,,,1399.7,,-313.0,,-586.9,-277.9,,-782.4,-470.4,,,,,-629.0,-355.0,,,-1050.0,1761.4,True,,True,True,,,,,False,,True,,False,True,,False,True,,,,,False,True,,,False,False
01005,155,84.0,16.8,,73.0,76.0,,,,,281.0,,72.0,,93.1,48.5,,24.3,56.3,,,,,,,,,87.0,147.6,-71.0,-138.2,,-82.0,-79.0,,,,,126.0,,-83.0,,-61.9,-106.5,,-130.7,-98.7,,,,,,,,,-68.0,-7.4,False,,False,False,,,,,False,,False,,True,False,,False,False,,,,,,,,,True,True
01007,200,192.0,186.0,,156.0,100.0,,,,,291.2,,74.0,,152.3,45.8,,137.2,164.4,,,,,,,,,287.0,411.6,-8.0,-14.0,,-44.0,-100.0,,,,,91.2,,-126.0,,-47.7,-154.2,,-62.8,-35.6,,,,,,,,,87.0,211.6,False,,False,False,,,,,False,,False,,False,False,,False,False,,,,,,,,,False,False
01009,582,196.0,104.8,,164.0,99.0,,,,,530.4,,256.0,,143.5,100.2,,147.9,189.8,,,,,168.7,,,,92.0,1232.6,-386.0,-477.2,,-418.0,-483.0,,,,,-51.6,,-326.0,,-438.5,-481.8,,-434.1,-392.2,,,,,-413.3,,,,-490.0,650.6,False,,False,False,,,,,True,,True,,False,False,,False,False,,,,,False,,,,False,False
01011,40,40.0,33.3,,30.0,1.0,,,,,190.7,,29.0,,31.6,14.7,,9.9,39.6,,,,,,,,,0.0,51.2,0.0,-6.7,,-10.0,-39.0,,,,,150.7,,-11.0,,-8.4,-25.3,,-30.1,-0.4,,,,,,,,,-40.0,11.2,False,,False,False,,,,,False,,False,,False,False,,False,False,,,,,,,,,False,False
01013,97,112.0,134.4,,81.0,0.0,,,,,291.0,,58.0,,68.9,20.0,,58.8,113.6,,,,,,,,,125.0,305.9,15.0,37.4,,-16.0,-97.0,,,,,194.0,,-39.0,,-28.1,-77.0,,-38.2,16.6,,,,,,,,,28.0,208.9,False,,False,False,,,,,False,,False,,False,False,,False,False,,,,,,,,,False,False
01015,1350,652.0,389.4,,525.0,647.0,,,,,1296.7,,497.0,,543.1,404.7,,356.7,489.4,,,,,616.0,,,,14.0,1191.9,-698.0,-960.6,,-825.0,-703.0,,,,,-53.3,,-853.0,,-806.9,-945.3,,-993.3,-860.6,,,,,-734.0,,,,-1336.0,-158.1,False,,False,False,,,,,True,,False,,False,False,,False,False,,,,,False,,,,False,True
01017,250,152.0,202.9,,104.0,316.0,,,,,696.6,,84.0,,144.0,68.2,,69.7,95.9,,,,,79.3,,,,258.0,129.0,-98.0,-47.1,,-146.0,66.0,,,,,446.6,,-166.0,,-106.0,-181.8,,-180.3,-154.1,,,,,-170.7,,,,8.0,-121.0,True,,False,True,,,,,False,,False,,False,False,,False,False,,,,,False,,,,True,False
01019,184,108.0,41.8,,103.0,112.0,,,,,267.0,,110.0,,102.5,59.2,,62.5,98.0,,,,,,,,,85.0,292.3,-76.0,-142.2,,-81.0,-72.0,,,,,83.0,,-74.0,,-81.5,-124.8,,-121.5,-86.0,,,,,,,,,-99.0,108.3,False,,False,True,,,,,False,,True,,False,False,,False,False,,,,,,,,,False,False
