,count,mean,median,std,min,25%,75%,max
DDS-NBDS,51,14170.3,8686.0,17723.7,8.2,3150.3,16364.4,90115.0
JCB-PRM,51,14293.9,10249.6,15815.1,37.3,2967.0,20398.9,73808.6
CU-select,51,14614.4,9562.0,17525.3,128.0,3481.5,19861.0,75175.0
LNQ-ens1,51,15392.9,9780.5,20405.3,90.0,3235.6,22471.2,109870.4
USACE-ERDC_SEIR,51,15536.6,9490.3,22526.6,2.5,2076.8,15606.1,127242.8
Karlen-pypm,51,16509.3,8704.7,20325.0,21.4,4316.5,23424.8,110160.5
UMich-RidgeTfReg,50,17639.7,9813.9,21556.8,116.9,2963.6,24984.1,101586.3
COVIDhub-baseline,51,17733.1,11123.0,20937.3,62.0,4823.0,21354.0,93374.0
USC-SI_kJalpha,51,17759.1,10327.0,22750.3,165.0,4135.0,21108.0,107086.0
CEID-Walk,51,18120.6,11279.0,22127.0,80.4,4584.9,21359.0,110840.5
Covid19Sim-Simulator,51,19146.7,12325.8,19907.3,160.4,5169.4,26262.2,99362.7
COVIDhub-ensemble,51,20203.0,12195.0,23076.3,55.0,5647.0,26374.0,109240.0
JHUAPL-Bucky,51,20431.8,11527.6,23107.7,103.3,5684.2,26317.0,104317.4
IowaStateLW-STEM,49,23216.7,16623.0,23020.7,334.0,6471.0,32067.0,109790.0
RobertWalraven-ESG,51,23981.6,15484.0,26700.9,431.7,6427.2,32701.0,125251.7
JHU_IDD-CovidSP,51,24190.5,18270.3,26197.6,43.6,6336.0,29934.6,117592.6
LANL-GrowthRate,51,24509.6,15468.7,26855.4,317.7,8929.3,32876.0,146544.9
UCLA-SuEIR,51,24955.5,15636.1,26701.8,232.7,8962.9,31032.0,132650.6
Google_Harvard-CPF,51,25951.6,15553.4,27557.0,273.2,7770.5,35556.1,132243.2
TTU-squider,51,30175.2,20221.3,31014.2,339.7,7537.3,37506.0,131343.6
CovidAnalytics-DELPHI,51,30387.6,19159.0,33096.4,424.0,9716.5,38383.5,157934.0
