,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,528,546.0,2475.0,,,,,692.0,,486.3,124.4,180.5,,292.9,461.7,,,18.0,1947.0,,,,,164.0,,-41.7,-403.6,-347.5,,-235.1,-66.3,,,False,,,,,False,,False,False,False,,False,False,,
01003,1761,2580.0,400.0,,,,,1163.0,,2579.9,1365.2,2239.2,,745.3,1815.5,,,819.0,-1361.0,,,,,-598.0,,818.9,-395.8,478.2,,-1015.7,54.5,,,False,,,,,True,,True,True,True,,False,True,,
01005,213,312.0,8.0,,,,,365.0,,296.6,60.8,70.9,,52.5,112.8,,,99.0,-205.0,,,,,152.0,,83.6,-152.2,-142.1,,-160.5,-100.2,,,False,,,,,False,,True,False,False,,False,False,,
01007,284,156.0,57.0,,,,,371.0,,175.6,73.5,45.9,,80.6,91.7,,,-128.0,-227.0,,,,,87.0,,-108.4,-210.5,-238.1,,-203.4,-192.3,,,False,,,,,True,,True,False,False,,False,False,,
01009,679,414.0,494.0,,,,,899.0,,467.0,215.5,126.9,,68.9,202.4,,,-265.0,-185.0,,,,,220.0,,-212.0,-463.5,-552.1,,-610.1,-476.6,,,True,,,,,True,,True,False,False,,False,False,,
01011,59,114.0,,,,,,223.0,,69.8,24.3,21.2,,27.7,87.8,,,55.0,,,,,,164.0,,10.8,-34.7,-37.8,,-31.3,28.8,,,,,,,,False,,True,True,True,,True,True,,
01013,144,24.0,93.0,,,,,228.0,,42.4,23.5,3.1,,33.6,39.1,,,-120.0,-51.0,,,,,84.0,,-101.6,-120.5,-140.9,,-110.4,-104.9,,,True,,,,,True,,True,False,False,,True,True,,
01015,1694,1170.0,773.0,,,,,1441.0,,1158.4,766.9,541.5,,511.4,671.2,,,-524.0,-921.0,,,,,-253.0,,-535.6,-927.1,-1152.5,,-1182.6,-1022.8,,,False,,,,,True,,False,False,False,,False,False,,
01017,328,246.0,1046.0,,,,,289.0,,228.7,104.4,49.3,,43.5,88.4,,,-82.0,718.0,,,,,-39.0,,-99.3,-223.6,-278.7,,-284.4,-239.6,,,False,,,,,True,,False,False,False,,False,False,,
01019,245,318.0,857.0,,,,,311.0,,384.7,117.5,98.9,,33.4,178.7,,,73.0,612.0,,,,,66.0,,139.7,-127.5,-146.1,,-211.6,-66.3,,,False,,,,,True,,False,False,False,,False,True,,
01021,430,684.0,1030.0,,,,,869.0,,552.4,204.5,282.6,,212.4,334.1,,,254.0,600.0,,,,,439.0,,122.4,-225.5,-147.4,,-217.6,-95.9,,,False,,,,,False,,True,True,True,,True,True,,
01023,58,18.0,6.0,,,,,121.0,,32.7,21.5,7.0,,33.1,22.0,,,-40.0,-52.0,,,,,63.0,,-25.3,-36.5,-51.0,,-24.9,-36.0,,,False,,,,,False,,True,True,False,,True,True,,
01025,359,252.0,159.0,,,,,382.0,,236.9,49.5,82.6,,9.2,225.1,,,-107.0,-200.0,,,,,23.0,,-122.1,-309.5,-276.4,,-349.8,-133.9,,,False,,,,,True,,False,False,False,,False,False,,
01027,235,294.0,337.0,,,,,146.0,,268.8,56.1,78.0,,47.0,175.9,,,59.0,102.0,,,,,-89.0,,33.8,-178.9,-157.0,,-188.0,-59.1,,,False,,,,,False,,True,False,False,,False,False,,
01029,233,360.0,333.0,,,,,216.0,,286.7,33.8,179.3,,45.8,202.4,,,127.0,100.0,,,,,-17.0,,53.7,-199.2,-53.7,,-187.2,-30.6,,,True,,,,,True,,True,False,True,,False,True,,
01031,634,468.0,289.0,,,,,771.0,,322.1,318.1,234.3,,446.4,399.0,,,-166.0,-345.0,,,,,137.0,,-311.9,-315.9,-399.7,,-187.6,-235.0,,,False,,,,,True,,False,False,False,,False,False,,
01033,800,318.0,906.0,,,,,697.0,,241.2,156.5,155.3,,245.6,175.3,,,-482.0,106.0,,,,,-103.0,,-558.8,-643.5,-644.7,,-554.4,-624.7,,,True,,,,,True,,False,False,False,,False,False,,
