,predicted_cases,actual_cases,error,perc_error
RobertWalraven-ESG,1229052.0,1372360,-143308.0,-10.4%
DDS-NBDS,1197306.4,1372360,-175053.6,-12.8%
Karlen-pypm,1170923.5,1372360,-201436.5,-14.7%
LNQ-ens1,1163134.0,1372360,-209226.0,-15.2%
IBF-TimeSeries,1158649.0,1372360,-213711.0,-15.6%
UMich-RidgeTfReg,1122179.8,1372360,-250180.2,-18.2%
OliverWyman-Navigator,1100851.0,1372360,-271509.0,-19.8%
USACE-ERDC_SEIR,1071934.8,1372360,-300425.2,-21.9%
BPagano-RtDriven,1053519.0,1372360,-318841.0,-23.2%
QJHong-Encounter,1042771.6,1372360,-329588.4,-24.0%
Covid19Sim-Simulator,1025480.9,1372360,-346879.1,-25.3%
Columbia_UNC-SurvCon,1024486.0,1372360,-347874.0,-25.3%
CU-select,1016478.0,1372360,-355882.0,-25.9%
COVIDhub-ensemble,980921.0,1372360,-391439.0,-28.5%
USC-SI_kJalpha,978389.0,1372360,-393971.0,-28.7%
JCB-PRM,967755.3,1372360,-404604.7,-29.5%
IQVIA_ACOE-STAN,946451.0,1372360,-425909.0,-31.0%
COVIDhub-baseline,937586.0,1372360,-434774.0,-31.7%
UCLA-SuEIR,931293.4,1372360,-441066.6,-32.1%
CEID-Walk,930287.5,1372360,-442072.5,-32.2%
IowaStateLW-STEM,925493.0,1372360,-446867.0,-32.6%
JHU_CSSE-DECOM,921635.0,1372360,-450725.0,-32.8%
JHUAPL-Bucky,908920.5,1372360,-463439.5,-33.8%
LANL-GrowthRate,749318.5,1372360,-623041.5,-45.4%
CovidAnalytics-DELPHI,560450.0,1372360,-811910.0,-59.2%
JHU_IDD-CovidSP,557826.5,1372360,-814533.5,-59.4%
TTU-squider,492440.0,1372360,-879920.0,-64.1%
Google_Harvard-CPF,,1372360,,
JHU_UNC_GAS-StatMechPool,,1372360,,
UCSB-ACTS,,1372360,,
