,mean_rank
MSRA-DeepST,8.3
LNQ-ens1,8.4
Geneva-DetGrowth,8.7
DDS-NBDS,9.1
OliverWyman-Navigator,9.5
Karlen-pypm,9.5
USC-SI_kJalpha_RF,10.1
LANL-GrowthRate,11.0
CU-select,12.6
Google_Harvard-CPF,13.3
USC-SI_kJalpha,13.5
JHU_CSSE-DECOM,14.2
UMich-RidgeTfReg,14.3
JCB-PRM,14.7
IowaStateLW-STEM,14.8
IQVIA_ACOE-STAN,15.0
CEID-Walk,15.5
COVIDhub-baseline,15.6
COVIDhub-ensemble,15.6
JHU_UNC_GAS-StatMechPool,16.4
UCSB-ACTS,16.4
RobertWalraven-ESG,17.1
JHUAPL-Bucky,17.8
Covid19Sim-Simulator,19.4
UCLA-SuEIR,20.7
BPagano-RtDriven,20.7
TTU-squider,21.7
JHU_IDD-CovidSP,25.5
CovidAnalytics-DELPHI,25.5
