,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,611,1687.0,,,,,922.0,,1758.1,,285.4,795.4,,,1076.0,,,,,311.0,,1147.1,,-325.6,184.4,,,,,,,True,,False,,True,True,,
01003,2197,2065.0,,,,,1237.0,,1646.6,,291.9,1600.0,,,-132.0,,,,,-960.0,,-550.4,,-1905.1,-597.0,,,,,,,False,,False,,False,False,,
01005,264,1470.0,,,,,350.0,,892.3,,1.2,,,,1206.0,,,,,86.0,,628.3,,-262.8,,,,,,,,True,,True,,True,,,
01007,311,364.0,,,,,437.0,,134.7,,75.8,,,,53.0,,,,,126.0,,-176.3,,-235.2,,,,,,,,False,,False,,False,,,
01009,738,2996.0,,,,,890.0,,3573.8,,70.7,1111.1,,,2258.0,,,,,152.0,,2835.8,,-667.3,373.1,,,,,,,True,,False,,True,True,,
01011,78,231.0,,,,,252.0,,21.0,,0.0,,,,153.0,,,,,174.0,,-57.0,,-78.0,,,,,,,,False,,True,,True,,,
01013,154,301.0,,,,,274.0,,72.3,,29.6,,,,147.0,,,,,120.0,,-81.7,,-124.4,,,,,,,,True,,True,,True,,,
01015,1890,4144.0,,,,,1639.0,,3553.3,,197.5,2849.6,,,2254.0,,,,,-251.0,,1663.3,,-1692.5,959.6,,,,,,,True,,True,,True,True,,
01017,364,1820.0,,,,,363.0,,1066.8,,32.6,,,,1456.0,,,,,-1.0,,702.8,,-331.4,,,,,,,,True,,True,,True,,,
01019,292,1141.0,,,,,288.0,,1412.5,,332.9,,,,849.0,,,,,-4.0,,1120.5,,40.9,,,,,,,,True,,False,,True,,,
01021,535,1659.0,,,,,980.0,,1716.8,,470.9,725.7,,,1124.0,,,,,445.0,,1181.8,,-64.1,190.7,,,,,,,True,,False,,True,True,,
01023,68,112.0,,,,,109.0,,9.2,,57.6,,,,44.0,,,,,41.0,,-58.8,,-10.4,,,,,,,,True,,False,,True,,,
01025,405,798.0,,,,,417.0,,380.6,,10.3,,,,393.0,,,,,12.0,,-24.4,,-394.7,,,,,,,,True,,True,,False,,,
01027,284,805.0,,,,,188.0,,449.3,,65.7,,,,521.0,,,,,-96.0,,165.3,,-218.3,,,,,,,,True,,True,,True,,,
