,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,52553,44562.0,36693.0,,30501.8,11910.0,,51840.0,29211.6,39265.0,19189.1,25007.8,,28556.8,5911.9,27283.0,-7991.0,-15860.0,,-22051.2,-40643.0,,-713.0,-23341.4,-13288.0,-33363.9,-27545.2,,-23996.2,-46641.1,-25270.0,False,,False,False,,True,False,False,False,False,,False,False,False
Alaska,10918,3828.0,860.0,,4261.2,2724.0,,,5041.9,3831.1,3288.2,3078.5,2642.3,2219.4,7343.6,3763.0,-7090.0,-10058.0,,-6656.8,-8194.0,,,-5876.1,-7086.9,-7629.8,-7839.5,-8275.7,-8698.6,-3574.4,-7155.0,False,,True,False,,,True,True,False,False,False,False,True,False
Arizona,40558,19650.0,13079.0,,20012.5,3387.0,,17877.0,25215.1,15182.9,14989.7,9026.6,5659.9,14486.7,14006.1,6435.0,-20908.0,-27479.0,,-20545.5,-37171.0,,-22681.0,-15342.9,-25375.1,-25568.3,-31531.4,-34898.2,-26071.3,-26551.9,-34123.0,False,,True,False,,False,True,False,False,False,False,False,False,False
Arkansas,40073,33570.0,36272.0,,32140.0,19712.0,,34971.0,50187.8,34064.3,13433.1,18481.7,11906.6,22122.2,20771.5,23146.0,-6503.0,-3801.0,,-7933.0,-20361.0,,-5102.0,10114.8,-6008.7,-26639.9,-21591.3,-28166.4,-17950.8,-19301.5,-16927.0,True,,False,False,,True,False,True,False,False,False,False,False,False
California,161911,144828.0,179443.0,,106781.3,75442.0,,129002.0,113852.8,115719.5,129000.5,70126.7,59845.6,99320.6,111575.5,116431.0,-17083.0,17532.0,,-55129.7,-86469.0,,-32909.0,-48058.2,-46191.5,-32910.5,-91784.3,-102065.4,-62590.4,-50335.5,-45480.0,False,,False,False,,False,False,False,False,False,False,False,False,False
Colorado,59457,24918.0,69881.0,,23901.9,818.0,,28125.0,49083.0,22839.1,22512.2,15086.2,10271.4,15438.4,34996.2,42548.0,-34539.0,10424.0,,-35555.1,-58639.0,,-31332.0,-10374.0,-36617.9,-36944.8,-44370.8,-49185.6,-44018.6,-24460.8,-16909.0,True,,False,False,,True,True,False,False,False,False,False,True,True
Connecticut,21538,6360.0,17981.0,,5550.8,7.0,,5149.0,6287.9,5139.4,13665.7,1817.1,330.9,5211.6,3432.5,2777.0,-15178.0,-3557.0,,-15987.2,-21531.0,,-16389.0,-15250.1,-16398.6,-7872.3,-19720.9,-21207.1,-16326.4,-18105.5,-18761.0,True,,False,False,,False,False,False,True,False,False,False,False,False
Delaware,6102,4242.0,3014.0,,4268.6,5.0,,3034.0,7483.0,2981.9,3538.5,2308.2,2083.0,2753.3,3359.1,2550.0,-1860.0,-3088.0,,-1833.4,-6097.0,,-3068.0,1381.0,-3120.1,-2563.5,-3793.8,-4019.0,-3348.7,-2742.9,-3552.0,False,,True,False,,False,True,False,False,False,False,False,False,False
District of Columbia,2676,1878.0,725.0,,1316.5,57.0,,1171.0,2286.2,1254.9,2124.5,1027.7,271.6,1393.2,1495.5,1696.0,-798.0,-1951.0,,-1359.5,-2619.0,,-1505.0,-389.8,-1421.1,-551.5,-1648.3,-2404.3,-1282.8,-1180.5,-980.0,False,,False,False,,False,True,False,True,False,False,False,False,False
Florida,138395,104694.0,169039.0,,79604.9,24685.0,,85456.0,103977.1,80530.3,121046.2,54335.3,33435.0,70029.4,65802.6,75367.0,-33701.0,30644.0,,-58790.1,-113710.0,,-52939.0,-34417.9,-57864.7,-17348.8,-84059.7,-104960.0,-68365.6,-72592.4,-63028.0,True,,False,False,,False,False,False,True,False,False,False,False,False
