,mean_rank
OliverWyman-Navigator,6.7
LNQ-ens1,6.8
DDS-NBDS,8.0
Karlen-pypm,8.3
JCB-PRM,10.3
USACE-ERDC_SEIR,10.8
UMich-RidgeTfReg,11.3
JHU_CSSE-DECOM,12.2
CU-select,12.4
JHU_UNC_GAS-StatMechPool,12.6
Google_Harvard-CPF,12.6
USC-SI_kJalpha,12.6
UCSB-ACTS,12.9
IQVIA_ACOE-STAN,13.2
CEID-Walk,14.1
COVIDhub-baseline,14.1
BPagano-RtDriven,14.5
COVIDhub-ensemble,14.7
JHUAPL-Bucky,15.2
IowaStateLW-STEM,15.3
Covid19Sim-Simulator,16.0
RobertWalraven-ESG,17.3
LANL-GrowthRate,17.9
JHU_IDD-CovidSP,21.7
CovidAnalytics-DELPHI,21.7
UCLA-SuEIR,21.9
TTU-squider,22.8
