,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,301,255.0,,286.8,,196.0,219.0,,,,,299.3,,133.0,,187.6,100.0,,162.5,258.2,,,416.0,,,,202.6,,,360.0,151.2,-46.0,,-14.2,,-105.0,-82.0,,,,,-1.7,,-168.0,,-113.4,-201.0,,-138.5,-42.8,,,115.0,,,,-98.4,,,59.0,-149.8,,True,,False,False,,,,,True,,False,,False,False,,False,True,,,False,,,,False,,,False,False
01003,876,480.0,,483.3,,428.0,447.0,,,,,1542.1,,575.0,,346.0,330.1,,351.6,439.7,,,377.0,,,,481.6,212.0,,0.0,1569.4,-396.0,,-392.7,,-448.0,-429.0,,,,,666.1,,-301.0,,-530.0,-545.9,,-524.4,-436.3,,,-499.0,,,,-394.4,-664.0,,-876.0,693.4,,True,,False,False,,,,,False,,True,,False,False,,False,False,,,False,,,,True,False,,False,False
01005,117,105.0,,59.6,,58.0,99.0,,,,,109.3,,56.0,,56.3,45.0,,45.9,96.6,,,119.0,,,,,,,103.0,109.2,-12.0,,-57.4,,-59.0,-18.0,,,,,-7.7,,-61.0,,-60.7,-72.0,,-71.1,-20.4,,,2.0,,,,,,,-14.0,-7.8,,False,,False,False,,,,,True,,False,,False,False,,False,False,,,True,,,,,,,False,True
01007,151,147.0,,140.3,,118.0,104.0,,,,,90.9,,67.0,,123.3,32.5,,94.1,148.0,,,255.0,,,,,,,217.0,84.2,-4.0,,-10.7,,-33.0,-47.0,,,,,-60.1,,-84.0,,-27.7,-118.5,,-56.9,-3.0,,,104.0,,,,,,,66.0,-66.8,,False,,False,False,,,,,False,,False,,False,False,,False,True,,,False,,,,,,,False,False
01009,465,309.0,,282.6,,256.0,445.0,,,,,290.3,,200.0,,208.0,80.2,,252.9,360.7,,,508.0,,,,221.8,,,177.0,215.5,-156.0,,-182.4,,-209.0,-20.0,,,,,-174.7,,-265.0,,-257.0,-384.8,,-212.1,-104.3,,,43.0,,,,-243.2,,,-288.0,-249.5,,False,,False,True,,,,,False,,False,,False,False,,False,True,,,True,,,,False,,,False,False
01011,31,33.0,,30.0,,23.0,0.0,,,,,63.3,,24.0,,23.8,15.3,,9.3,29.3,,,37.0,,,,,,,0.0,30.7,2.0,,-1.0,,-8.0,-31.0,,,,,32.3,,-7.0,,-7.2,-15.7,,-21.7,-1.7,,,6.0,,,,,,,-31.0,-0.3,,True,,False,False,,,,,False,,False,,False,False,,False,True,,,False,,,,,,,False,True
01013,58,114.0,,122.2,,80.0,0.0,,,,,77.0,,51.0,,109.9,21.4,,46.0,118.8,,,156.0,,,,,,,150.0,35.6,56.0,,64.2,,22.0,-58.0,,,,,19.0,,-7.0,,51.9,-36.6,,-12.0,60.8,,,98.0,,,,,,,92.0,-22.4,,False,,True,False,,,,,True,,True,,True,True,,True,False,,,False,,,,,,,False,True
01015,1108,729.0,,606.5,,591.0,1281.0,,,,,989.5,,394.0,,472.6,234.3,,521.9,714.7,,,1196.0,,,,638.9,,,0.0,532.2,-379.0,,-501.5,,-517.0,173.0,,,,,-118.5,,-714.0,,-635.4,-873.7,,-586.1,-393.3,,,88.0,,,,-469.1,,,-1108.0,-575.8,,False,,False,True,,,,,True,,False,,False,False,,False,False,,,True,,,,False,,,False,False
01017,224,72.0,,101.2,,70.0,160.0,,,,,102.2,,76.0,,92.2,51.1,,13.9,69.0,,,76.0,,,,50.6,,,114.0,102.3,-152.0,,-122.8,,-154.0,-64.0,,,,,-121.8,,-148.0,,-131.8,-172.9,,-210.1,-155.0,,,-148.0,,,,-173.4,,,-110.0,-121.7,,True,,False,True,,,,,True,,True,,True,False,,False,False,,,True,,,,False,,,True,True
01019,135,141.0,,119.1,,106.0,130.0,,,,,76.9,,88.0,,105.7,45.9,,46.4,113.3,,,189.0,,,,,,,130.0,86.9,6.0,,-15.9,,-29.0,-5.0,,,,,-58.1,,-47.0,,-29.3,-89.1,,-88.6,-21.7,,,54.0,,,,,,,-5.0,-48.1,,False,,False,True,,,,,False,,False,,False,False,,False,False,,,False,,,,,,,True,False
01021,220,198.0,,215.5,,162.0,161.0,,,,,288.9,,137.0,,154.7,86.2,,117.3,195.3,,,167.0,,,,183.1,,,163.0,184.6,-22.0,,-4.5,,-58.0,-59.0,,,,,68.9,,-83.0,,-65.3,-133.8,,-102.7,-24.7,,,-53.0,,,,-36.9,,,-57.0,-35.4,,True,,False,False,,,,,False,,False,,False,False,,False,False,,,False,,,,False,,,False,False
01023,23,33.0,,29.9,,26.0,21.0,,,,,42.5,,49.0,,22.5,16.9,,9.2,31.8,,,43.0,,,,,,,29.0,23.7,10.0,,6.9,,3.0,-2.0,,,,,19.5,,26.0,,-0.5,-6.1,,-13.8,8.8,,,20.0,,,,,,,6.0,0.7,,True,,True,True,,,,,False,,False,,True,True,,False,True,,,False,,,,,,,True,True
01025,185,129.0,,128.8,,112.0,118.0,,,,,131.3,,110.0,,137.2,27.5,,67.3,120.4,,,192.0,,,,89.9,,,58.0,131.6,-56.0,,-56.2,,-73.0,-67.0,,,,,-53.7,,-75.0,,-47.8,-157.5,,-117.7,-64.6,,,7.0,,,,-95.1,,,-127.0,-53.4,,False,,False,False,,,,,True,,False,,True,False,,False,False,,,True,,,,False,,,False,True
01027,114,168.0,,142.1,,122.0,119.0,,,,,89.4,,34.0,,125.4,25.7,,78.8,143.7,,,248.0,,,,,,,166.0,96.3,54.0,,28.1,,8.0,5.0,,,,,-24.6,,-80.0,,11.4,-88.3,,-35.2,29.7,,,134.0,,,,,,,52.0,-17.7,,True,,True,True,,,,,True,,False,,True,False,,True,True,,,False,,,,,,,True,True
01029,106,144.0,,137.1,,110.0,93.0,,,,,61.2,,46.0,,126.6,26.9,,88.7,134.1,,,184.0,,,,,,,103.0,104.5,38.0,,31.1,,4.0,-13.0,,,,,-44.8,,-60.0,,20.6,-79.1,,-17.3,28.1,,,78.0,,,,,,,-3.0,-1.5,,True,,True,True,,,,,False,,False,,True,False,,True,True,,,False,,,,,,,True,True
