,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,735,488.0,,,,333.0,,613.9,,276.4,376.3,,,-247.0,,,,-402.0,,-121.1,,-458.6,-358.7,,,,,,False,,True,,False,False,,
01003,2311,1680.0,,,,779.0,,1436.1,,1444.2,1634.4,,,-631.0,,,,-1532.0,,-874.9,,-866.8,-676.6,,,,,,False,,False,,False,False,,
01005,306,32.0,,,,199.0,,276.2,,3.6,,,,-274.0,,,,-107.0,,-29.8,,-302.4,,,,,,,True,,True,,False,,,
01007,338,208.0,,,,150.0,,538.2,,66.9,,,,-130.0,,,,-188.0,,200.2,,-271.1,,,,,,,False,,False,,False,,,
01009,830,416.0,,,,281.0,,732.2,,141.1,246.9,,,-414.0,,,,-549.0,,-97.8,,-688.9,-583.1,,,,,,False,,True,,False,False,,
01011,86,64.0,,,,211.0,,60.2,,13.0,,,,-22.0,,,,125.0,,-25.8,,-73.0,,,,,,,False,,False,,False,,,
01013,163,96.0,,,,125.0,,369.8,,42.8,,,,-67.0,,,,-38.0,,206.8,,-120.2,,,,,,,True,,False,,False,,,
01015,2156,1448.0,,,,700.0,,1475.8,,176.1,612.5,,,-708.0,,,,-1456.0,,-680.2,,-1979.9,-1543.5,,,,,,False,,True,,False,False,,
01017,400,80.0,,,,174.0,,325.7,,14.1,,,,-320.0,,,,-226.0,,-74.3,,-385.9,,,,,,,True,,True,,False,,,
01019,339,224.0,,,,112.0,,437.6,,36.4,,,,-115.0,,,,-227.0,,98.6,,-302.6,,,,,,,False,,True,,False,,,
