,predicted_cases,actual_cases,error,perc_error
IowaStateLW-STEM,2054400.0,3483651,-1429251.0,-41.0%
JHUAPL-Bucky,2005247.0,3483651,-1478404.0,-42.4%
COVIDhub-baseline,1921952.0,3483651,-1561699.0,-44.8%
Columbia_UNC-SurvCon,1892415.0,3483651,-1591236.0,-45.7%
JCB-PRM,1822903.3,3483651,-1660747.7,-47.7%
IBF-TimeSeries,1703244.0,3483651,-1780407.0,-51.1%
USACE-ERDC_SEIR,1607555.3,3483651,-1876095.7,-53.9%
Covid19Sim-Simulator,1333840.6,3483651,-2149810.4,-61.7%
USC-SI_kJalpha,1033028.0,3483651,-2450623.0,-70.3%
UCLA-SuEIR,969335.5,3483651,-2514315.5,-72.2%
RobertWalraven-ESG,801411.2,3483651,-2682239.8,-77.0%
