,count,mean,median,std,min,25%,75%,max
COVIDhub-baseline,3141,3296062.8,28224.0,53730341.3,0.0,3600.0,190096.0,2568867856.0
IowaStateLW-STEM,3103,3872560.7,28900.0,61354312.8,0.0,3969.0,217156.0,2859575625.0
JHUAPL-Bucky,2393,5369877.0,26727.1,87353665.5,0.0,3972.8,203331.1,4099520180.0
USC-SI_kJalpha,2790,6099660.7,54289.0,85779101.0,0.0,7396.0,381924.0,3521235600.0
RobertWalraven-ESG,3141,6793179.2,68481.7,86268658.2,0.0,10588.4,475203.4,3034941154.1
MITCovAlliance-SIR,2339,8571933.0,44497.7,141117671.0,0.0,6768.9,320075.0,5913753803.9
