,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Algeria,1491,1521.3,1562.6,1482.9,30.3,71.6,-8.1,False,True
Argentina,8353,6293.0,7485.7,4795.4,-2060.0,-867.3,-3557.6,True,False
Australia,611,360.3,562.0,122.2,-250.7,-49.0,-488.8,True,False
Austria,733,722.4,730.6,717.2,-10.6,-2.4,-15.8,True,False
Bangladesh,4206,4365.1,4091.5,3963.3,159.1,-114.5,-242.7,True,False
Belarus,671,703.0,691.4,643.9,32.0,20.4,-27.1,True,True
Belgium,9891,9902.1,9869.1,9915.1,11.1,-21.9,24.1,False,False
Bolivia,4938,4669.4,4390.0,3893.6,-268.6,-548.0,-1044.4,False,False
Brazil,120262,122965.7,122249.3,122723.9,2703.7,1987.3,2461.9,True,True
Bulgaria,605,530.9,536.1,496.0,-74.1,-68.9,-109.0,True,False
Canada,9161,9147.7,9103.0,9494.3,-13.3,-58.0,333.3,False,False
Chile,11181,11798.7,11155.8,11224.4,617.7,-25.2,43.4,True,True
Colombia,19063,17489.0,18409.8,20549.5,-1574.0,-653.2,1486.5,True,True
Croatia,183,219.1,211.1,135.0,36.1,28.1,-48.0,True,False
Cuba,94,87.0,92.8,88.6,-7.0,-1.2,-5.4,True,True
Cyprus,20,19.0,21.1,19.4,-1.0,1.1,-0.6,False,True
Czechia,421,439.0,426.4,353.5,18.0,5.4,-67.5,True,False
Denmark,624,622.4,632.6,622.8,-1.6,8.6,-1.2,False,True
Dominican Republic,1673,1507.3,1540.5,1790.8,-165.7,-132.5,117.8,True,True
Ecuador,6537,6540.9,6589.3,15914.2,3.9,52.3,9377.2,False,False
Egypt,5376,6066.3,5506.6,6317.4,690.3,130.6,941.4,True,False
Estonia,64,69.0,73.7,69.2,5.0,9.7,5.2,False,False
Finland,335,333.7,341.3,327.9,-1.3,6.3,-7.1,False,False
France,30601,30362.9,30488.4,31494.8,-238.1,-112.6,893.8,True,False
Germany,9299,9271.1,9229.3,9361.4,-27.9,-69.7,62.4,False,False
Greece,260,235.0,212.5,192.9,-25.0,-47.5,-67.1,False,False
Honduras,1842,2255.0,2293.8,1229.4,413.0,451.8,-612.6,False,False
Hungary,614,596.0,623.1,634.5,-18.0,9.1,20.5,True,False
Iceland,10,10.0,10.8,10.4,0.0,0.8,0.4,False,False
Indonesia,7261,7661.9,8870.1,7484.1,400.9,1609.1,223.1,False,True
Iran,21359,23016.4,22927.7,22182.9,1657.4,1568.7,823.9,True,True
Ireland,1777,1815.9,1794.2,1823.6,38.9,17.2,46.6,True,False
Israel,906,752.1,820.6,856.4,-153.9,-85.4,-49.6,True,True
Italy,35473,35366.6,35361.5,35684.3,-106.4,-111.5,211.3,False,False
Japan,1271,1045.1,1105.7,981.5,-225.9,-165.3,-289.5,True,False
Kuwait,528,579.4,553.3,511.7,51.4,25.3,-16.3,True,True
Latvia,34,31.0,33.3,32.0,-3.0,-0.7,-2.0,True,True
Lithuania,86,80.0,86.1,78.6,-6.0,0.1,-7.4,True,False
Luxembourg,124,116.7,123.7,149.3,-7.3,-0.3,25.3,True,False
Malaysia,125,128.7,135.5,122.3,3.7,10.5,-2.7,False,True
Malta,10,9.0,10.2,9.2,-1.0,0.2,-0.8,True,True
Mexico,63819,65410.7,64809.6,60678.0,1591.7,990.6,-3141.0,True,False
Moldova,990,997.9,1033.0,981.3,7.9,43.0,-8.7,False,False
Morocco,1078,504.6,526.1,394.1,-573.4,-551.9,-683.9,True,False
Netherlands,6252,6183.6,6185.6,6252.1,-68.4,-66.4,0.1,True,True
Nigeria,1011,1138.1,1135.9,1396.0,127.1,124.9,385.0,True,False
Norway,264,255.0,261.8,251.6,-9.0,-2.2,-12.4,True,False
Pakistan,6284,6799.0,6815.9,7401.9,515.0,531.9,1117.9,False,False
Panama,1983,2241.3,2294.0,2208.8,258.3,311.0,225.8,False,True
Peru,28471,42149.7,25220.0,33032.7,13678.7,-3251.0,4561.7,True,True
Philippines,3419,2463.6,3022.4,1732.6,-955.4,-396.6,-1686.4,True,False
Poland,2032,1907.0,1862.0,1811.1,-125.0,-170.0,-220.9,False,False
Portugal,1818,1851.0,1868.4,1967.6,33.0,50.4,149.6,False,False
Romania,3539,2998.0,2993.4,3018.1,-541.0,-545.6,-520.9,False,True
Russia,16977,17699.4,17413.7,19392.0,722.4,436.7,2415.0,True,False
Serbia,710,830.6,899.6,1130.3,120.6,189.6,420.3,False,False
Slovakia,33,28.0,29.7,28.4,-5.0,-3.3,-4.6,True,True
Slovenia,133,130.1,121.4,110.9,-2.9,-11.6,-22.1,False,False
South Korea,323,318.9,324.2,301.9,-4.1,1.2,-21.1,True,False
Spain,29011,28479.1,28639.0,28915.7,-531.9,-372.0,-95.3,True,True
Sweden,5821,5987.6,5939.7,5788.3,166.6,118.7,-32.7,True,True
Switzerland,2005,2011.0,2000.3,1983.1,6.0,-4.7,-21.9,True,False
Turkey,6284,6205.1,6098.2,6291.8,-78.9,-185.8,7.8,False,True
Ukraine,2540,2197.0,2166.2,2201.6,-343.0,-373.8,-338.4,False,True
United Arab Emirates,379,368.6,384.0,366.6,-10.4,5.0,-12.4,True,False
United Kingdom,41585,47951.3,47367.6,47352.3,6366.3,5782.6,5767.3,True,True
