,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,51,72.6,28.0,122.8,1.0,13.0,78.0,668.0
OliverWyman-Navigator,51,75.1,33.5,94.5,1.4,12.3,106.9,473.4
YYG-ParamSearch,51,81.5,30.8,136.2,1.1,10.4,79.3,707.4
JCB-PRM,51,85.9,35.1,85.2,0.5,19.9,154.3,297.7
LNQ-ens1,51,89.1,41.3,203.3,0.2,13.1,83.7,1409.3
USC-SI_kJalpha,51,95.4,42.0,143.7,0.0,15.0,115.5,722.0
UMass-MechBayes,51,102.8,43.0,161.6,0.0,9.0,118.0,717.0
UCLA-SuEIR,51,104.9,50.5,185.8,2.7,10.4,100.1,1021.0
CEID-Walk,51,108.2,36.6,242.1,2.2,14.9,80.3,1552.6
CU-select,51,108.2,56.0,129.6,0.0,17.0,150.5,620.0
Baseline,51,110.2,34.7,263.8,0.7,10.6,75.7,1728.9
COVIDhub-baseline,51,116.4,31.1,239.1,0.1,10.6,90.6,1479.3
CMU-TimeSeries,51,126.3,44.0,241.2,0.0,10.0,117.5,1146.0
CovidAnalytics-DELPHI,51,128.5,39.0,189.6,1.0,9.5,151.0,775.0
UA-EpiCovDA,51,131.9,55.0,282.3,2.0,19.0,174.5,1976.0
IHME-CurveFit,51,137.0,83.4,210.2,0.4,22.7,132.1,1187.5
MOBS-GLEAM_COVID,50,137.1,64.3,220.0,1.4,24.0,123.7,1256.6
Auquan-SEIR,51,141.3,56.0,267.7,1.0,23.0,134.0,1666.0
GT-DeepCOVID,44,142.2,59.6,303.6,0.3,19.1,93.6,1952.4
LANL-GrowthRate,51,162.2,79.5,262.2,0.5,22.4,199.3,1330.9
Karlen-pypm,51,208.6,62.4,391.5,0.7,15.4,193.3,2052.8
JHU_IDD-CovidSP,51,239.3,160.5,334.6,5.1,40.9,305.2,2130.4
USACE-ERDC_SEIR,51,251.2,110.0,321.3,0.4,18.0,373.5,1254.1
PSI-DRAFT,51,272.0,100.0,378.7,3.0,32.5,444.0,1936.0
NotreDame-mobility,51,272.6,90.2,595.8,1.6,23.3,238.4,3887.5
UMich-RidgeTfReg,46,394.9,59.9,1469.0,0.5,24.4,168.2,10335.0
RobertWalraven-ESG,50,672.2,96.6,1440.3,4.4,22.4,606.1,7192.8
DDS-NBDS,51,947.5,109.2,2688.0,2.5,41.4,518.8,16912.5
