,actual_deaths,Baseline,IowaStateLW-STEM,error-Baseline,error-IowaStateLW-STEM,beat_baseline-IowaStateLW-STEM
Alabama,2275,1557.9,459.0,-717.1,-1816.0,False
Alaska,42,9.0,,-33.0,,
Arizona,5207,1915.6,647.0,-3291.4,-4560.0,False
Arkansas,882,522.4,298.0,-359.6,-584.0,False
California,13709,10983.9,4520.0,-2725.1,-9189.0,False
Colorado,1971,3592.0,1330.0,1621.0,-641.0,True
Connecticut,4468,11578.9,3480.0,7110.9,-988.0,True
Delaware,608,1194.9,339.0,586.9,-269.0,True
District of Columbia,611,1554.6,499.0,943.6,-112.0,True
Florida,11811,6807.6,2480.0,-5003.4,-9331.0,False
Georgia,5977,5969.7,2529.0,-7.3,-3448.0,False
Hawaii,84,70.6,,-13.4,,
Idaho,384,206.9,72.0,-177.1,-312.0,False
Illinois,8385,14850.1,5292.0,6465.1,-3093.0,True
Indiana,3362,6828.4,1869.0,3580.4,-1379.0,True
Iowa,1164,1362.6,2014.0,198.6,850.0,False
Kansas,481,554.7,1945.0,73.7,1464.0,False
Kentucky,993,1056.6,394.0,63.6,-599.0,False
Louisiana,5035,7065.6,2772.0,2030.6,-2263.0,False
Maine,134,182.0,61.0,48.0,-73.0,False
Maryland,3796,7906.0,2164.0,4110.0,-1632.0,True
Massachusetts,9116,23736.1,8238.0,14620.1,-878.0,True
Michigan,6806,17231.6,5103.0,10630.6,-1498.0,True
Minnesota,1903,3025.1,3153.0,1122.1,1250.0,False
Mississippi,2569,1660.1,398.0,-908.9,-2171.0,False
Missouri,1668,2131.0,1015.0,566.0,-550.0,True
Montana,116,51.7,16.0,-64.3,-100.0,False
Nebraska,404,470.9,2574.0,66.9,2170.0,False
Nevada,1388,1186.6,528.0,-201.4,-860.0,False
New Hampshire,432,550.3,190.0,118.3,-242.0,False
New Jersey,15985,42388.9,11865.0,27988.9,-2535.0,True
New Mexico,800,1079.6,481.0,279.6,-319.0,False
New York,32987,68261.6,25875.0,36050.6,-6336.0,True
North Carolina,2889,2398.3,823.0,-490.7,-2066.0,False
North Dakota,155,167.9,571.0,12.9,416.0,False
Ohio,4256,6592.6,1632.0,2336.6,-2624.0,False
Oklahoma,850,1005.9,712.0,155.9,-138.0,True
Oregon,480,412.6,153.0,-67.4,-327.0,False
Pennsylvania,7750,18862.9,4595.0,11112.9,-3155.0,True
Rhode Island,1069,1998.6,1031.0,985.6,18.0,True
South Carolina,2877,2078.6,291.0,-798.4,-2586.0,False
South Dakota,173,199.6,1832.0,26.6,1659.0,False
Tennessee,1862,727.9,1141.0,-1134.1,-721.0,True
Texas,13873,4931.6,7545.0,-8809.4,-6196.0,True
Utah,420,210.7,192.0,-209.3,-228.0,False
Vermont,58,178.0,59.0,120.0,1.0,True
Virginia,2677,4427.9,1321.0,1750.9,-1356.0,True
Washington,1942,2351.9,1288.0,449.9,-614.0,False
West Virginia,246,298.0,90.0,52.0,-156.0,False
Wisconsin,1218,1535.4,1518.0,363.4,346.0,True
Wyoming,42,7.0,7.0,-35.0,-35.0,False
US,188890,296271.3,117401.0,110438.3,-68432.0,True
