,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2275,2289.7,2296.4,2267.0,2293.0,2275.0,2245.0,,2242.9,2302.0,2282.6,2262.4,,2293.2,2284.8,2123.6,2246.0,2252.1,2189.4,2298.0,2253.7,2281.9,2288.2,2295.3,,2301.9,2298.0,2232.0,,2250.9,2218.6,,2273.0,2349.0,2284.9,,2278.0,2241.0,2259.8,2264.0,,2258.4,2184.0,14.7,21.4,-8.0,18.0,0.0,-30.0,,-32.1,27.0,7.6,-12.6,,18.2,9.8,-151.4,-29.0,-22.9,-85.6,23.0,-21.3,6.9,13.2,20.3,,26.9,23.0,-43.0,,-24.1,-56.4,,-2.0,74.0,9.9,,3.0,-34.0,-15.2,-11.0,,-16.6,-91.0,False,True,False,True,False,,False,False,True,True,,False,True,False,False,False,False,False,False,True,True,False,,False,False,False,,False,False,,True,False,True,,True,False,False,True,,False,False
Alaska,42,41.3,42.8,43.0,43.0,40.0,37.0,,45.3,41.0,40.5,40.3,,43.4,50.1,34.2,,41.2,39.3,45.4,41.6,39.2,37.6,42.3,,39.9,42.1,40.0,,,38.8,,42.0,38.0,42.4,,40.0,37.3,40.3,43.0,,40.1,35.0,-0.7,0.8,1.0,1.0,-2.0,-5.0,,3.3,-1.0,-1.5,-1.7,,1.4,8.1,-7.8,,-0.8,-2.7,3.4,-0.4,-2.8,-4.4,0.3,,-2.1,0.1,-2.0,,,-3.2,,0.0,-4.0,0.4,,-2.0,-4.7,-1.7,1.0,,-1.9,-7.0,False,False,False,False,False,,False,False,False,False,,False,False,False,,False,False,False,True,False,False,True,,False,True,False,,,False,,True,False,True,,False,False,False,False,,False,False
Arizona,5207,5252.0,5262.4,5245.0,5258.0,5205.0,5166.0,,5229.1,5267.0,5221.4,5169.7,,5231.2,5221.8,5227.5,5329.0,5190.9,5019.2,5170.2,5158.7,5178.9,5171.1,5173.0,,5174.7,5225.0,5195.0,,5196.2,5165.5,,5242.0,5183.0,5251.6,,5178.0,5225.7,5159.3,5221.0,,5206.9,5217.0,45.0,55.4,38.0,51.0,-2.0,-41.0,,22.1,60.0,14.4,-37.3,,24.2,14.8,20.5,122.0,-16.1,-187.8,-36.8,-48.3,-28.1,-35.9,-34.0,,-32.3,18.0,-12.0,,-10.8,-41.5,,35.0,-24.0,44.6,,-29.0,18.7,-47.7,14.0,,-0.1,10.0,False,True,False,True,True,,True,False,True,True,,True,True,True,False,True,False,True,False,True,True,True,,True,True,True,,True,True,,True,True,True,,True,True,False,True,,True,True
Arkansas,882,867.1,870.6,868.0,870.0,856.0,822.0,,878.4,841.0,861.2,845.3,,869.6,848.6,786.2,839.0,850.7,780.4,867.1,838.4,864.0,865.2,867.3,,817.9,885.6,858.0,,,812.4,,856.0,919.0,864.2,,866.0,825.6,828.5,862.0,,847.8,767.0,-14.9,-11.4,-14.0,-12.0,-26.0,-60.0,,-3.6,-41.0,-20.8,-36.7,,-12.4,-33.4,-95.8,-43.0,-31.3,-101.6,-14.9,-43.6,-18.0,-16.8,-14.7,,-64.1,3.6,-24.0,,,-69.6,,-26.0,37.0,-17.8,,-16.0,-56.4,-53.5,-20.0,,-34.2,-115.0,True,True,True,False,False,,True,False,False,False,,True,False,False,False,False,False,False,False,False,False,True,,False,True,False,,,False,,False,False,False,,False,False,False,False,,False,False
California,13709,13609.0,13651.6,13649.0,13657.0,13637.0,13589.0,,13698.3,13785.0,13667.2,13453.6,,13547.1,13577.5,13817.4,13837.0,13703.9,13214.0,13635.4,13618.5,13437.2,13611.6,13503.7,,13462.3,13567.8,13694.0,,13915.5,13420.5,,13676.0,13915.0,13647.2,14151.0,13524.0,13510.2,13799.4,13609.0,,13607.6,12863.0,-100.0,-57.4,-60.0,-52.0,-72.0,-120.0,,-10.7,76.0,-41.8,-255.4,,-161.9,-131.5,108.4,128.0,-5.1,-495.0,-73.6,-90.5,-271.8,-97.4,-205.3,,-246.7,-141.2,-15.0,,206.5,-288.5,,-33.0,206.0,-61.8,442.0,-185.0,-198.8,90.4,-100.0,,-101.4,-846.0,True,True,True,True,False,,True,True,True,False,,False,False,False,False,True,False,True,True,False,True,False,,False,False,True,,False,False,,True,False,True,False,False,False,True,False,,False,False
Colorado,1971,1962.6,1970.5,1966.0,1966.0,1968.0,1969.0,,1967.0,1968.0,1969.9,1975.6,,1966.3,1982.8,1954.3,1980.0,1962.9,1986.5,1983.3,1964.7,1955.2,1959.8,1953.1,,1972.6,1963.5,1962.0,,1971.4,1960.6,,1977.0,1963.0,1965.0,,1961.0,1971.8,2009.4,1962.0,,1963.8,1966.0,-8.4,-0.5,-5.0,-5.0,-3.0,-2.0,,-4.0,-3.0,-1.1,4.6,,-4.7,11.8,-16.7,9.0,-8.1,15.5,12.3,-6.3,-15.8,-11.2,-17.9,,1.6,-7.5,-9.0,,0.4,-10.4,,6.0,-8.0,-6.0,,-10.0,0.8,38.4,-9.0,,-7.2,-5.0,True,True,True,True,True,,True,True,True,True,,True,False,False,False,True,False,False,True,False,False,False,,True,True,False,,True,False,,True,True,True,,False,True,False,False,,True,True
Connecticut,4468,4469.3,4468.3,4469.0,4470.0,4472.0,4482.0,,4496.7,4471.0,4472.2,4472.1,,4469.6,4478.6,4436.7,4493.0,4473.1,4495.1,4481.0,4472.6,4471.3,4467.8,4476.1,,4474.4,4470.4,4477.0,,4472.5,4471.2,,4472.0,4468.0,4470.4,,4470.0,,4520.0,4470.0,,4476.8,4466.0,1.3,0.3,1.0,2.0,4.0,14.0,,28.7,3.0,4.2,4.1,,1.6,10.6,-31.3,25.0,5.1,27.1,13.0,4.6,3.3,-0.2,8.1,,6.4,2.4,9.0,,4.5,3.2,,4.0,0.0,2.4,,2.0,,52.0,2.0,,8.8,-2.0,True,True,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,,False,True,False,,False,,False,False,,False,False
Delaware,608,607.4,607.9,607.0,608.0,610.0,611.0,,615.0,608.0,610.4,617.6,,605.5,619.5,601.3,614.0,609.0,610.1,610.2,607.7,611.2,604.6,612.4,,615.1,607.2,611.0,,,606.9,,610.0,607.0,608.1,,607.0,625.4,623.6,609.0,,609.8,605.0,-0.6,-0.1,-1.0,0.0,2.0,3.0,,7.0,0.0,2.4,9.6,,-2.5,11.5,-6.7,6.0,1.0,2.1,2.2,-0.3,3.2,-3.4,4.4,,7.1,-0.8,3.0,,,-1.1,,2.0,-1.0,0.1,,-1.0,17.4,15.6,1.0,,1.8,-3.0,True,False,True,False,False,,False,True,False,False,,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,,False,,False,False,True,,False,False,False,False,,False,False
District of Columbia,611,607.7,606.1,606.0,606.0,609.0,612.0,,611.4,610.0,610.3,610.7,,606.4,617.4,614.3,609.0,610.0,614.8,609.5,609.3,608.6,606.5,,,609.5,607.1,606.0,,,607.8,,609.0,609.0,606.3,,610.0,,622.6,609.0,,610.5,,-3.3,-4.9,-5.0,-5.0,-2.0,1.0,,0.4,-1.0,-0.7,-0.3,,-4.6,6.4,3.3,-2.0,-1.0,3.8,-1.5,-1.7,-2.4,-4.5,,,-1.5,-3.9,-5.0,,,-3.2,,-2.0,-2.0,-4.7,,-1.0,,11.6,-2.0,,-0.5,,False,False,False,True,True,,True,True,True,True,,False,False,True,True,True,False,True,True,True,False,,,True,False,False,,,True,,True,True,False,,True,,False,True,,True,
Florida,11811,11799.6,11917.1,11917.0,11936.0,11784.0,11629.0,,11646.7,11844.0,11906.0,11496.5,,11917.1,11804.8,12244.3,11924.0,11847.1,11127.5,11898.8,12139.2,11648.8,11713.6,11696.8,,11765.2,11755.5,11847.0,,11990.5,11596.3,,11897.0,11543.0,11919.2,,11710.0,11732.5,11699.3,11747.0,,11708.9,11228.0,-11.4,106.1,106.0,125.0,-27.0,-182.0,,-164.3,33.0,95.0,-314.5,,106.1,-6.2,433.3,113.0,36.1,-683.5,87.8,328.2,-162.2,-97.4,-114.2,,-45.8,-55.5,36.0,,179.5,-214.7,,86.0,-268.0,108.2,,-101.0,-78.5,-111.7,-64.0,,-102.1,-583.0,False,False,False,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,,False,False
Georgia,5977,6008.6,6055.0,6021.0,6060.0,5934.0,5850.0,,5977.8,5893.0,6155.4,5922.0,5880.7,6065.8,5822.4,5839.3,5882.0,5980.1,5656.1,5737.3,5991.3,5891.0,5964.5,6082.1,,5816.3,6046.9,5891.0,,6085.8,5920.4,,5999.0,5913.0,6034.2,,5906.0,5860.9,5956.3,6050.0,,5959.4,5588.0,31.6,78.0,44.0,83.0,-43.0,-127.0,,0.8,-84.0,178.4,-55.0,-96.3,88.8,-154.6,-137.7,-95.0,3.1,-320.9,-239.7,14.3,-86.0,-12.5,105.1,,-160.7,69.9,-86.0,,108.8,-56.6,,22.0,-64.0,57.2,,-71.0,-116.1,-20.7,73.0,,-17.6,-389.0,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,,False,False,False,,False,False,,True,False,False,,False,False,True,False,,True,False
Hawaii,84,76.7,78.0,77.0,77.0,74.0,84.0,,74.9,74.0,72.4,,,86.3,95.2,54.7,,75.5,68.6,82.0,79.1,71.6,73.3,77.8,,73.2,75.9,75.0,,,72.5,,71.0,74.0,76.0,,76.0,67.6,72.4,78.0,,75.1,66.0,-7.3,-6.0,-7.0,-7.0,-10.0,0.0,,-9.1,-10.0,-11.6,,,2.3,11.2,-29.3,,-8.5,-15.4,-2.0,-4.9,-12.4,-10.7,-6.2,,-10.8,-8.1,-9.0,,,-11.5,,-13.0,-10.0,-8.0,,-8.0,-16.4,-11.6,-6.0,,-8.9,-18.0,True,True,True,False,True,,False,False,False,,,True,False,False,,False,False,True,True,False,False,True,,False,False,False,,,False,,False,False,False,,False,False,False,True,,False,False
Idaho,384,403.6,410.2,409.0,410.0,396.0,377.0,,409.5,383.0,401.2,408.2,,410.2,402.4,379.6,404.0,397.6,364.8,417.0,394.9,388.7,392.0,392.8,,385.2,418.9,396.0,,,374.1,,399.0,395.0,405.8,,387.0,383.0,385.1,401.0,,391.8,347.0,19.6,26.2,25.0,26.0,12.0,-7.0,,25.5,-1.0,17.2,24.2,,26.2,18.4,-4.4,20.0,13.6,-19.2,33.0,10.9,4.7,8.0,8.8,,1.2,34.9,12.0,,,-9.9,,15.0,11.0,21.8,,3.0,-1.0,1.1,17.0,,7.8,-37.0,False,False,False,True,True,,False,True,True,False,,False,True,True,False,True,True,False,True,True,True,True,,True,False,True,,,True,,True,True,False,,True,True,True,True,,True,False
Illinois,8385,8347.1,8352.7,8354.0,8351.0,8351.0,8404.0,,8395.6,8395.0,8343.4,8329.4,,8354.5,8418.0,8172.3,8356.0,8362.2,8497.9,8178.0,8349.9,8332.7,8365.5,8287.6,8411.0,8334.2,8356.1,8335.0,,8344.8,8299.8,,8358.0,8375.0,8342.6,,8346.0,8343.4,8615.0,8366.0,,8349.1,8010.0,-37.9,-32.3,-31.0,-34.0,-34.0,19.0,,10.6,10.0,-41.6,-55.6,,-30.5,33.0,-212.7,-29.0,-22.8,112.9,-207.0,-35.1,-52.3,-19.5,-97.4,26.0,-50.8,-28.9,-50.0,,-40.2,-85.2,,-27.0,-10.0,-42.4,,-39.0,-41.6,230.0,-19.0,,-35.9,-375.0,True,True,True,True,True,,True,True,False,False,,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,,False,False,,True,True,False,,False,False,False,True,,True,False
Indiana,3362,3351.9,3350.2,3352.0,3352.0,3371.0,3395.0,,3377.6,3392.0,3363.5,3376.7,,3352.9,3412.5,3410.9,3365.0,3374.4,3431.2,3401.9,3378.4,3352.7,3361.1,3374.4,3440.0,3376.3,3355.9,3381.0,,3361.4,3347.4,,3362.0,3355.0,3349.8,,3364.0,3360.3,3478.5,3355.0,,3348.6,3360.0,-10.1,-11.8,-10.0,-10.0,9.0,33.0,,15.6,30.0,1.5,14.7,,-9.1,50.5,48.9,3.0,12.4,69.2,39.9,16.4,-9.3,-0.9,12.4,78.0,14.3,-6.1,19.0,,-0.6,-14.6,,0.0,-7.0,-12.2,,2.0,-1.7,116.5,-7.0,,-13.4,-2.0,False,True,True,True,False,,False,False,True,False,,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,,True,False,,True,True,False,,True,True,False,True,,False,True
