,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2275,2311.9,2270.0,2378.0,2534.0,2362.9,2364.0,2419.0,,2279.0,3642.7,2338.2,,2197.5,2491.2,2692.1,2793.9,2145.2,2191.2,2369.0,,2590.2,2364.7,2103.0,,2606.3,2258.8,,2441.0,2261.5,,2274.0,2490.8,2455.6,2233.0,2305.8,2280.0,36.9,-5.0,103.0,259.0,87.9,89.0,144.0,,4.0,1367.7,63.2,,-77.5,216.2,417.1,518.9,-129.8,-83.8,94.0,,315.2,89.7,-172.0,,331.3,-16.2,,166.0,-13.5,,-1.0,215.8,180.6,-42.0,30.8,5.0,True,False,False,False,False,False,,True,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,True,,False,True,,True,False,False,False,True,True
Alaska,42,33.7,44.0,34.7,42.0,34.0,36.0,26.0,,46.0,56.1,36.1,,33.4,46.2,93.6,44.9,32.1,29.6,40.6,,65.8,34.4,52.0,,,34.3,,40.0,32.4,,35.0,32.8,41.3,27.0,38.2,,-8.3,2.0,-7.3,0.0,-8.0,-6.0,-16.0,,4.0,14.1,-5.9,,-8.6,4.2,51.6,2.9,-9.9,-12.4,-1.4,,23.8,-7.6,10.0,,,-7.7,,-2.0,-9.6,,-7.0,-9.2,-0.7,-15.0,-3.8,,True,True,True,True,True,False,,True,False,True,,False,True,False,True,False,False,True,,False,True,False,,,True,,True,False,,True,False,True,False,True,
Arizona,5207,5635.0,5511.0,5638.5,5962.0,5697.0,5446.0,4948.0,,5616.0,9393.5,,,5488.0,5326.3,5256.0,5753.3,4814.2,4904.0,5106.9,,5772.8,4912.8,5100.0,,6935.1,5768.6,,4911.0,5213.3,,4895.0,6946.0,5207.4,4850.0,5496.5,4919.0,428.0,304.0,431.5,755.0,490.0,239.0,-259.0,,409.0,4186.5,,,281.0,119.3,49.0,546.3,-392.8,-303.0,-100.1,,565.8,-294.2,-107.0,,1728.1,561.6,,-296.0,6.3,,-312.0,1739.0,0.4,-357.0,289.5,-288.0,True,False,False,False,True,True,,True,False,,,True,True,True,False,True,True,True,,False,True,True,,False,False,,True,True,,True,False,True,True,True,True
Arkansas,882,852.6,790.0,845.0,792.0,843.0,800.0,897.0,,751.0,1062.8,787.9,,790.2,807.5,1068.7,797.0,728.6,818.5,835.8,,864.9,981.6,799.0,,,656.1,,1130.0,782.0,,750.0,833.8,755.9,827.0,790.1,742.0,-29.4,-92.0,-37.0,-90.0,-39.0,-82.0,15.0,,-131.0,180.8,-94.1,,-91.8,-74.5,186.7,-85.0,-153.4,-63.5,-46.2,,-17.1,99.6,-83.0,,,-225.9,,248.0,-100.0,,-132.0,-48.2,-126.1,-55.0,-91.9,-140.0,False,False,False,False,False,True,,False,False,False,,False,False,False,False,False,False,False,,True,False,False,,,False,,False,False,,False,False,False,False,False,False
California,13709,14160.9,13244.0,14071.3,14209.0,14154.6,13901.0,13369.0,,14192.0,16464.6,13685.2,,13966.8,13739.6,15839.4,15441.0,12378.1,13906.6,14197.4,,12437.1,13550.0,15645.0,,14869.8,19850.3,,14017.0,13409.2,12385.0,12992.0,13954.4,14130.2,12987.0,13861.3,12944.0,451.9,-465.0,362.3,500.0,445.6,192.0,-340.0,,483.0,2755.6,-23.8,,257.8,30.6,2130.4,1732.0,-1330.9,197.6,488.4,,-1271.9,-159.0,1936.0,,1160.8,6141.3,,308.0,-299.8,-1324.0,-717.0,245.4,421.2,-722.0,152.3,-765.0,False,True,False,True,True,True,,False,False,True,,True,True,False,False,False,True,False,,False,True,False,,False,False,,True,True,False,False,True,True,False,True,False
Colorado,1971,1912.0,2100.0,1907.9,2048.0,1931.4,1999.0,2027.0,,1999.0,1986.7,1997.6,,2186.9,2066.8,2243.4,2093.6,1934.0,1926.0,1906.7,,1958.4,1921.7,2040.0,,2106.6,1990.0,,1995.0,1906.2,,1953.0,1998.2,2312.0,1940.0,2031.9,,-59.0,129.0,-63.1,77.0,-39.6,28.0,56.0,,28.0,15.7,26.6,,215.9,95.8,272.4,122.6,-37.0,-45.0,-64.3,,-12.6,-49.3,69.0,,135.6,19.0,,24.0,-64.8,,-18.0,27.2,341.0,-31.0,60.9,,False,False,False,True,True,True,,True,True,True,,False,False,False,False,True,True,False,,True,True,False,,False,True,,True,False,,True,True,False,True,False,
Connecticut,4468,4475.7,4665.0,4482.1,4502.0,4554.6,4482.0,4475.0,,4448.0,4471.0,4552.5,,4524.5,4500.1,4535.2,4485.0,4462.1,4457.8,4528.3,,4458.4,4474.6,4482.0,,4617.5,4489.7,,4462.0,4475.6,,4460.0,4531.2,4658.0,4462.0,4491.9,,7.7,197.0,14.1,34.0,86.6,14.0,7.0,,-20.0,3.0,84.5,,56.5,32.1,67.2,17.0,-5.9,-10.2,60.3,,-9.6,6.6,14.0,,149.5,21.7,,-6.0,7.6,,-8.0,63.2,190.0,-6.0,23.9,,False,False,False,False,False,True,,False,True,False,,False,False,False,False,True,False,False,,False,True,False,,False,False,,True,True,,False,False,False,True,False,
Delaware,608,614.1,664.0,664.2,620.0,621.5,618.0,618.0,,620.0,651.0,694.0,,612.0,616.2,646.6,600.8,602.9,603.2,635.0,,733.6,616.9,612.0,,,844.9,,620.0,615.6,,611.0,667.1,682.4,597.0,620.5,,6.1,56.0,56.2,12.0,13.5,10.0,10.0,,12.0,43.0,86.0,,4.0,8.2,38.6,-7.2,-5.1,-4.8,27.0,,125.6,8.9,4.0,,,236.9,,12.0,7.6,,3.0,59.1,74.4,-11.0,12.5,,False,False,False,False,False,False,,False,False,False,,True,False,False,False,True,True,False,,False,False,True,,,False,,False,False,,True,False,False,False,False,
District of Columbia,611,610.3,651.0,614.3,612.0,613.8,612.0,633.0,,610.0,606.7,613.2,,591.3,614.2,616.1,609.7,614.0,599.7,,,596.1,612.4,592.0,,,,,620.0,614.1,,616.0,,683.9,608.0,614.7,,-0.7,40.0,3.3,1.0,2.8,1.0,22.0,,-1.0,-4.3,2.2,,-19.7,3.2,5.1,-1.3,3.0,-11.3,,,-14.9,1.4,-19.0,,,,,9.0,3.1,,5.0,,72.9,-3.0,3.7,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,,False,False,False,,,,,False,False,,False,,False,False,False,
Florida,11811,12436.6,12007.0,12511.7,12957.0,12456.5,12158.0,11191.0,,11139.0,20544.8,11061.7,,12998.5,12016.3,12626.0,13863.8,10854.3,11894.7,10554.4,,12872.6,11604.8,10513.5,,15567.1,19003.8,,12092.0,11123.4,,11460.0,13508.8,11435.8,11506.0,12234.5,11801.0,625.6,196.0,700.7,1146.0,645.5,347.0,-620.0,,-672.0,8733.8,-749.3,,1187.5,205.3,815.0,2052.8,-956.7,83.7,-1256.6,,1061.6,-206.2,-1297.5,,3756.1,7192.8,,281.0,-687.6,,-351.0,1697.8,-375.2,-305.0,423.5,-10.0,True,False,False,False,True,True,,False,False,False,,False,True,False,False,False,True,False,,False,True,False,,False,False,,True,False,,True,False,True,True,True,True
Georgia,5977,5583.7,5277.0,5625.7,5670.0,5631.0,5487.0,5838.0,,5202.0,7322.5,5344.6,5880.7,5606.0,5846.7,5639.0,6398.0,5293.5,5571.4,5306.0,,4789.1,5503.6,5353.0,,6246.4,8512.2,,5784.0,5362.5,,5345.0,5161.4,5906.7,5360.0,5468.9,5455.0,-393.3,-700.0,-351.3,-307.0,-346.0,-490.0,-139.0,,-775.0,1345.5,-632.4,-96.3,-371.0,-130.3,-338.0,421.0,-683.5,-405.6,-671.0,,-1187.9,-473.4,-624.0,,269.4,2535.2,,-193.0,-614.5,,-632.0,-815.6,-70.3,-617.0,-508.1,-522.0,False,True,True,True,False,True,,False,False,False,True,True,True,True,False,False,False,False,,False,False,False,,True,False,,True,False,,False,False,True,False,False,False
Hawaii,84,50.3,49.0,56.1,48.0,51.0,63.0,105.0,,66.0,58.0,,,28.2,51.9,107.1,97.1,59.4,51.4,46.1,,52.8,66.5,32.0,,,54.5,,107.0,52.8,,130.0,,66.0,31.0,56.1,,-33.7,-35.0,-27.9,-36.0,-33.0,-21.0,21.0,,-18.0,-26.0,,,-55.8,-32.1,23.1,13.1,-24.6,-32.6,-37.9,,-31.2,-17.5,-52.0,,,-29.5,,23.0,-31.2,,46.0,,-18.0,-53.0,-27.9,,False,True,False,True,True,True,,True,True,,,False,True,True,True,True,True,False,,True,True,False,,,True,,True,True,,False,,True,False,True,
Idaho,384,391.3,382.0,402.5,399.0,387.0,406.0,429.0,,339.0,2714.2,397.5,,432.6,414.8,642.6,480.9,352.8,387.0,459.1,,517.1,408.2,1040.5,,,480.6,,463.0,306.3,,326.0,404.7,356.7,413.0,420.8,,7.3,-2.0,18.5,15.0,3.0,22.0,45.0,,-45.0,2330.2,13.5,,48.6,30.8,258.6,96.9,-31.2,3.0,75.1,,133.1,24.2,656.5,,,96.6,,79.0,-77.7,,-58.0,20.7,-27.3,29.0,36.8,,True,False,False,True,False,False,,False,False,False,,False,False,False,False,False,True,False,,False,False,False,,,False,,False,False,,False,False,False,False,False,
Illinois,8385,8350.3,8776.0,8319.3,8381.0,8404.9,8408.0,8856.0,,7937.0,8286.3,,,8121.2,8547.0,8545.5,8272.0,8194.7,8414.8,9061.1,9148.0,7886.5,8619.7,8057.0,,8281.0,8497.4,,8620.0,8448.2,,8411.0,8579.8,9639.1,8513.0,8491.0,7993.0,-34.7,391.0,-65.7,-4.0,19.9,23.0,471.0,,-448.0,-98.7,,,-263.8,162.0,160.5,-113.0,-190.3,29.8,676.1,763.0,-498.5,234.7,-328.0,,-104.0,112.4,,235.0,63.2,,26.0,194.8,1254.1,128.0,106.0,-392.0,False,False,True,True,True,False,,False,False,,,False,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,,True,False,False,False,False,False
