,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2275,1786.4,2027.7,2142.7,1635.0,,1734.6,2290.1,-488.6,-247.3,-132.3,-640.0,,-540.4,15.1,True,True,False,,False,True
Alaska,42,33.7,41.0,13.7,,,19.7,37.0,-8.3,-1.0,-28.3,,,-22.3,-5.0,True,False,,,False,True
Arizona,5207,3871.0,6827.5,4014.8,6128.0,,3571.9,4834.2,-1336.0,1620.5,-1192.2,921.0,,-1635.1,-372.8,False,True,True,,False,True
Arkansas,882,490.7,810.9,543.8,1380.0,,465.9,747.6,-391.3,-71.1,-338.2,498.0,,-416.1,-134.4,True,True,False,,False,True
California,13709,10279.0,13704.6,11625.1,10697.0,,9873.5,11778.6,-3430.0,-4.4,-2083.9,-3012.0,,-3835.5,-1930.4,True,True,True,,False,True
Colorado,1971,1922.4,1966.9,1846.6,1828.0,,1935.3,2164.4,-48.6,-4.1,-124.4,-143.0,,-35.7,193.4,True,False,False,,True,False
Connecticut,4468,4503.3,4456.4,4566.6,4897.0,,4527.7,4536.0,35.3,-11.6,98.6,429.0,,59.7,68.0,True,False,False,,False,False
Delaware,608,556.3,648.7,577.2,609.0,,619.7,622.0,-51.7,40.7,-30.8,1.0,,11.7,14.0,True,True,True,,True,True
District of Columbia,611,638.7,588.4,634.2,663.0,,626.5,642.0,27.7,-22.6,23.2,52.0,,15.5,31.0,True,True,False,,True,False
Florida,11811,6494.4,19424.4,10167.7,5614.0,,6585.1,8135.6,-5316.6,7613.4,-1643.3,-6197.0,,-5225.9,-3675.4,False,True,False,,True,True
Georgia,5977,3586.3,5558.1,3541.1,4162.0,,4165.8,5233.3,-2390.7,-418.9,-2435.9,-1815.0,,-1811.2,-743.7,True,False,True,,True,True
Hawaii,84,27.9,38.0,18.1,,,20.2,22.7,-56.1,-46.0,-65.9,,,-63.8,-61.3,True,False,,,False,False
Idaho,384,110.7,487.9,112.0,326.0,,123.5,149.0,-273.3,103.9,-272.0,-58.0,,-260.5,-235.0,True,True,True,,True,True
Illinois,8385,8189.1,7528.2,8259.6,8090.0,,8236.0,8110.5,-195.9,-856.8,-125.4,-295.0,,-149.0,-274.5,False,True,False,,True,False
Indiana,3362,3348.4,3091.0,3039.5,2906.0,,3040.3,3452.2,-13.6,-271.0,-322.5,-456.0,,-321.7,90.2,False,False,False,,False,False
Iowa,1164,853.9,1136.3,815.2,841.0,,856.9,875.5,-310.1,-27.7,-348.8,-323.0,,-307.1,-288.5,True,False,False,,True,True
Kansas,481,416.9,582.4,446.2,324.0,,347.5,391.7,-64.1,101.4,-34.8,-157.0,,-133.5,-89.3,False,True,False,,False,False
Kentucky,993,824.1,756.9,864.0,811.0,,743.2,901.9,-168.9,-236.1,-129.0,-182.0,,-249.8,-91.1,False,True,False,,False,True
Louisiana,5035,4076.3,4318.8,4118.5,5493.0,,3853.1,4348.0,-958.7,-716.2,-916.5,458.0,,-1181.9,-687.0,True,True,True,,False,True
Maine,134,153.3,128.6,121.4,136.0,,115.7,139.2,19.3,-5.4,-12.6,2.0,,-18.3,5.2,True,True,True,,True,True
Maryland,3796,3907.3,3526.0,3624.4,3708.0,,3628.6,3851.3,111.3,-270.0,-171.6,-88.0,,-167.4,55.3,False,False,True,,False,True
Massachusetts,9116,9272.4,8368.9,10201.8,8925.0,,8826.1,8805.3,156.4,-747.1,1085.8,-191.0,,-289.9,-310.7,False,False,False,,False,False
Michigan,6806,6758.3,6530.9,6720.2,6834.0,,6505.6,6935.3,-47.7,-275.1,-85.8,28.0,,-300.4,129.3,False,False,True,,False,False
Minnesota,1903,1933.1,1873.8,1834.2,2018.0,,1770.5,2119.8,30.1,-29.2,-68.8,115.0,,-132.5,216.8,True,False,False,,False,False
Mississippi,2569,1748.7,2076.0,1916.0,2172.0,,1784.0,1987.6,-820.3,-493.0,-653.0,-397.0,,-785.0,-581.4,True,True,True,,True,True
Missouri,1668,1378.7,1650.7,1511.7,1362.0,,1540.5,1459.2,-289.3,-17.3,-156.3,-306.0,,-127.5,-208.8,True,True,False,,True,True
Montana,116,31.9,87.1,22.0,42.0,,36.2,39.4,-84.1,-28.9,-94.0,-74.0,,-79.8,-76.6,True,False,True,,True,True
Nebraska,404,434.6,383.8,457.2,409.0,,356.6,453.8,30.6,-20.2,53.2,5.0,,-47.4,49.8,True,False,True,,False,False
Nevada,1388,835.1,1722.1,848.9,636.0,,739.2,1013.0,-552.9,334.1,-539.1,-752.0,,-648.8,-375.0,True,True,False,,False,True
New Hampshire,432,505.0,453.5,545.9,387.0,,503.0,557.7,73.0,21.5,113.9,-45.0,,71.0,125.7,True,False,True,,True,False
New Jersey,15985,17301.3,13565.7,16409.5,17582.0,,16216.4,16087.2,1316.3,-2419.3,424.5,1597.0,,231.4,102.2,False,True,False,,True,True
New Mexico,800,699.0,781.2,742.6,574.0,,736.8,749.4,-101.0,-18.8,-57.4,-226.0,,-63.2,-50.6,True,True,False,,True,True
New York,32987,34535.4,32646.8,31909.3,34266.0,,32681.5,33140.0,1586.4,-302.2,-1039.7,1317.0,,-267.5,191.0,True,True,True,,True,True
North Carolina,2889,2051.9,2731.8,1930.1,2163.0,,2363.5,2264.2,-837.1,-157.2,-958.9,-726.0,,-525.5,-624.8,True,False,True,,True,True
