,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2275,1733.4,1874.5,2854.0,1082.0,,1517.5,2064.7,-541.6,-400.5,579.0,-1193.0,,-757.5,-210.3,True,False,False,,False,True
Alaska,42,35.7,21.6,30.2,,,14.0,14.0,-6.3,-20.4,-11.8,,,-28.0,-28.0,False,False,,,False,False
Arizona,5207,2851.0,5893.6,5577.7,3125.0,,2597.3,3571.1,-2356.0,686.6,370.7,-2082.0,,-2609.7,-1635.9,True,True,True,,False,True
Arkansas,882,475.4,624.5,1001.8,1135.0,,562.6,620.2,-406.6,-257.5,119.8,253.0,,-319.4,-261.8,True,True,True,,True,True
California,13709,10636.3,10474.6,11028.2,7353.0,,7711.1,13740.1,-3072.7,-3234.4,-2680.8,-6356.0,,-5997.9,31.1,False,True,False,,False,True
Colorado,1971,2439.9,2017.5,4329.6,1751.0,,1894.4,2676.1,468.9,46.5,2358.6,-220.0,,-76.6,705.1,True,False,True,,True,False
Connecticut,4468,5742.4,4748.3,4420.7,4507.0,,4660.9,5149.0,1274.4,280.3,-47.3,39.0,,192.9,681.0,True,True,True,,True,True
Delaware,608,706.6,530.1,548.8,483.0,,519.6,705.8,98.6,-77.9,-59.2,-125.0,,-88.4,97.8,True,True,False,,True,True
District of Columbia,611,823.3,669.4,656.3,656.0,,631.8,732.6,212.3,58.4,45.3,45.0,,20.8,121.6,True,True,True,,True,True
Florida,11811,5670.0,6342.7,10535.1,6624.0,,4926.6,7314.7,-6141.0,-5468.3,-1275.9,-5187.0,,-6884.4,-4496.3,True,True,True,,False,True
Georgia,5977,5664.3,3462.2,7182.6,2952.0,,4455.7,5218.7,-312.7,-2514.8,1205.6,-3025.0,,-1521.3,-758.3,False,False,False,,False,False
Hawaii,84,17.0,19.3,23.9,,,18.3,20.3,-67.0,-64.7,-60.1,,,-65.7,-63.7,True,True,,,True,True
Idaho,384,134.4,155.6,102.1,89.0,,97.6,105.3,-249.6,-228.4,-281.9,-295.0,,-286.4,-278.7,True,False,False,,False,False
Illinois,8385,11098.3,7642.7,7891.3,8137.0,,7668.9,10935.6,2713.3,-742.3,-493.7,-248.0,,-716.1,2550.6,True,True,True,,True,True
Indiana,3362,3833.0,3177.8,3175.4,2516.0,,2839.0,3859.3,471.0,-184.2,-186.6,-846.0,,-523.0,497.3,True,True,False,,False,False
Iowa,1164,1209.3,1231.7,1152.2,834.0,,902.2,1091.5,45.3,67.7,-11.8,-330.0,,-261.8,-72.5,False,True,False,,False,False
Kansas,481,387.3,317.6,388.7,340.0,,292.6,376.9,-93.7,-163.4,-92.3,-141.0,,-188.4,-104.1,False,True,False,,False,False
Kentucky,993,842.9,746.5,773.1,597.0,,798.4,1126.3,-150.1,-246.5,-219.9,-396.0,,-194.6,133.3,False,False,False,,False,True
Louisiana,5035,3938.9,3803.5,4046.0,4137.0,,3351.8,4110.3,-1096.1,-1231.5,-989.0,-898.0,,-1683.2,-924.7,False,True,True,,False,True
Maine,134,111.9,135.9,164.5,133.0,,110.4,147.9,-22.1,1.9,30.5,-1.0,,-23.6,13.9,True,False,True,,False,True
Maryland,3796,5191.9,4097.6,4598.6,3900.0,,3572.4,5009.7,1395.9,301.6,802.6,104.0,,-223.6,1213.7,True,True,True,,True,True
Massachusetts,9116,11276.0,8544.8,8469.8,8934.0,,8528.0,9552.5,2160.0,-571.2,-646.2,-182.0,,-588.0,436.5,True,True,True,,True,True
Michigan,6806,7071.3,6497.8,7776.1,7799.0,,6704.7,6923.3,265.3,-308.2,970.1,993.0,,-101.3,117.3,False,False,False,,True,True
Minnesota,1903,2894.1,2101.4,2640.8,3028.0,,1876.0,2971.3,991.1,198.4,737.8,1125.0,,-27.0,1068.3,True,True,False,,True,False
Mississippi,2569,1768.4,2028.5,1313.9,1205.0,,1227.7,1989.2,-800.6,-540.5,-1255.1,-1364.0,,-1341.3,-579.8,True,False,False,,False,True
Missouri,1668,1300.0,1359.3,1481.5,1135.0,,1925.8,2186.8,-364.0,-304.7,-182.5,-529.0,,261.8,522.8,True,True,False,,True,False
Montana,116,30.9,20.7,26.9,20.0,,22.6,23.7,-85.1,-95.3,-89.1,-96.0,,-93.4,-92.3,False,False,False,,False,False
Nebraska,404,547.0,404.6,484.7,289.0,,340.1,534.1,143.0,0.6,80.7,-115.0,,-63.9,130.1,True,True,True,,True,True
Nevada,1388,759.4,711.7,741.4,612.0,,640.6,902.5,-628.6,-676.3,-646.6,-776.0,,-747.4,-485.5,False,False,False,,False,True
New Hampshire,432,723.1,556.9,676.1,347.0,,536.3,853.2,291.1,124.9,244.1,-85.0,,104.3,421.2,True,True,True,,True,False
New Jersey,15985,18386.0,13441.6,14035.8,13979.0,,14106.9,14928.0,4257.0,-687.4,-93.2,-150.0,,-22.1,799.0,True,True,True,,True,True
New Mexico,800,897.4,871.1,862.5,548.0,,603.0,997.2,97.4,71.1,62.5,-252.0,,-197.0,197.2,True,True,False,,False,False
New York,32987,36172.6,31774.8,33182.8,32861.0,,31618.2,32768.1,3955.6,-442.2,965.8,644.0,,-598.8,551.1,True,True,True,,True,True
North Carolina,2889,2317.7,3230.2,2280.7,2742.0,,2556.4,3253.4,-571.3,341.2,-608.3,-147.0,,-332.6,364.4,True,False,True,,True,True
North Dakota,155,97.7,101.6,122.2,256.0,,100.5,142.8,-57.3,-53.4,-32.8,101.0,,-54.5,-12.2,True,True,False,,True,True
Ohio,4256,4693.3,3693.3,3476.4,3185.0,,3392.0,4838.2,437.3,-562.7,-779.6,-1071.0,,-864.0,582.2,False,False,False,,False,False
Oklahoma,850,489.4,454.1,556.7,664.0,,403.8,479.9,-360.6,-395.9,-293.3,-186.0,,-446.2,-370.1,False,True,True,,False,False
Oregon,480,291.6,247.2,488.5,227.0,,224.0,282.8,-185.4,-229.8,11.5,-250.0,,-253.0,-194.2,False,True,False,,False,False
Pennsylvania,7750,9440.1,8596.2,8234.0,6747.0,,7631.4,8935.1,1690.1,846.2,484.0,-1003.0,,-118.6,1185.1,True,True,True,,True,True
Rhode Island,1069,1556.3,1115.0,1119.5,998.0,,1103.2,1440.7,537.3,96.0,100.5,-21.0,,84.2,421.7,True,True,True,,True,True
South Carolina,2877,1240.3,1923.2,2220.9,940.0,,1076.2,1730.2,-1636.7,-953.8,-656.1,-1937.0,,-1800.8,-1146.8,True,True,False,,False,True
South Dakota,173,193.6,129.7,166.7,105.0,,99.3,166.6,20.6,-43.3,-6.3,-68.0,,-73.7,-6.4,False,True,False,,False,True
Tennessee,1862,1138.0,895.0,1543.4,1288.0,,746.7,1035.6,-724.0,-967.0,-318.6,-574.0,,-1115.3,-826.4,False,True,True,,False,False
Texas,13681,3679.6,4280.2,4284.7,4111.0,11847.0,2658.7,3988.9,-9793.4,-9192.8,-9188.3,-9362.0,-1626.0,-10814.3,-9484.1,True,True,True,True,False,True
Utah,420,352.4,764.1,432.5,313.0,,228.9,462.6,-67.6,344.1,12.5,-107.0,,-191.1,42.6,False,True,False,,False,True
Vermont,58,55.0,75.2,61.1,59.0,,66.9,64.3,-3.0,17.2,3.1,1.0,,8.9,6.3,False,False,True,,False,False
Virginia,2677,2423.4,2407.7,2045.3,2022.0,,1883.5,3203.4,-253.6,-269.3,-631.7,-655.0,,-793.5,526.4,False,False,False,,False,False
Washington,1942,1928.4,1662.8,1554.9,1417.0,,1359.3,2062.4,-21.6,-287.2,-395.1,-533.0,,-590.7,112.4,False,False,False,,False,False
West Virginia,246,135.4,110.2,134.9,87.0,,130.5,130.5,-110.6,-135.8,-111.1,-159.0,,-115.5,-115.5,False,False,False,,False,False
Wisconsin,1218,1225.6,1168.2,1221.3,1161.0,,875.0,1624.0,55.6,-1.8,51.3,-9.0,,-295.0,454.0,True,True,True,,False,False
Wyoming,42,29.9,27.4,21.6,18.0,,19.5,26.7,-12.1,-14.6,-20.4,-24.0,,-22.5,-15.3,False,False,False,,False,False
US,188698,176879.3,157497.6,172138.3,147421.0,150493.0,132542.6,177306.5,-8887.7,-28269.4,-13628.7,-38346.0,-35274.0,-53224.4,-8460.5,False,False,False,False,False,True
