,total_deaths_2020-07-19,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Covid19Sim-Simulator,141278,186055.2,188609,45521.2,47331,-1809.8,-3.8%
IHME-CurveFit,141278,184499.3,188609,43965.3,47331,-3365.7,-7.1%
CovidAnalytics-DELPHI,141278,182236.0,188609,41702.0,47331,-5629.0,-11.9%
YYG-ParamSearch,141278,181733.4,188609,41199.4,47331,-6131.6,-13.0%
Columbia_UNC-SurvCon,141278,179174.0,188609,38640.0,47331,-8691.0,-18.4%
USC-SI_kJalpha,141278,177809.6,188609,37275.6,47331,-10055.4,-21.2%
Baseline,141278,177075.7,188609,36541.7,47331,-10789.3,-22.8%
STH-3PU,141278,174032.0,188609,33498.0,47331,-13833.0,-29.2%
UCLA-SuEIR,141278,173075.4,188609,32541.4,47331,-14789.6,-31.2%
IowaStateLW-STEM,141278,171802.0,188609,31268.0,47331,-16063.0,-33.9%
LANL-GrowthRate,141278,163323.1,188609,22789.1,47331,-24541.9,-51.9%
MITCovAlliance-SIR,141278,161210.7,188609,20676.7,47331,-26654.3,-56.3%
USACE-ERDC_SEIR,141278,239944.7,188609,99410.7,47331,52079.7,110.0%
