,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,2275,1487.0,1245.2,695.0,-788.0,-1029.8,-1580.0,False,False
Alaska,42,10.0,11.3,,-32.0,-30.7,,True,
Arizona,5207,2598.7,2080.7,1576.0,-2608.3,-3126.3,-3631.0,False,False
Arkansas,882,383.4,318.9,1268.0,-498.6,-563.1,386.0,False,True
California,13709,11390.6,7194.6,6864.0,-2319.4,-6515.4,-6846.0,False,False
Colorado,1971,3070.3,1882.0,1991.0,1099.3,-89.0,20.0,True,True
Connecticut,4468,7927.3,4856.7,4200.0,3459.3,388.7,-268.0,True,True
Delaware,608,860.9,508.5,435.0,252.9,-99.5,-173.0,True,True
District of Columbia,611,1160.0,599.7,683.0,549.0,-11.3,72.0,True,True
Florida,11811,6159.3,3250.1,2997.0,-5651.7,-8560.9,-8814.0,False,False
Georgia,5977,5051.0,2748.1,2464.0,-926.0,-3228.9,-3513.0,False,False
Hawaii,84,17.0,18.1,,-67.0,-65.9,,True,
Idaho,384,168.1,128.0,91.0,-215.9,-256.0,-293.0,False,False
Illinois,8385,14944.0,8230.6,7929.0,6559.0,-154.4,-456.0,True,True
Indiana,3362,5318.9,2738.6,2813.0,1956.9,-623.4,-549.0,True,True
Iowa,1164,2016.0,735.8,827.0,852.0,-428.2,-337.0,True,True
Kansas,480,353.6,353.1,434.0,-126.4,-126.9,-46.0,False,True
Kentucky,993,1237.9,571.1,480.0,244.9,-421.9,-513.0,False,False
Louisiana,5035,5662.4,3439.8,4644.0,627.4,-1595.2,-391.0,False,True
Maine,134,196.9,172.0,346.0,62.9,38.0,212.0,True,False
Maryland,3796,6511.3,4414.8,3529.0,2715.3,618.8,-267.0,True,True
Massachusetts,9116,14914.9,8458.4,8502.0,5798.9,-657.6,-614.0,True,True
Michigan,6806,10234.9,6209.9,6257.0,3666.9,-358.1,-311.0,True,True
Minnesota,1903,3062.0,2032.6,11160.0,1159.0,129.6,9257.0,True,False
Mississippi,2569,2170.1,1403.1,1168.0,-398.9,-1165.9,-1401.0,False,False
Missouri,1668,1963.7,885.2,1068.0,377.7,-700.8,-518.0,False,False
Montana,116,16.0,17.0,19.0,-100.0,-99.0,-97.0,True,True
Nebraska,404,503.6,439.0,442.0,99.6,35.0,38.0,True,True
Nevada,1388,825.7,497.1,588.0,-562.3,-890.9,-800.0,False,False
New Hampshire,432,758.7,272.9,328.0,326.7,-159.1,-104.0,True,True
New Jersey,15985,22652.3,12848.8,13164.0,8456.3,-1347.2,-1032.0,True,True
New Mexico,800,1089.6,495.0,612.0,289.6,-305.0,-188.0,False,True
New York,32987,42646.1,32493.2,32449.0,10643.1,490.2,446.0,True,True
North Carolina,2889,2240.0,2065.6,1927.0,-649.0,-823.4,-962.0,False,False
North Dakota,155,201.6,147.4,1436.0,46.6,-7.6,1281.0,True,False
Ohio,4256,7079.9,3361.8,2569.0,2823.9,-894.2,-1687.0,True,True
Oklahoma,850,652.7,429.3,1616.0,-197.3,-420.7,766.0,False,False
Oregon,480,311.4,183.3,160.0,-168.6,-296.7,-320.0,False,False
Pennsylvania,7750,14659.4,6617.3,5826.0,6909.4,-1132.7,-1924.0,True,True
Rhode Island,1055,2227.4,802.7,876.0,1172.4,-252.3,-179.0,True,True
South Carolina,2877,1177.9,689.4,691.0,-1699.1,-2187.6,-2186.0,False,False
South Dakota,173,139.1,152.1,484.0,-33.9,-20.9,311.0,True,False
Tennessee,1862,900.6,846.4,763.0,-961.4,-1015.6,-1099.0,False,False
Texas,13576,4276.6,3764.4,6975.0,-9214.4,-9726.6,-6516.0,False,True
Utah,420,349.6,413.5,127.0,-70.4,-6.5,-293.0,True,False
Vermont,58,54.0,56.4,55.0,-4.0,-1.6,-3.0,True,True
Virginia,2677,3563.0,2244.5,1723.0,886.0,-432.5,-954.0,True,False
Washington,1953,1952.4,1390.1,1238.0,-0.6,-562.9,-715.0,False,False
West Virginia,246,146.3,98.4,75.0,-99.7,-147.6,-171.0,False,False
Wisconsin,1168,1356.9,1023.0,1476.0,188.9,-145.0,308.0,True,False
Wyoming,42,71.4,26.9,13.0,29.4,-15.1,-29.0,True,True
US,188538,218924.6,136100.0,148574.0,33563.6,-49261.0,-36787.0,False,False
