,mean_rank
JCB-PRM,10.6
COVIDhub-ensemble,11.8
Karlen-pypm,12.5
YYG-ParamSearch,12.8
CovidAnalytics-DELPHI,13.8
GT-DeepCOVID,14.0
UMass-MechBayes,14.3
CMU-TimeSeries,14.3
OliverWyman-Navigator,14.5
COVIDhub-baseline,14.5
UA-EpiCovDA,14.5
UCLA-SuEIR,14.6
USC-SI_kJalpha,14.6
LNQ-ens1,14.7
DDS-NBDS,14.8
CEID-Walk,14.8
SteveMcConnell-CovidComplete,15.3
NotreDame-mobility,16.5
MOBS-GLEAM_COVID,16.5
UT-Mobility,16.8
PSI-DRAFT,17.5
LANL-GrowthRate,17.7
CU-select,18.5
Google_Harvard-CPF,19.4
USACE-ERDC_SEIR,19.4
IHME-CurveFit,19.7
IowaStateLW-STEM,19.8
JHU_IDD-CovidSP,20.5
RobertWalraven-ESG,21.4
Covid19Sim-Simulator,23.4
epiforecasts-ensemble1,24.2
Auquan-SEIR,26.5
TTU-squider,26.8
