,total_deaths_2020-07-26,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
CovidAnalytics-DELPHI,147716,185836.0,188610,38901.0,40894,-1993.0,-4.9%
YYG-ParamSearch,147716,185601.1,188610,38666.1,40894,-2227.9,-5.4%
Covid19Sim-Simulator,147716,185434.0,188610,38499.0,40894,-2395.0,-5.9%
Baseline,147716,184426.6,188610,37491.6,40894,-3402.4,-8.3%
IHME-CurveFit,147716,184125.8,188610,37190.8,40894,-3703.2,-9.1%
UCLA-SuEIR,147716,183258.6,188610,36323.6,40894,-4570.4,-11.2%
QJHong-Encounter,147716,195622.9,188610,48687.9,40894,7793.9,19.1%
Columbia_UNC-SurvCon,147716,179570.0,188610,32635.0,40894,-8259.0,-20.2%
NotreDame-mobility,147716,177260.6,188610,30325.6,40894,-10568.4,-25.8%
IowaStateLW-STEM,147716,176915.0,188610,29980.0,40894,-10914.0,-26.7%
USC-SI_kJalpha,147716,171816.0,188610,24881.0,40894,-16013.0,-39.2%
USACE-ERDC_SEIR,147716,204298.7,188610,57363.7,40894,16469.7,40.3%
STH-3PU,147716,206923.0,188610,59988.0,40894,19094.0,46.7%
LANL-GrowthRate,147716,167883.2,188610,20948.2,40894,-19945.8,-48.8%
MITCovAlliance-SIR,147716,163620.9,188610,16685.9,40894,-24208.1,-59.2%
PSI-DRAFT,147716,229479.0,188610,82544.0,40894,41650.0,101.8%
NotreDame-FRED,147716,,188610,,40894,,
