,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Montana,116,102.0,109.0,103.5,92.0,103.0,115.0,94.0,,,111.0,100.3,116.0,,113.0,117.8,159.6,138.2,111.3,100.0,154.4,111.1,,132.7,112.3,129.0,,,95.2,,182.8,115.0,95.0,,111.0,130.0,115.3,120.0,122.0,115.9,100.0,-14.0,-7.0,-12.5,-24.0,-13.0,-1.0,-22.0,,,-5.0,-15.7,0.0,,-3.0,1.8,43.6,22.2,-4.7,-16.0,38.4,-4.9,,16.7,-3.7,13.0,,,-20.8,,66.8,-1.0,-21.0,,-5.0,14.0,-0.7,4.0,6.0,-0.1,-16.0,True,True,False,True,True,False,,,True,False,True,,True,True,False,False,True,False,False,True,,False,True,True,,,False,,False,True,False,,True,False,True,True,True,True,False
Nebraska,404,406.7,493.0,410.1,380.0,409.0,404.0,436.0,,,385.0,404.4,409.8,,410.0,421.1,474.8,422.0,388.1,399.8,402.0,395.4,,408.2,407.6,379.0,,,385.5,,505.5,425.0,403.9,,402.0,398.5,426.0,406.0,419.0,407.9,388.0,2.7,89.0,6.1,-24.0,5.0,0.0,32.0,,,-19.0,0.4,5.8,,6.0,17.1,70.8,18.0,-15.9,-4.2,-2.0,-8.6,,4.2,3.6,-25.0,,,-18.5,,101.5,21.0,-0.1,,-2.0,-5.5,22.0,2.0,15.0,3.9,-16.0,False,False,False,False,True,False,,,False,True,False,,False,False,False,False,False,False,True,False,,False,False,False,,,False,,False,False,True,,True,False,False,True,False,False,False
Nevada,1388,1400.6,1396.0,1428.8,1282.0,1428.9,1374.0,1277.0,,,1260.0,1397.9,1311.2,,1417.0,1378.3,1445.4,1441.5,1344.8,1335.4,1089.5,1378.2,,1401.7,1419.5,1876.0,,1664.2,1189.0,,4223.6,1389.0,1339.6,,1307.0,1488.4,1369.7,1394.0,1776.0,1373.8,1321.0,12.6,8.0,40.8,-106.0,40.9,-14.0,-111.0,,,-128.0,9.9,-76.8,,29.0,-9.7,57.4,53.5,-43.2,-52.6,-298.5,-9.8,,13.7,31.5,488.0,,276.2,-199.0,,2835.6,1.0,-48.4,,-81.0,100.4,-18.3,6.0,388.0,-14.2,-67.0,True,False,False,False,False,False,,,False,True,False,,False,True,False,False,False,False,False,True,,False,False,False,,False,False,,False,True,False,,False,False,False,True,False,False,False
New Hampshire,432,434.4,451.0,436.2,429.0,437.1,437.0,426.0,,,429.0,442.2,444.9,,422.0,439.4,448.2,433.3,437.0,423.8,456.1,446.8,,455.4,437.3,429.0,,,433.5,,1095.1,432.0,442.4,,432.0,430.3,453.0,424.0,432.0,442.6,,2.4,19.0,4.2,-3.0,5.1,5.0,-6.0,,,-3.0,10.2,12.9,,-10.0,7.4,16.2,1.3,5.0,-8.2,24.1,14.8,,23.4,5.3,-3.0,,,1.5,,663.1,0.0,10.4,,0.0,-1.7,21.0,-8.0,0.0,10.6,,False,False,False,False,False,False,,,False,False,False,,False,False,False,True,False,False,False,False,,False,False,False,,,True,,False,True,False,,True,True,False,False,True,False,
New Jersey,15985,16020.6,16658.0,16031.3,15958.0,16138.8,16048.0,16273.0,,,15980.0,16168.6,16335.6,,16085.0,16042.2,16084.5,16084.6,16110.0,16016.4,16039.6,15984.6,,16091.1,16024.6,15899.0,,16043.1,16022.8,,16517.6,16028.0,16057.7,,15987.0,,16618.4,16066.0,16014.5,15992.8,16083.0,35.6,673.0,46.3,-27.0,153.8,63.0,288.0,,,-5.0,183.6,350.6,,100.0,57.2,99.5,99.6,125.0,31.4,54.6,-0.4,,106.1,39.6,-86.0,,58.1,37.8,,532.6,43.0,72.7,,2.0,,633.4,81.0,29.5,7.8,98.0,False,False,True,False,False,False,,,True,False,False,,False,False,False,False,False,True,False,True,,False,False,False,,False,False,,False,False,False,,True,,False,False,True,True,False
New Mexico,800,796.9,814.0,802.2,754.0,801.1,791.0,755.0,,,789.0,806.5,767.7,,814.0,796.0,858.7,790.9,760.0,768.3,808.8,771.0,,810.6,773.5,821.0,,,753.4,,1216.4,783.0,791.1,,775.0,783.7,828.6,770.0,820.0,805.0,759.0,-3.1,14.0,2.2,-46.0,1.1,-9.0,-45.0,,,-11.0,6.5,-32.3,,14.0,-4.0,58.7,-9.1,-40.0,-31.7,8.8,-29.0,,10.6,-26.5,21.0,,,-46.6,,416.4,-17.0,-8.9,,-25.0,-16.3,28.6,-30.0,20.0,5.0,-41.0,False,True,False,True,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,False,False,False
New York,32987,33028.6,34548.0,33029.4,32905.0,33143.8,33029.0,33202.0,,,32852.0,33296.0,33138.0,,33050.0,33152.2,32959.2,33103.2,33014.0,33015.5,28508.5,33008.8,,33117.9,33017.9,32808.0,,32979.5,32949.1,,50607.6,33018.0,32976.9,,33031.0,,33923.4,32985.0,33055.0,33008.7,33009.0,17.6,1537.0,18.4,-106.0,132.8,18.0,191.0,,,-159.0,285.0,127.0,,39.0,141.2,-51.8,92.2,3.0,4.5,-4502.5,-2.2,,106.9,6.9,-203.0,,-31.5,-61.9,,17596.6,7.0,-34.1,,20.0,,912.4,-26.0,44.0,-2.3,-2.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,True,True,False,True,,False,True,False,,False,False,,False,True,False,,False,,False,False,False,True,True
North Carolina,2889,2789.9,2978.0,2828.1,2481.0,2820.0,2797.0,2832.0,,,2712.0,2811.7,2667.8,,2773.0,2785.8,3372.6,2846.9,2704.7,2750.1,2436.0,2735.5,,2865.3,2762.7,3190.5,,3122.5,2588.3,,6201.5,2868.0,2676.1,,2660.0,2798.8,2831.2,2732.0,2994.5,2809.6,2620.0,-99.1,89.0,-60.9,-408.0,-69.0,-92.0,-57.0,,,-177.0,-77.3,-221.2,,-116.0,-103.2,483.6,-42.1,-184.3,-138.9,-453.0,-153.5,,-23.7,-126.3,301.5,,233.5,-300.7,,3312.5,-21.0,-212.9,,-229.0,-90.2,-57.8,-157.0,105.5,-79.4,-269.0,True,True,False,True,True,True,,,False,True,False,,False,False,False,True,False,False,False,False,,True,False,False,,False,False,,False,True,False,,False,True,True,False,False,True,False
North Dakota,155,162.1,163.0,148.8,134.0,148.0,150.0,143.0,,,131.0,160.4,143.2,,149.0,151.9,186.9,152.7,143.3,147.3,160.3,140.2,,159.1,157.5,171.0,,,145.9,,289.9,145.0,148.8,,157.0,147.8,162.8,152.0,178.0,152.7,135.0,7.1,8.0,-6.2,-21.0,-7.0,-5.0,-12.0,,,-24.0,5.4,-11.8,,-6.0,-3.1,31.9,-2.3,-11.7,-7.7,5.3,-14.8,,4.1,2.5,16.0,,,-9.1,,134.9,-10.0,-6.2,,2.0,-7.2,7.8,-3.0,23.0,-2.3,-20.0,False,True,False,True,True,False,,,False,True,False,,True,True,False,True,False,False,True,False,,True,True,False,,,False,,False,False,True,,True,False,False,True,False,True,False
Ohio,4256,4274.6,4289.0,4305.1,3947.0,4292.2,4245.0,4246.0,,,4244.0,4429.4,4267.6,,4116.0,4318.2,4696.1,4411.5,4113.8,4186.8,4390.1,4131.2,4112.0,4467.7,4235.3,4435.0,,4423.9,4093.9,,6200.2,4206.0,4232.4,,4205.0,4107.4,4622.4,4238.0,4348.5,4272.6,4120.0,18.6,33.0,49.1,-309.0,36.2,-11.0,-10.0,,,-12.0,173.4,11.6,,-140.0,62.2,440.1,155.5,-142.2,-69.2,134.1,-124.8,-144.0,211.7,-20.7,179.0,,167.9,-162.1,,1944.2,-50.0,-23.6,,-51.0,-148.6,366.4,-18.0,92.5,16.6,-136.0,False,False,False,False,True,True,,,True,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False,True,False,True,False
Oklahoma,850,826.7,875.0,816.9,704.0,818.9,815.0,814.0,,,804.0,830.6,812.1,,743.0,827.2,1110.8,821.0,761.0,800.8,738.0,799.8,,871.1,809.6,994.0,,830.7,767.2,,3153.2,848.0,781.7,,786.0,823.0,878.8,793.0,905.0,810.8,786.0,-23.3,25.0,-33.1,-146.0,-31.1,-35.0,-36.0,,,-46.0,-19.4,-37.9,,-107.0,-22.8,260.8,-29.0,-89.0,-49.2,-112.0,-50.2,,21.1,-40.4,144.0,,-19.3,-82.8,,2303.2,-2.0,-68.3,,-64.0,-27.0,28.8,-57.0,55.0,-39.2,-64.0,False,False,False,False,False,False,,,False,True,False,,False,True,False,False,False,False,False,False,,True,False,False,,True,False,,False,True,False,,False,False,False,False,False,False,False
Oregon,480,479.4,490.0,482.1,443.0,479.0,483.0,440.0,,,462.0,459.8,481.6,,485.0,484.0,652.8,489.5,458.2,460.9,636.9,459.1,,508.0,467.7,552.0,,,462.0,,626.8,484.0,457.8,,460.0,494.6,490.2,476.0,490.5,484.3,450.0,-0.6,10.0,2.1,-37.0,-1.0,3.0,-40.0,,,-18.0,-20.2,1.6,,5.0,4.0,172.8,9.5,-21.8,-19.1,156.9,-20.9,,28.0,-12.3,72.0,,,-18.0,,146.8,4.0,-22.2,,-20.0,14.6,10.2,-4.0,10.5,4.3,-30.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,False,False,False
Pennsylvania,7750,7858.7,7987.0,7856.2,7571.0,7876.1,7799.0,7893.0,,,7800.0,7972.1,7782.2,,7548.0,7813.9,8122.5,7830.3,7646.9,7823.4,7862.8,7660.2,,7641.1,7797.5,7495.0,,7764.3,7678.9,,17651.9,7797.0,7886.3,,7746.0,7537.2,8408.4,7781.0,7822.0,7802.5,7598.0,108.7,237.0,106.2,-179.0,126.1,49.0,143.0,,,50.0,222.1,32.2,,-202.0,63.9,372.5,80.3,-103.1,73.4,112.8,-89.8,,-108.9,47.5,-255.0,,14.3,-71.1,,9901.9,47.0,136.3,,-4.0,-212.8,658.4,31.0,72.0,52.5,-152.0,False,True,False,False,True,False,,,True,False,True,,False,True,False,True,True,True,False,True,,False,True,False,,True,True,,False,True,False,,True,False,False,True,True,True,False
Rhode Island,1055,1041.0,1105.0,1042.5,1029.0,1045.0,1043.0,1068.0,,,1029.0,1051.3,1044.7,,1048.0,1044.1,1020.1,1055.0,1033.4,1031.3,1031.9,1049.0,,1027.3,1044.6,1029.0,,1027.0,1021.7,,4315.4,1037.0,1045.8,,1034.0,,1106.9,1035.0,1031.0,1047.7,1022.0,-14.0,50.0,-12.5,-26.0,-10.0,-12.0,13.0,,,-26.0,-3.7,-10.3,,-7.0,-10.9,-34.9,0.0,-21.6,-23.7,-23.1,-6.0,,-27.7,-10.4,-26.0,,-28.0,-33.3,,3260.4,-18.0,-9.2,,-21.0,,51.9,-20.0,-24.0,-7.3,-33.0,False,True,False,True,True,True,,,False,True,True,,True,True,False,True,False,False,False,True,,False,True,False,,False,False,,False,False,True,,False,,False,False,False,True,False
South Carolina,2877,2949.0,2900.0,3020.3,2425.0,3019.3,2844.0,2649.0,,,2866.0,2821.0,,,2671.0,2893.6,3038.5,3015.6,2653.5,2709.9,2419.1,2784.3,,3186.9,2911.3,2522.0,,3624.6,2598.2,,3751.1,2779.0,2844.8,,2685.0,3295.6,2778.5,2819.0,3243.0,2909.4,2623.0,72.0,23.0,143.3,-452.0,142.3,-33.0,-228.0,,,-11.0,-56.0,,,-206.0,16.6,161.5,138.6,-223.5,-167.1,-457.9,-92.7,,309.9,34.3,-355.0,,747.6,-278.8,,874.1,-98.0,-32.2,,-192.0,418.6,-98.5,-58.0,366.0,32.4,-254.0,True,False,False,False,True,False,,,True,True,,,False,True,False,False,False,False,False,False,,False,True,False,,False,False,,False,False,True,,False,False,False,True,False,True,False
South Dakota,173,173.0,197.0,167.0,162.0,170.0,179.0,152.0,,,165.0,178.4,183.3,,180.0,181.9,189.3,188.9,181.6,170.4,176.5,174.2,,190.8,174.5,176.0,,,166.4,,197.3,198.0,164.0,,184.0,179.0,180.0,173.0,214.0,176.8,167.0,0.0,24.0,-6.0,-11.0,-3.0,6.0,-21.0,,,-8.0,5.4,10.3,,7.0,8.9,16.3,15.9,8.6,-2.6,3.5,1.2,,17.8,1.5,3.0,,,-6.6,,24.3,25.0,-9.0,,11.0,6.0,7.0,0.0,41.0,3.8,-6.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,True,False,False,False
Tennessee,1862,1774.6,1956.0,1709.0,1495.0,1735.0,1753.0,1897.0,,,1716.0,1649.9,,,1729.0,1719.8,2090.9,1814.9,1713.8,1722.8,1711.1,1688.2,,1845.7,1764.1,1857.5,,1866.4,1806.1,,6261.8,1931.0,1639.5,,1682.0,1901.7,1741.3,1645.0,1905.0,1725.4,1628.0,-87.4,94.0,-153.0,-367.0,-127.0,-109.0,35.0,,,-146.0,-212.1,,,-133.0,-142.2,228.9,-47.1,-148.2,-139.2,-150.9,-173.8,,-16.3,-97.9,-4.5,,4.4,-55.9,,4399.8,69.0,-222.5,,-180.0,39.7,-120.7,-217.0,43.0,-136.6,-234.0,False,False,False,False,False,True,,,False,False,,,False,False,False,True,False,False,False,False,,True,False,True,,True,True,,False,True,False,,False,True,False,False,True,False,False
Texas,13576,13936.0,14356.0,14031.5,11219.0,13897.7,13530.0,13344.0,,,13314.0,13024.1,12742.1,,14247.0,13723.0,13678.3,14167.3,14186.7,14106.7,9782.3,12913.1,,14538.7,13458.5,11931.0,,16547.5,12550.7,13156.0,13990.1,15637.0,12923.8,,13488.0,15138.5,13267.2,13789.0,15037.5,13620.2,13024.0,360.0,780.0,455.5,-2357.0,321.7,-46.0,-232.0,,,-262.0,-551.9,-833.9,,671.0,147.0,102.3,591.3,610.7,530.7,-3793.7,-662.9,,962.7,-117.5,-1645.0,,2971.5,-1025.3,-420.0,414.1,2061.0,-652.2,,-88.0,1562.5,-308.8,213.0,1461.5,44.2,-552.0,False,False,False,True,True,True,,,True,False,False,,False,True,True,False,False,False,False,False,,False,True,False,,False,False,False,False,False,False,,True,False,True,True,False,True,False
Utah,420,440.1,567.0,448.9,390.0,447.0,426.0,426.0,,,416.0,419.1,427.8,,426.0,433.8,569.3,438.2,418.1,421.5,403.6,451.1,,471.2,422.7,406.0,,,403.6,,659.0,416.0,443.2,,418.0,470.3,413.2,426.0,460.0,445.0,399.0,20.1,147.0,28.9,-30.0,27.0,6.0,6.0,,,-4.0,-0.9,7.8,,6.0,13.8,149.3,18.2,-1.9,1.5,-16.4,31.1,,51.2,2.7,-14.0,,,-16.4,,239.0,-4.0,23.2,,-2.0,50.3,-6.8,6.0,40.0,25.0,-21.0,False,False,False,False,True,True,,,True,True,True,,True,True,False,True,True,True,True,False,,False,True,True,,,True,,False,True,False,,True,False,True,True,False,False,False
Vermont,58,58.0,64.0,58.5,58.0,59.0,59.0,58.0,,,58.0,60.9,60.1,,58.0,59.1,67.4,59.6,60.3,58.0,59.3,59.1,,58.9,59.6,58.0,,,58.0,,254.4,61.0,58.0,,59.0,,62.3,58.0,153.0,60.9,,0.0,6.0,0.5,0.0,1.0,1.0,0.0,,,0.0,2.9,2.1,,0.0,1.1,9.4,1.6,2.3,0.0,1.3,1.1,,0.9,1.6,0.0,,,0.0,,196.4,3.0,0.0,,1.0,,4.3,0.0,95.0,2.9,,False,False,True,False,False,True,,,True,False,False,,True,False,False,False,False,False,False,False,,False,False,True,,,True,,False,False,False,,False,,False,True,False,False,
Virginia,2677,2538.1,2843.0,2557.9,2450.0,2558.1,2588.0,2618.0,,,2513.0,2646.3,2652.2,,2593.0,2640.6,2905.5,2708.7,2572.4,2576.2,2526.6,2566.7,,2629.8,2710.6,2568.0,,2949.1,2533.3,,15989.8,2598.0,2494.2,,2583.0,2550.4,2857.2,2553.0,2684.0,2681.4,2573.0,-138.9,166.0,-119.1,-227.0,-118.9,-89.0,-59.0,,,-164.0,-30.7,-24.8,,-84.0,-36.4,228.5,31.7,-104.6,-100.8,-150.4,-110.3,,-47.2,33.6,-109.0,,272.1,-143.7,,13312.8,-79.0,-182.8,,-94.0,-126.6,180.2,-124.0,7.0,4.4,-104.0,False,True,False,True,True,True,,,False,True,True,,True,True,False,True,True,True,False,True,,True,True,True,,False,False,,False,True,False,,True,True,False,True,True,True,True
Washington,1953,2046.7,2072.0,2010.8,1846.0,2000.2,2016.0,1919.0,,,2020.0,2069.8,1957.8,,1982.0,1998.7,2198.7,2054.4,1961.4,2033.6,2110.7,1994.6,,1973.8,1954.7,2335.0,,2154.9,2146.9,,4389.2,2008.0,1918.6,,1984.0,,2144.5,1975.0,2136.5,2066.0,1948.0,93.7,119.0,57.8,-107.0,47.2,63.0,-34.0,,,67.0,116.8,4.8,,29.0,45.7,245.7,101.4,8.4,80.6,157.7,41.6,,20.8,1.7,382.0,,201.9,193.9,,2436.2,55.0,-34.4,,31.0,,191.5,22.0,183.5,113.0,-5.0,False,True,False,True,True,True,,,True,False,True,,True,True,False,False,True,True,False,True,,True,True,False,,False,False,,False,True,True,,True,,False,True,False,False,True
West Virginia,246,220.0,205.0,244.7,189.0,247.0,223.0,192.0,,,185.0,224.7,239.6,,191.0,230.5,245.0,221.7,204.0,207.9,149.3,234.4,,232.3,274.3,341.0,,,179.8,,322.6,235.0,241.4,,210.0,,207.3,247.0,264.0,226.7,237.0,-26.0,-41.0,-1.3,-57.0,1.0,-23.0,-54.0,,,-61.0,-21.3,-6.4,,-55.0,-15.5,-1.0,-24.3,-42.0,-38.1,-96.7,-11.6,,-13.7,28.3,95.0,,,-66.2,,76.6,-11.0,-4.6,,-36.0,,-38.7,1.0,18.0,-19.3,-9.0,False,True,False,True,True,False,,,False,True,True,,False,True,True,True,False,False,False,True,,True,False,False,,,False,,False,True,True,,False,,False,True,True,True,True
Wisconsin,1168,1156.1,1327.0,1169.2,1066.0,1164.1,1174.0,1208.0,,,1189.0,1221.0,1170.7,,1113.0,1188.3,1481.9,1226.6,1135.1,1149.1,1158.7,1168.9,1168.5,1206.2,1154.8,1297.0,,1294.3,1130.8,,4189.3,1188.0,1129.9,,1156.0,1127.6,1299.2,1167.0,1236.0,1187.5,1123.0,-11.9,159.0,1.2,-102.0,-3.9,6.0,40.0,,,21.0,53.0,2.7,,-55.0,20.3,313.9,58.6,-32.9,-18.9,-9.3,0.9,0.5,38.2,-13.2,129.0,,126.3,-37.2,,3021.3,20.0,-38.1,,-12.0,-40.4,131.2,-1.0,68.0,19.5,-45.0,False,True,False,True,True,False,,,False,False,True,,False,False,False,False,False,False,True,True,True,False,False,False,,False,False,,False,False,False,,False,False,False,True,False,False,False
Wyoming,42,35.7,44.0,35.5,32.0,36.0,35.0,30.0,,,37.0,36.3,35.3,,30.0,34.5,54.9,38.5,34.3,30.3,38.5,33.3,,50.0,34.0,38.0,,,30.0,,60.8,35.0,34.5,,34.0,,36.8,30.0,37.0,34.6,,-6.3,2.0,-6.5,-10.0,-6.0,-7.0,-12.0,,,-5.0,-5.7,-6.7,,-12.0,-7.5,12.9,-3.5,-7.7,-11.7,-3.5,-8.7,,8.0,-8.0,-4.0,,,-12.0,,18.8,-7.0,-7.5,,-8.0,,-5.2,-12.0,-5.0,-7.4,,True,False,False,True,False,False,,,True,True,False,,False,False,False,True,False,False,True,False,,False,False,True,,,False,,False,False,False,,False,,True,False,True,False,
US,188538,190377.7,187513.0,190993.6,,190667.4,189122.0,189369.0,189440.0,175551.0,185901.0,190760.2,189462.8,,186668.0,189702.4,194952.1,193112.2,183527.8,190100.7,173354.1,185031.2,,190260.9,188790.1,182434.0,188895.6,198441.0,179077.5,188945.0,328554.4,190053.0,189096.4,186409.0,187612.0,181438.4,194787.7,187590.0,198272.5,189107.9,184774.0,1815.7,-1049.0,2431.6,,2105.4,560.0,807.0,878.0,-13011.0,-2661.0,2198.2,900.8,,-1894.0,1140.4,6390.1,4550.2,-5034.2,1538.7,-15207.9,-3530.8,,1698.9,228.1,-6128.0,333.6,9879.0,-9484.5,383.0,139992.4,1491.0,534.4,-2153.0,-950.0,-7123.6,6225.7,-972.0,9710.5,545.9,-3788.0,True,False,,False,True,True,True,False,False,False,True,,False,True,False,False,False,True,False,False,,True,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False
