,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,5977,6139.1,5905.0,6178.5,5088.0,6117.9,5932.0,5667.0,,5156.0,5479.0,6635.0,5805.4,5880.7,5516.0,5959.7,5810.5,6240.5,5422.5,5863.6,4472.7,6049.8,,5951.4,5924.4,5533.0,,6297.1,5276.1,,9811.4,6034.0,5971.9,,5609.0,6172.7,5940.0,6045.0,6440.5,5855.6,5752.0,162.1,-72.0,201.5,-889.0,140.9,-45.0,-310.0,,-821.0,-498.0,658.0,-171.6,-96.3,-461.0,-17.3,-166.5,263.5,-554.5,-113.4,-1504.3,72.8,,-25.6,-52.6,-444.0,,320.1,-700.9,,3834.4,57.0,-5.1,,-368.0,195.7,-37.0,68.0,463.5,-121.4,-225.0,True,False,False,True,True,False,,False,False,False,False,True,False,True,False,False,False,True,False,True,,True,True,False,,False,False,,False,True,True,,False,False,True,True,False,True,False
Hawaii,84,65.7,67.0,68.1,50.0,67.0,70.0,105.0,,91.9,77.0,51.0,,,,93.4,112.8,79.8,68.0,65.2,28.6,71.8,,60.9,85.1,55.0,,,49.6,,234.5,92.0,67.0,,80.0,,66.3,51.0,71.0,69.7,50.0,-18.3,-17.0,-15.9,-34.0,-17.0,-14.0,21.0,,7.9,-7.0,-33.0,,,,9.4,28.8,-4.2,-16.0,-18.8,-55.4,-12.2,,-23.1,1.1,-29.0,,,-34.4,,150.5,8.0,-17.0,,-4.0,,-17.7,-33.0,-13.0,-14.3,-34.0,True,True,False,True,True,False,,True,True,False,,,,True,False,True,True,False,False,True,,False,True,False,,,False,,False,True,True,,True,,True,False,True,True,False
Idaho,384,360.4,392.0,373.9,315.0,371.0,374.0,358.0,,365.5,345.0,362.1,376.1,,318.0,386.3,541.4,412.0,328.2,358.0,364.7,411.8,,416.1,375.3,352.0,,,300.8,,548.9,397.0,338.9,,327.0,392.8,357.5,365.0,392.0,374.8,358.0,-23.6,8.0,-10.1,-69.0,-13.0,-10.0,-26.0,,-18.5,-39.0,-21.9,-7.9,,-66.0,2.3,157.4,28.0,-55.8,-26.0,-19.3,27.8,,32.1,-8.7,-32.0,,,-83.2,,164.9,13.0,-45.1,,-57.0,8.8,-26.5,-19.0,8.0,-9.2,-26.0,True,True,False,True,True,False,,True,False,True,True,,False,True,False,False,False,False,True,False,,False,True,False,,,False,,False,True,False,,False,True,False,True,True,True,False
Illinois,8385,8269.3,8836.0,8233.0,8095.0,8234.9,8292.0,8512.0,,8235.0,8294.0,8518.4,8280.8,,8238.0,8377.4,8340.2,8287.6,8183.4,8358.8,8807.1,8191.7,8431.5,8164.7,8294.8,8052.0,,8292.0,8133.1,,10673.1,8466.0,8192.4,,8317.0,8181.7,9241.0,8319.0,8292.0,8375.7,7825.0,-115.7,451.0,-152.0,-290.0,-150.1,-93.0,127.0,,-150.0,-91.0,133.4,-104.2,,-147.0,-7.6,-44.8,-97.4,-201.6,-26.2,422.1,-193.3,46.5,-220.3,-90.2,-333.0,,-93.0,-251.9,,2288.1,81.0,-192.6,,-68.0,-203.3,856.0,-66.0,-93.0,-9.3,-560.0,False,False,False,False,True,False,,False,True,False,True,,False,True,True,True,False,True,False,False,True,False,True,False,,True,False,,False,True,False,,True,False,False,True,True,True,False
Indiana,3362,3395.9,3476.0,3402.3,3230.0,3404.9,3400.0,3442.0,,3282.2,3347.0,3491.9,3402.7,,3300.0,3441.1,3347.0,3481.5,3302.3,3389.3,3530.9,3258.6,3326.0,3239.2,3426.6,3341.0,,3327.4,3292.7,,6099.0,3451.0,3402.1,,3390.0,3250.1,3807.6,3438.0,3427.0,3438.1,3228.0,33.9,114.0,40.3,-132.0,42.9,38.0,80.0,,-79.8,-15.0,129.9,40.7,,-62.0,79.1,-15.0,119.5,-59.7,27.3,168.9,-103.4,-36.0,-122.8,64.6,-21.0,,-34.6,-69.3,,2737.0,89.0,40.1,,28.0,-111.9,445.6,76.0,65.0,76.1,-134.0,False,False,False,False,False,False,,False,True,False,False,,False,False,True,False,False,True,False,False,False,False,False,True,,False,False,,False,False,False,,True,False,False,False,False,False,False
Iowa,1164,1100.7,1202.0,1119.9,1057.0,1119.1,1116.0,1086.0,,1084.3,1010.0,1158.9,1119.9,,1107.0,1121.4,1213.9,1122.4,1103.3,1106.6,1019.0,1119.9,,1146.9,1149.9,1193.0,,1161.4,1054.8,,2816.9,1111.0,1074.7,,1087.0,1069.6,1159.2,1117.0,1160.0,1115.9,1066.0,-63.3,38.0,-44.1,-107.0,-44.9,-48.0,-78.0,,-79.7,-154.0,-5.1,-44.1,,-57.0,-42.6,49.9,-41.6,-60.7,-57.4,-145.0,-44.1,,-17.1,-14.1,29.0,,-2.6,-109.2,,1652.9,-53.0,-89.3,,-77.0,-94.4,-4.8,-47.0,-4.0,-48.1,-98.0,True,True,False,True,True,False,,False,False,True,True,,True,True,True,True,True,True,False,True,,True,True,True,,True,False,,False,True,False,,False,False,True,True,True,True,False
Kansas,480,480.3,555.0,481.1,433.0,484.0,483.0,636.0,,522.4,485.0,465.8,488.5,,495.0,496.7,626.8,496.2,456.7,481.9,454.0,504.5,,494.2,498.0,502.0,,,431.7,,1092.3,492.0,472.6,,459.0,456.0,502.8,485.0,481.0,478.3,426.0,0.3,75.0,1.1,-47.0,4.0,3.0,156.0,,42.4,5.0,-14.2,8.5,,15.0,16.7,146.8,16.2,-23.3,1.9,-26.0,24.5,,14.2,18.0,22.0,,,-48.3,,612.3,12.0,-7.4,,-21.0,-24.0,22.8,5.0,1.0,-1.7,-54.0,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,False,False,False
Kentucky,993,915.7,980.0,924.8,855.0,924.0,921.0,1030.0,,,922.0,911.6,966.9,,889.0,949.7,1103.4,941.0,867.2,906.1,1057.1,922.4,917.5,862.8,953.8,891.5,,906.2,859.4,,1781.1,967.0,931.3,,913.0,887.9,1046.6,924.0,940.0,926.5,845.0,-77.3,-13.0,-68.2,-138.0,-69.0,-72.0,37.0,,,-71.0,-81.4,-26.1,,-104.0,-43.3,110.4,-52.0,-125.8,-86.9,64.1,-70.6,-75.5,-130.2,-39.2,-101.5,,-86.8,-133.6,,788.1,-26.0,-61.7,,-80.0,-105.1,53.6,-69.0,-53.0,-66.5,-148.0,True,True,False,True,True,True,,,True,False,True,,False,True,False,True,False,False,True,True,True,False,True,False,,False,False,,False,True,True,,False,False,True,True,True,True,False
Louisiana,5035,5204.1,5098.0,5128.9,4608.0,5098.8,5043.0,4721.0,,,4881.0,5421.4,5024.1,,5043.0,5018.2,4900.1,5472.1,4877.2,5003.7,4193.4,4946.3,,5145.0,5045.7,5585.0,,5450.6,5000.4,,18753.3,5057.0,4901.3,,4988.0,,5451.4,4879.0,5329.0,5040.0,4810.0,169.1,63.0,93.9,-427.0,63.8,8.0,-314.0,,,-154.0,386.4,-10.9,,8.0,-16.8,-134.9,437.1,-157.8,-31.3,-841.6,-88.7,,110.0,10.7,550.0,,415.6,-34.6,,13718.3,22.0,-133.7,,-47.0,,416.4,-156.0,294.0,5.0,-225.0,True,True,False,True,True,False,,,True,False,True,,True,True,True,False,True,True,False,True,,True,True,False,,False,True,,False,True,True,,True,,False,True,False,True,False
Maine,134,132.7,144.0,134.1,129.0,133.0,134.0,127.0,,,129.0,138.6,136.9,,132.0,131.7,146.5,133.1,135.4,127.4,140.0,131.3,,139.2,134.5,130.0,,,129.3,,234.3,136.0,131.9,,134.0,,138.3,131.0,150.0,133.1,,-1.3,10.0,0.1,-5.0,-1.0,0.0,-7.0,,,-5.0,4.6,2.9,,-2.0,-2.3,12.5,-0.9,1.4,-6.6,6.0,-2.7,,5.2,0.5,-4.0,,,-4.7,,100.3,2.0,-2.1,,0.0,,4.3,-3.0,16.0,-0.9,,False,True,False,True,True,False,,,False,False,False,,False,False,False,True,False,False,False,False,,False,True,False,,,False,,False,False,False,,True,,False,False,False,True,
Maryland,3796,3793.3,4064.0,3812.9,3709.0,3813.9,3813.0,3943.0,,,3806.0,3909.3,3829.8,,3754.0,3849.6,3849.1,3860.9,3745.2,3777.8,3892.4,3824.6,,3740.9,3784.8,3757.0,,3895.9,3816.2,,4325.1,3808.0,3781.8,,3792.0,3727.5,4209.5,3801.0,3922.0,3878.2,3736.0,-2.7,268.0,16.9,-87.0,17.9,17.0,147.0,,,10.0,113.3,33.8,,-42.0,53.6,53.1,64.9,-50.8,-18.2,96.4,28.6,,-55.1,-11.2,-39.0,,99.9,20.2,,529.1,12.0,-14.2,,-4.0,-68.5,413.5,5.0,126.0,82.2,-60.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,False,False
Massachusetts,9116,9132.3,9339.0,9155.6,8895.0,9155.4,9114.0,8940.0,,,9156.0,9333.9,9135.8,,8848.0,9175.9,8889.1,9147.5,9062.1,9090.0,8527.3,9062.0,,9067.4,9134.4,9050.0,,9176.1,9092.9,,5947.2,9098.0,9099.9,,9112.0,8938.5,9217.0,9169.0,9318.0,9164.2,8809.0,16.3,223.0,39.6,-221.0,39.4,-2.0,-176.0,,,40.0,217.9,19.8,,-268.0,59.9,-226.9,31.5,-53.9,-26.0,-588.7,-54.0,,-48.6,18.4,-66.0,,60.1,-23.1,,-3168.8,-18.0,-16.1,,-4.0,-177.5,101.0,53.0,202.0,48.2,-307.0,False,False,False,False,True,False,,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,True,,True,False,False,False,False,False,False
Michigan,6806,6800.6,7014.0,6774.4,6646.0,6791.7,6780.0,6897.0,,,6663.0,6942.0,6785.5,,6777.0,6784.0,6983.1,6798.8,6715.9,6825.5,7408.4,6771.1,8869.0,6717.9,6829.2,6599.0,,6681.2,6777.5,,10473.1,6789.0,6756.3,,6805.0,,7499.4,6749.0,6965.0,6790.3,6679.0,-5.4,208.0,-31.6,-160.0,-14.3,-26.0,91.0,,,-143.0,136.0,-20.5,,-29.0,-22.0,177.1,-7.2,-90.1,19.5,602.4,-34.9,2063.0,-88.1,23.2,-207.0,,-124.8,-28.5,,3667.1,-17.0,-49.7,,-1.0,,693.4,-57.0,159.0,-15.7,-127.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,True,,False,False,False,False,False
Minnesota,1903,1906.3,2033.0,1770.6,1775.0,1755.1,1861.0,1877.0,,,1816.0,2022.1,1779.8,,1833.0,1793.4,1985.7,1838.9,1846.1,1956.6,1843.2,1784.8,1906.0,1859.0,1876.4,1745.0,,1886.7,1851.9,,12008.7,1908.0,1746.4,,1880.0,1822.8,2117.6,1830.0,2952.5,1909.9,1827.0,3.3,130.0,-132.4,-128.0,-147.9,-42.0,-26.0,,,-87.0,119.1,-123.2,,-70.0,-109.6,82.7,-64.1,-56.9,53.6,-59.8,-118.2,3.0,-44.0,-26.6,-158.0,,-16.3,-51.1,,10105.7,5.0,-156.6,,-23.0,-80.2,214.6,-73.0,1049.5,6.9,-76.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,False,False
Mississippi,2569,2621.1,2608.0,2679.7,2216.0,2698.0,2534.0,2276.0,,,2528.0,2586.2,2529.0,,2523.0,2629.4,2537.8,2641.2,2395.2,2473.2,2239.2,2583.2,,2678.3,2587.0,2185.0,,2956.3,2356.5,,3575.3,2449.0,2596.9,,2436.0,2635.5,2625.8,2498.0,2727.0,2547.6,2488.0,52.1,39.0,110.7,-353.0,129.0,-35.0,-293.0,,,-41.0,17.2,-40.0,,-46.0,60.4,-31.2,72.2,-173.8,-95.8,-329.8,14.2,,109.3,18.0,-384.0,,387.3,-212.5,,1006.3,-120.0,27.9,,-133.0,66.5,56.8,-71.0,158.0,-21.4,-81.0,True,False,False,False,True,False,,,True,True,True,,True,False,True,False,False,False,False,True,,False,True,False,,False,False,,False,False,True,,False,False,False,False,False,True,False
Missouri,1668,1523.0,1684.0,1536.2,1459.0,1530.7,1562.0,1850.0,,,1621.0,1561.9,1620.2,,1520.0,1632.9,1755.2,1595.2,1525.5,1522.7,1614.7,1545.4,,1656.8,1577.9,1541.0,,1478.6,1459.7,,5926.3,1569.0,1597.7,,1554.0,1499.1,1826.6,1523.0,1615.0,1559.2,1461.0,-145.0,16.0,-131.8,-209.0,-137.3,-106.0,182.0,,,-47.0,-106.1,-47.8,,-148.0,-35.1,87.2,-72.8,-142.5,-145.3,-53.3,-122.6,,-11.2,-90.1,-127.0,,-189.4,-208.3,,4258.3,-99.0,-70.3,,-114.0,-168.9,158.6,-145.0,-53.0,-108.8,-207.0,True,True,False,True,True,False,,,True,True,True,,False,True,True,True,True,False,True,True,,True,True,True,,False,False,,False,True,True,,True,False,False,False,True,True,False
