,mean_rank
COVIDhub-ensemble,8.9
OliverWyman-Navigator,9.1
YYG-ParamSearch,10.4
CMU-TimeSeries,10.6
UA-EpiCovDA,10.8
JCB-PRM,11.0
UMass-MechBayes,11.8
USC-SI_kJalpha,12.5
COVIDhub-baseline,13.2
Karlen-pypm,13.4
CEID-Walk,13.4
CovidAnalytics-DELPHI,13.6
GT-DeepCOVID,13.6
LNQ-ens1,14.1
UCLA-SuEIR,14.7
MOBS-GLEAM_COVID,14.8
DDS-NBDS,16.2
UT-Mobility,16.4
NotreDame-mobility,16.5
IowaStateLW-STEM,16.9
LANL-GrowthRate,17.2
Auquan-SEIR,18.2
CU-select,18.2
USACE-ERDC_SEIR,18.6
RobertWalraven-ESG,19.4
PSI-DRAFT,19.8
epiforecasts-ensemble1,20.5
MITCovAlliance-SIR,20.9
JHU_IDD-CovidSP,21.5
TTU-squider,28.9
