,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,5977,5395.7,,5895.8,6004.0,5280.8,4515.0,4409.4,3975.7,,3898.7,4112.0,,,5778.9,6023.2,5119.0,5543.9,-581.3,,-81.2,27.0,-696.2,-1462.0,-1567.6,-2001.3,,-2078.3,-1865.0,,,-198.1,46.2,-858.0,-433.1,,True,True,False,False,False,False,,False,False,,,True,True,False,True
Hawaii,84,37.7,,43.9,29.0,27.5,,47.7,29.4,,141.9,543.0,,,29.5,101.9,68.0,47.2,-46.3,,-40.1,-55.0,-56.5,,-36.3,-54.6,,57.9,459.0,,,-54.5,17.9,-16.0,-36.8,,True,False,False,,True,False,,False,False,,,False,True,True,True
Idaho,384,304.1,,593.4,320.0,213.8,261.0,221.9,264.0,,297.6,2144.0,,,266.0,282.3,306.0,366.1,-79.9,,209.4,-64.0,-170.2,-123.0,-162.1,-120.0,,-86.4,1760.0,,,-118.0,-101.7,-78.0,-17.9,,False,True,False,False,False,False,,False,False,,,False,False,True,True
Illinois,8385,8187.4,,8357.1,7658.0,8075.8,8116.0,8106.8,8782.3,8392.0,7803.5,8001.0,,,8346.9,10626.9,8291.0,8341.3,-197.6,,-27.9,-727.0,-309.2,-269.0,-278.2,397.3,7.0,-581.5,-384.0,,,-38.1,2241.9,-94.0,-43.7,,True,False,False,False,False,False,True,False,False,,,True,False,True,True
Indiana,3362,3377.4,,3308.2,3289.0,3161.4,3194.0,3216.0,3533.5,3639.0,3065.0,3030.0,,,3374.6,4674.4,3578.0,3652.8,15.4,,-53.8,-73.0,-200.6,-168.0,-146.0,171.5,277.0,-297.0,-332.0,,,12.6,1312.4,216.0,290.8,,False,False,False,False,False,False,False,False,False,,,True,False,False,False
Iowa,1164,1039.9,,1175.5,929.0,1177.3,982.0,935.5,989.5,,983.0,860.0,,,955.3,1219.9,1002.0,1136.0,-124.1,,11.5,-235.0,13.3,-182.0,-228.5,-174.5,,-181.0,-304.0,,,-208.7,55.9,-162.0,-28.0,,True,False,True,False,False,False,,False,False,,,False,True,False,True
Kansas,481,459.9,,666.2,370.0,371.7,463.0,393.0,418.1,,383.6,422.0,,,453.7,560.4,430.0,461.9,-21.1,,185.2,-111.0,-109.3,-18.0,-88.0,-62.9,,-97.4,-59.0,,,-27.3,79.4,-51.0,-19.1,,False,False,False,True,False,False,,False,False,,,False,False,False,True
Kentucky,993,875.7,,1057.3,988.0,910.5,823.0,859.0,1236.9,1054.5,1040.4,1081.0,,,855.2,1370.5,904.0,1114.9,-117.3,,64.3,-5.0,-82.5,-170.0,-134.0,243.9,61.5,47.4,88.0,,,-137.8,377.5,-89.0,121.9,,True,True,True,False,False,False,True,True,True,,,False,False,True,False
Louisiana,5035,5051.6,,4919.4,5076.0,4415.8,5099.0,4727.2,3912.3,,4160.5,4545.0,,,5114.9,6461.4,4840.0,4837.5,16.6,,-115.6,41.0,-619.2,64.0,-307.8,-1122.7,,-874.5,-490.0,,,79.9,1426.4,-195.0,-197.5,,False,False,False,False,False,False,,False,False,,,False,False,False,False
Maine,134,130.7,,123.5,124.0,143.6,149.0,126.4,153.1,,133.2,127.0,,,120.6,150.9,136.0,136.7,-3.3,,-10.5,-10.0,9.6,15.0,-7.6,19.1,,-0.8,-7.0,,,-13.4,16.9,2.0,2.7,,False,False,False,False,False,False,,True,False,,,False,False,True,True
Maryland,3796,3809.0,,3808.4,3670.0,3874.5,3830.0,3739.8,3758.7,,3682.7,3620.0,,,3845.5,4977.6,3955.0,4116.7,13.0,,12.4,-126.0,78.5,34.0,-56.2,-37.3,,-113.3,-176.0,,,49.5,1181.6,159.0,320.7,,True,False,False,False,False,False,,False,False,,,False,False,False,False
