,total_deaths_2020-07-12,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Covid19Sim-Simulator,135708,183815.5,188615,48610.5,52907,-4296.5,-8.1%
USACE-ERDC_SEIR,135708,183474.0,188615,48269.0,52907,-4638.0,-8.8%
YYG-ParamSearch,135708,182962.5,188615,47757.5,52907,-5149.5,-9.7%
CovidAnalytics-DELPHI,135708,182359.0,188615,47154.0,52907,-5753.0,-10.9%
Baseline,135708,176415.7,188615,41210.7,52907,-11696.3,-22.1%
Columbia_UNC-SurvCon,135708,200005.0,188615,64800.0,52907,11893.0,22.5%
IowaStateLW-STEM,135708,172682.0,188615,37477.0,52907,-15430.0,-29.2%
UCLA-SuEIR,135708,168691.0,188615,33486.0,52907,-19421.0,-36.7%
MITCovAlliance-SIR,135708,156570.2,188615,21365.2,52907,-31541.8,-59.6%
STH-3PU,135708,144297.0,188615,9092.0,52907,-43815.0,-82.8%
USC-SI_kJalpha,135708,249547.5,188615,114342.5,52907,61435.5,116.1%
