,mean_rank
COVIDhub-ensemble,11.9
UMass-MechBayes,12.8
USC-SI_kJalpha,13.5
YYG-ParamSearch,13.8
LNQ-ens1,14.0
JCB-PRM,14.0
CovidAnalytics-DELPHI,14.5
OliverWyman-Navigator,14.7
CMU-TimeSeries,14.8
Karlen-pypm,15.0
SteveMcConnell-CovidComplete,15.0
DDS-NBDS,15.1
Covid19Sim-Simulator,15.7
UCLA-SuEIR,16.0
GT-DeepCOVID,16.1
CEID-Walk,16.4
MOBS-GLEAM_COVID,16.7
Geneva-DetGrowth,16.9
COVIDhub-baseline,16.9
PSI-DRAFT,17.2
LANL-GrowthRate,17.2
UA-EpiCovDA,17.5
NotreDame-mobility,17.5
CU-select,17.7
Google_Harvard-CPF,18.1
RobertWalraven-ESG,19.9
USACE-ERDC_SEIR,20.2
JHU_IDD-CovidSP,20.2
UMich-RidgeTfReg,20.3
IowaStateLW-STEM,20.4
IHME-CurveFit,21.1
JHUAPL-Bucky,23.8
epiforecasts-ensemble1,26.3
