,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,2275,1489.1,1506.0,1204.7,862.0,1024.4,-785.9,-769.0,-1070.3,-1413.0,-1250.6,True,False,False,False
Alaska,42,10.0,15.0,11.5,,11.0,-32.0,-27.0,-30.5,,-31.0,True,True,,True
Arizona,5207,2902.4,1823.7,6117.2,1863.0,3013.7,-2304.6,-3383.3,910.2,-3344.0,-2193.3,False,True,False,True
Arkansas,882,424.0,483.1,2035.2,421.0,463.8,-458.0,-398.9,1153.2,-461.0,-418.2,True,False,False,True
California,13709,10546.3,9262.8,10208.0,6684.0,7366.5,-3162.7,-4446.2,-3501.0,-7025.0,-6342.5,False,False,False,False
Colorado,1971,2581.3,1849.3,2204.0,1722.0,2497.6,610.3,-121.7,233.0,-249.0,526.6,True,True,True,True
Connecticut,4468,5703.9,4552.9,4324.6,4427.0,5018.5,1235.9,84.9,-143.4,-41.0,550.5,True,True,True,True
Delaware,608,809.4,467.2,488.9,466.0,512.2,201.4,-140.8,-119.1,-142.0,-95.8,True,True,True,True
District of Columbia,611,784.7,580.4,614.2,651.0,851.3,173.7,-30.6,3.2,40.0,240.3,True,True,True,False
Florida,11811,5901.4,3759.7,5311.7,4340.0,4867.5,-5909.6,-8051.3,-6499.3,-7471.0,-6943.5,False,False,False,False
Georgia,5977,3812.9,3029.2,5766.1,2625.0,2924.4,-2164.1,-2947.8,-210.9,-3352.0,-3052.6,False,True,False,False
Hawaii,84,17.0,17.8,103.4,,18.4,-67.0,-66.2,19.4,,-65.6,True,True,,True
Idaho,384,95.9,143.7,217.0,84.0,92.6,-288.1,-240.3,-167.0,-300.0,-291.4,True,True,False,False
Illinois,8385,12512.6,7331.9,7638.4,7744.0,8984.6,4127.6,-1053.1,-746.6,-641.0,599.6,True,True,True,True
Indiana,3362,4475.9,2756.5,3152.3,2432.0,3156.1,1113.9,-605.5,-209.7,-930.0,-205.9,True,True,True,True
Iowa,1164,1505.0,898.1,2240.3,799.0,920.3,341.0,-265.9,1076.3,-365.0,-243.7,True,False,False,True
Kansas,481,464.4,314.6,758.8,331.0,302.6,-16.6,-166.4,277.8,-150.0,-178.4,False,False,False,False
Kentucky,993,971.4,621.8,1077.0,559.0,981.4,-21.6,-371.2,84.0,-434.0,-11.6,False,False,False,True
Louisiana,5035,4800.3,3406.7,3246.8,3332.0,3325.4,-234.7,-1628.3,-1788.2,-1703.0,-1709.6,False,False,False,False
Maine,134,227.6,155.8,657.1,125.0,112.2,93.6,21.8,523.1,-9.0,-21.8,True,False,True,True
Maryland,3796,5539.0,4137.3,3741.4,3729.0,4297.1,1743.0,341.3,-54.6,-67.0,501.1,True,True,True,True
Massachusetts,9116,13358.9,8584.7,8138.9,8819.0,9104.0,4242.9,-531.3,-977.1,-297.0,-12.0,True,True,True,True
Michigan,6806,11089.3,6105.7,6699.0,7558.0,6784.6,4315.3,-668.3,-75.0,784.0,10.6,True,True,True,True
Minnesota,1903,3087.0,1746.9,2681.4,2726.0,1878.8,1184.0,-156.1,778.4,823.0,-24.2,True,True,True,True
Mississippi,2569,1884.1,1197.2,1463.5,968.0,1186.6,-684.9,-1371.8,-1105.5,-1601.0,-1382.4,False,False,False,False
Missouri,1668,1316.4,1030.5,1329.9,1030.0,1909.6,-316.6,-602.5,-303.1,-603.0,276.6,False,True,False,True
Montana,116,30.9,19.7,19.5,19.0,21.3,-85.1,-96.3,-96.5,-97.0,-94.7,False,False,False,False
Nebraska,404,405.6,437.9,1915.3,272.0,335.0,1.6,33.9,1511.3,-132.0,-69.0,False,False,False,False
Nevada,1388,708.0,552.1,730.0,562.0,617.4,-680.0,-835.9,-658.0,-826.0,-770.6,False,True,False,False
New Hampshire,432,813.1,323.9,571.9,313.0,570.4,381.1,-108.1,139.9,-119.0,138.4,True,True,True,True
New Jersey,15985,18321.7,12849.7,13298.2,13611.0,14145.1,4176.7,-1295.3,-846.8,-534.0,0.1,True,True,True,True
New Mexico,800,910.3,512.9,770.8,504.0,774.7,110.3,-287.1,-29.2,-296.0,-25.3,False,True,False,True
New York,32987,37959.7,32020.6,31811.9,32514.0,31424.9,5824.7,-114.4,-323.1,379.0,-710.1,True,True,True,True
North Carolina,2889,2253.4,2559.0,5971.2,1837.0,2066.6,-635.6,-330.0,3082.2,-1052.0,-822.4,True,False,False,False
North Dakota,155,213.4,112.3,232.9,131.0,103.8,58.4,-42.7,77.9,-24.0,-51.2,True,False,True,True
Ohio,4256,5259.0,3062.5,4364.2,3074.0,3460.6,1003.0,-1193.5,108.2,-1182.0,-795.4,False,True,False,True
Oklahoma,850,528.0,421.8,483.4,410.0,411.9,-322.0,-428.2,-366.6,-440.0,-438.1,False,False,False,False
Oregon,480,291.6,179.9,286.5,190.0,231.3,-188.4,-300.1,-193.5,-290.0,-248.7,False,False,False,False
Pennsylvania,7750,10931.6,6660.0,7749.4,6524.0,8364.1,3181.6,-1090.0,-0.6,-1226.0,614.1,True,True,True,True
Rhode Island,1069,1466.3,889.9,1011.9,941.0,1000.1,497.3,-79.1,42.9,-28.0,31.1,True,True,True,True
South Carolina,2877,1214.6,917.0,897.2,657.0,951.9,-1662.4,-1960.0,-1979.8,-2220.0,-1925.1,False,False,False,False
South Dakota,173,103.6,134.3,116.1,87.0,92.1,-69.4,-38.7,-56.9,-86.0,-80.9,True,True,False,False
Tennessee,1862,1112.3,809.6,1040.5,887.0,735.5,-749.7,-1052.4,-821.5,-975.0,-1126.5,False,False,False,False
Texas,13681,3975.3,3580.5,4824.0,2726.0,2883.1,-9545.7,-9940.5,-8697.0,-10795.0,-10637.9,False,True,False,False
Utah,420,223.9,528.8,982.3,280.0,329.0,-196.1,108.8,562.3,-140.0,-91.0,True,False,True,True
Vermont,58,55.0,57.8,76.6,56.0,64.8,-3.0,-0.2,18.6,-2.0,6.8,True,False,True,False
Virginia,2677,2566.7,2216.8,2330.7,1995.0,2263.0,-99.3,-449.2,-335.3,-671.0,-403.0,False,False,False,False
Washington,1942,1658.4,1578.4,1258.3,1361.0,1316.3,-270.6,-350.6,-670.7,-568.0,-612.7,False,False,False,False
West Virginia,246,199.7,137.6,186.9,86.0,133.5,-46.3,-108.4,-59.1,-160.0,-112.5,False,False,False,False
Wisconsin,1218,1354.1,1234.9,2927.0,1076.0,866.0,184.1,64.9,1757.0,-94.0,-304.0,True,False,True,False
Wyoming,42,29.9,26.9,40.9,17.0,18.4,-12.1,-15.1,-1.1,-25.0,-23.6,False,True,False,False
US,188698,189366.9,137867.3,165328.6,134472.0,133983.6,3742.9,-47756.7,-20295.4,-51152.0,-51640.4,False,False,False,False
