,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2275,1707.6,1790.8,1704.3,1464.0,,1527.7,1853.9,1119.4,2217.3,-567.4,-484.2,-570.7,-811.0,,-747.3,-421.1,-1155.6,-57.7,True,False,False,,False,True,False,True
Alaska,42,33.7,28.4,15.9,,,15.1,34.7,21.3,29.3,-8.3,-13.6,-26.1,,,-26.9,-7.3,-20.7,-12.7,False,False,,,False,True,False,False
Arizona,5207,4009.0,7035.3,3777.3,2483.0,,3612.3,6109.2,4001.4,4500.7,-1198.0,1828.3,-1429.7,-2724.0,,-1594.7,902.2,-1205.6,-706.3,False,False,False,,False,True,False,True
Arkansas,882,648.4,858.3,668.5,575.0,,451.7,873.1,347.9,781.5,-233.6,-23.7,-213.5,-307.0,,-430.3,-8.9,-534.1,-100.5,True,True,False,,False,True,False,True
California,13709,10042.4,11807.9,9237.7,7029.0,,9288.5,12863.5,7277.1,12234.0,-3666.6,-1901.1,-4471.3,-6680.0,,-4420.5,-845.5,-6431.9,-1475.0,True,False,False,,False,True,False,True
Colorado,1971,1961.9,1923.4,1991.8,1830.0,,1845.7,1955.7,2191.9,2217.6,-9.1,-47.6,20.8,-141.0,,-125.3,-15.3,220.9,246.6,False,False,False,,False,False,False,False
Connecticut,4468,4868.0,4504.8,4560.4,4419.0,,4531.3,4574.0,4458.1,4755.6,400.0,36.8,92.4,-49.0,,63.3,106.0,-9.9,287.6,True,True,True,,True,True,True,True
Delaware,608,1216.7,538.7,569.9,613.0,,562.9,547.2,735.5,671.7,608.7,-69.3,-38.1,5.0,,-45.1,-60.8,127.5,63.7,True,True,True,,True,True,True,True
District of Columbia,611,717.6,590.5,620.9,665.0,,623.1,602.7,574.6,685.9,106.6,-20.5,9.9,54.0,,12.1,-8.3,-36.4,74.9,True,True,True,,True,True,True,True
Florida,11811,5962.1,19449.9,9277.0,5617.0,,6436.6,20108.7,30283.9,7275.2,-5848.9,7638.9,-2534.0,-6194.0,,-5374.4,8297.7,18472.9,-4535.8,False,True,False,,True,False,False,True
Georgia,5977,4108.7,4762.5,4698.5,4093.0,,4021.5,4084.8,4408.1,5194.5,-1868.3,-1214.5,-1278.5,-1884.0,,-1955.5,-1892.2,-1568.9,-782.5,True,True,False,,False,False,True,True
Hawaii,84,27.9,46.6,33.1,,,19.0,23.0,31.0,21.6,-56.1,-37.4,-50.9,,,-65.0,-61.0,-53.0,-62.4,True,True,,,False,False,True,False
Idaho,384,110.7,331.2,112.1,124.0,,102.3,641.9,521.3,135.5,-273.3,-52.8,-271.9,-260.0,,-281.7,257.9,137.3,-248.5,True,True,True,,False,True,True,True
Illinois,8385,9263.6,7408.7,8382.4,8629.0,,7637.9,7260.9,7359.8,9461.9,878.6,-976.3,-2.6,244.0,,-747.1,-1124.1,-1025.2,1076.9,False,True,True,,True,False,False,False
Indiana,3362,3397.7,3002.5,2902.5,2858.0,,2848.8,3344.6,3097.3,3644.3,35.7,-359.5,-459.5,-504.0,,-513.2,-17.4,-264.7,282.3,False,False,False,,False,True,False,False
Iowa,1164,903.1,1062.7,818.0,863.0,,876.6,931.9,895.1,981.1,-260.9,-101.3,-346.0,-301.0,,-287.4,-232.1,-268.9,-182.9,True,False,False,,False,True,False,True
Kansas,481,387.3,413.9,390.4,293.0,,298.8,287.6,534.8,413.5,-93.7,-67.1,-90.6,-188.0,,-182.2,-193.4,53.8,-67.5,True,True,False,,False,False,True,True
Kentucky,993,873.4,750.8,734.6,794.0,,813.9,856.7,839.1,957.8,-119.6,-242.2,-258.4,-199.0,,-179.1,-136.3,-153.9,-35.2,False,False,False,,False,False,False,True
Louisiana,5035,4125.6,4044.5,4124.3,3575.0,,3369.2,3357.5,5631.7,4067.3,-909.4,-990.5,-910.7,-1460.0,,-1665.8,-1677.5,596.7,-967.7,False,False,False,,False,False,True,False
Maine,134,123.7,124.1,117.5,123.0,,109.3,138.7,192.4,135.4,-10.3,-9.9,-16.5,-11.0,,-24.7,4.7,58.4,1.4,True,False,False,,False,True,False,True
Maryland,3796,4173.4,3535.0,3469.6,3482.0,,3493.6,3580.5,3515.4,4290.6,377.4,-261.0,-326.4,-314.0,,-302.4,-215.5,-280.6,494.6,True,True,True,,True,True,True,False
Massachusetts,9116,10050.1,8314.6,9495.6,8312.0,,8489.5,8617.2,9228.3,9370.4,935.1,-800.4,380.6,-803.0,,-625.5,-497.8,113.3,255.4,True,True,True,,True,True,True,True
Michigan,6806,6817.4,6437.3,6413.6,6746.0,,6483.2,6508.7,6783.9,6950.9,11.4,-368.7,-392.4,-60.0,,-322.8,-297.3,-22.1,144.9,False,False,False,,False,False,False,False
Minnesota,1903,1933.1,1879.3,1788.3,1533.0,,1782.6,1527.3,1894.0,2249.6,30.1,-23.7,-114.7,-370.0,,-120.4,-375.7,-9.0,346.6,True,False,False,,False,False,True,False
Mississippi,2569,2034.6,1916.3,1802.2,1802.0,,1270.4,1550.3,2164.0,2145.5,-534.4,-652.7,-766.8,-767.0,,-1298.6,-1018.7,-405.0,-423.5,False,False,False,,False,False,True,True
Missouri,1668,1388.4,1596.7,1553.4,1398.0,,1676.3,1782.2,1636.5,1554.4,-269.6,-61.3,-104.6,-260.0,,18.3,124.2,-21.5,-103.6,True,True,True,,True,True,True,True
Montana,116,41.7,71.9,38.6,38.0,,26.1,63.5,59.2,38.3,-74.3,-44.1,-77.4,-78.0,,-89.9,-52.5,-56.8,-77.7,True,False,False,,False,True,True,False
Nebraska,404,493.7,357.7,449.6,357.0,,344.5,286.3,373.9,555.3,89.7,-46.3,45.6,-47.0,,-59.5,-117.7,-30.1,151.3,True,True,True,,True,False,True,False
Nevada,1388,628.1,2203.9,820.4,559.0,,695.5,1215.6,2019.0,889.6,-759.9,815.9,-567.6,-829.0,,-692.5,-172.4,631.0,-498.4,False,True,False,,True,True,True,True
New Hampshire,432,643.0,464.3,652.0,382.0,,511.2,459.2,448.0,595.5,211.0,32.3,220.0,-50.0,,79.2,27.2,16.0,163.5,True,False,True,,True,True,True,True
New Jersey,15985,35044.1,13503.2,15929.7,16306.0,,15322.9,13665.0,16409.0,16218.6,19059.1,-2481.8,-55.3,321.0,,-662.1,-2320.0,424.0,233.6,True,True,True,,True,True,True,True
