,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
New York,32987,33481.4,,32667.8,32627.0,34437.0,27405.3,,32864.8,32439.9,33808.0,33104.8,539.4,,-274.2,-315.0,1495.0,-5536.7,,-77.2,-502.1,866.0,162.8,,True,True,False,False,,True,True,False,True
North Carolina,2889,2299.9,,2805.8,4446.0,3152.0,1746.8,,2423.2,2875.9,2796.3,2559.6,-589.1,,-83.2,1557.0,263.0,-1142.2,,-465.8,-13.1,-92.7,-329.4,,True,False,True,False,,True,True,True,True
North Dakota,155,142.0,,126.2,98.0,159.0,112.0,,112.8,122.8,284.3,140.3,-13.0,,-28.8,-57.0,4.0,-43.0,,-42.2,-32.2,129.3,-14.7,,False,False,True,False,,False,False,False,False
Ohio,4256,4213.0,,4372.2,5601.0,4080.0,4720.2,,4209.0,5019.8,6463.8,4661.6,-43.0,,116.2,1345.0,-176.0,464.2,,-47.0,763.8,2207.8,405.6,,False,False,False,False,,False,False,False,False
Oklahoma,850,610.6,,956.0,799.0,1243.0,688.5,,568.8,1023.5,707.6,625.2,-239.4,,106.0,-51.0,393.0,-161.5,,-281.2,173.5,-142.4,-224.8,,True,True,False,True,,False,True,True,True
Oregon,480,383.3,,472.2,436.0,462.0,342.5,,334.6,626.1,488.1,515.3,-96.7,,-7.8,-44.0,-18.0,-137.5,,-145.4,146.1,8.1,35.3,,True,True,True,False,,False,False,True,True
Pennsylvania,7750,8090.4,,7776.8,7645.0,7968.0,7274.4,,8065.9,7746.3,9841.7,8161.5,340.4,,26.8,-105.0,218.0,-475.6,,315.9,-3.7,2091.7,411.5,,True,True,True,False,,True,True,False,False
Rhode Island,1055,1101.7,,1076.2,1041.0,1171.0,1027.5,,1074.6,1014.9,1104.3,1075.3,46.7,,21.2,-14.0,116.0,-27.5,,19.6,-40.1,49.3,20.3,,True,True,False,True,,True,True,False,True
South Carolina,2877,2068.9,,2595.0,1993.0,2165.0,1057.4,,1857.7,2096.5,2272.5,2733.5,-808.1,,-282.0,-884.0,-712.0,-1819.6,,-1019.3,-780.5,-604.5,-143.5,,True,False,True,False,,False,True,True,True
South Dakota,173,203.3,,139.5,138.0,158.0,280.7,,137.0,134.5,250.8,173.6,30.3,,-33.5,-35.0,-15.0,107.7,,-36.0,-38.5,77.8,0.6,,False,False,True,False,,False,False,False,True
