,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2275,2226.6,2410.0,2242.7,2214.0,2241.0,2219.0,2215.0,,2156.9,2324.0,2255.0,2230.7,,2219.1,2356.9,2219.0,2225.5,2322.6,2200.9,2151.2,2178.1,2218.1,,2147.1,2174.2,2135.0,,2329.6,2130.2,,2276.0,2741.9,2221.0,2232.1,,2176.0,2211.8,2277.0,2166.0,2324.0,,2213.1,2106.0,-48.4,135.0,-32.3,-61.0,-34.0,-56.0,-60.0,,-118.1,49.0,-20.0,-44.3,,-55.9,81.9,-56.0,-49.5,47.6,-74.1,-123.8,-96.9,-56.9,,-127.9,-100.8,-140.0,,54.6,-144.8,,1.0,466.9,-54.0,-42.9,,-99.0,-63.2,2.0,-109.0,49.0,,-61.9,-169.0,False,True,False,True,False,False,,False,False,True,True,,False,False,False,False,True,False,False,False,False,,False,False,False,,False,False,,True,False,False,True,,False,False,True,False,False,,False,False
Alaska,42,39.4,48.0,37.2,37.0,37.0,38.0,31.0,,50.7,40.0,38.2,35.9,,64.6,30.3,,36.4,52.0,37.4,35.9,33.2,36.9,,46.8,38.9,39.0,,,33.3,,38.0,42.2,39.0,36.3,,38.0,,38.3,32.0,44.0,,37.2,,-2.6,6.0,-4.8,-5.0,-5.0,-4.0,-11.0,,8.7,-2.0,-3.8,-6.1,,22.6,-11.7,,-5.6,10.0,-4.6,-6.1,-8.8,-5.1,,4.8,-3.1,-3.0,,,-8.7,,-4.0,0.2,-3.0,-5.7,,-4.0,,-3.7,-10.0,2.0,,-4.8,,False,False,False,False,False,False,,False,True,False,False,,False,False,,False,False,False,False,False,False,,False,False,False,,,False,,False,True,False,False,,False,,False,False,True,,False,
Arizona,5207,5263.1,5443.0,5279.7,5242.0,5284.2,5182.0,5211.0,,4297.1,5322.0,5233.4,5109.1,,5117.3,5219.1,5596.0,5178.1,5103.5,5088.9,5088.0,5079.1,5134.0,,5112.8,5186.0,5168.0,,5135.1,5097.8,,5350.0,6823.4,5179.0,5262.7,,5084.0,5269.0,5123.9,5127.0,5251.5,,5184.3,4975.0,56.1,236.0,72.7,35.0,77.2,-25.0,4.0,,-909.9,115.0,26.4,-97.9,,-89.7,12.1,389.0,-28.9,-103.5,-118.1,-119.0,-127.9,-73.0,,-94.2,-21.0,-39.0,,-71.9,-109.2,,143.0,1616.4,-28.0,55.7,,-123.0,62.0,-83.1,-80.0,44.5,,-22.7,-232.0,False,False,True,False,True,True,,False,False,True,False,,False,True,False,True,False,False,False,False,False,,False,True,True,,False,False,,False,False,True,True,,False,False,False,False,True,,True,False
Arkansas,882,850.4,883.0,815.6,838.0,822.0,810.0,777.0,,762.9,810.0,820.6,830.3,,788.6,764.9,778.0,791.3,866.3,795.1,802.9,803.7,806.9,,842.1,868.2,871.0,,,753.1,,821.0,823.7,910.0,810.7,,804.0,775.2,795.4,822.0,851.0,,805.1,741.0,-31.6,1.0,-66.4,-44.0,-60.0,-72.0,-105.0,,-119.1,-72.0,-61.4,-51.7,,-93.4,-117.1,-104.0,-90.7,-15.7,-86.9,-79.1,-78.3,-75.1,,-39.9,-13.8,-11.0,,,-128.9,,-61.0,-58.3,28.0,-71.3,,-78.0,-106.8,-86.6,-60.0,-31.0,,-76.9,-141.0,True,False,False,False,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,,False,True,True,,,False,,False,False,True,False,,False,False,False,False,True,,False,False
California,13709,13843.0,14477.0,13965.3,13741.0,13957.0,13796.0,13664.0,,12759.2,13998.0,13881.1,13521.5,,13210.5,14370.7,14414.0,13912.7,13985.2,13828.2,13132.8,13738.3,13504.9,,13564.7,13881.7,14552.0,,14234.0,13031.8,,13930.0,13487.1,13974.0,13864.1,14201.0,13518.0,13552.0,14004.2,13682.0,13796.5,,13669.4,12982.0,134.0,768.0,256.3,32.0,248.0,87.0,-45.0,,-949.8,289.0,172.1,-187.5,,-498.5,661.7,705.0,203.7,276.2,119.2,-576.2,29.3,-204.1,,-144.3,172.7,843.0,,525.0,-677.2,,221.0,-221.9,265.0,155.1,492.0,-191.0,-157.0,295.2,-27.0,87.5,,-39.6,-727.0,False,False,True,False,True,True,,False,False,False,False,,False,False,False,False,False,True,False,True,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,True,True,,True,False
Colorado,1971,1958.9,2103.0,1967.2,1966.0,1964.0,1973.0,1965.0,,1998.0,1982.0,1994.3,1989.0,,1983.9,1955.4,2028.0,1968.6,2011.6,1958.0,1952.7,1953.0,1941.7,,1951.1,1956.3,1976.0,,1992.6,1972.5,,1997.0,2172.5,1973.0,1959.1,,1960.0,2011.6,2089.9,1960.0,1980.0,,1969.1,1947.0,-12.1,132.0,-3.8,-5.0,-7.0,2.0,-6.0,,27.0,11.0,23.3,18.0,,12.9,-15.6,57.0,-2.4,40.6,-13.0,-18.3,-18.0,-29.3,,-19.9,-14.7,5.0,,21.6,1.5,,26.0,201.5,2.0,-11.9,,-11.0,40.6,118.9,-11.0,9.0,,-1.9,-24.0,False,True,True,True,True,True,,False,True,False,False,,False,False,False,True,False,False,False,False,False,,False,False,True,,False,True,,False,False,True,True,,True,False,False,True,True,,True,False
Connecticut,4468,4473.0,4622.0,4477.5,4475.0,4484.7,4476.0,4482.0,,4464.8,4476.0,4484.8,4488.0,,4501.0,4448.9,4514.0,4481.6,4498.1,4474.1,4474.1,4466.6,4490.6,,4470.4,4475.9,4461.0,,4495.6,4470.2,,4477.0,4320.6,4470.0,4474.7,,4471.0,,4571.9,4468.0,4473.0,,4478.8,4460.0,5.0,154.0,9.5,7.0,16.7,8.0,14.0,,-3.2,8.0,16.8,20.0,,33.0,-19.1,46.0,13.6,30.1,6.1,6.1,-1.4,22.6,,2.4,7.9,-7.0,,27.6,2.2,,9.0,-147.4,2.0,6.7,,3.0,,103.9,0.0,5.0,,10.8,-8.0,False,False,False,False,False,False,,True,False,False,False,,False,False,False,False,False,False,False,True,False,,True,False,False,,False,True,,False,False,True,False,,True,,False,True,False,,False,False
Delaware,608,613.0,656.0,617.4,615.0,615.0,613.0,617.0,,602.9,610.0,616.9,638.9,,624.1,600.4,614.0,607.7,613.8,608.2,605.0,603.6,614.8,,610.0,617.7,602.0,,,607.9,,613.0,686.1,610.0,613.2,,608.0,652.4,641.6,612.0,609.0,,616.1,601.0,5.0,48.0,9.4,7.0,7.0,5.0,9.0,,-5.1,2.0,8.9,30.9,,16.1,-7.6,6.0,-0.3,5.8,0.2,-3.0,-4.4,6.8,,2.0,9.7,-6.0,,,-0.1,,5.0,78.1,2.0,5.2,,0.0,44.4,33.6,4.0,1.0,,8.1,-7.0,False,False,False,False,False,False,,False,True,False,False,,False,False,False,True,False,True,True,True,False,,True,False,False,,,True,,False,False,True,False,,True,False,False,True,True,,False,False
District of Columbia,611,617.0,649.0,618.0,618.0,618.1,614.0,618.0,,608.8,613.0,617.6,620.6,,622.3,613.3,609.0,615.6,613.5,614.8,607.8,608.1,,,609.9,615.0,608.0,,,612.5,,619.0,681.6,618.0,616.3,,613.0,,642.6,620.0,617.0,,615.8,610.0,6.0,38.0,7.0,7.0,7.1,3.0,7.0,,-2.2,2.0,6.6,9.6,,11.3,2.3,-2.0,4.6,2.5,3.8,-3.2,-2.9,,,-1.1,4.0,-3.0,,,1.5,,8.0,70.6,7.0,5.3,,2.0,,31.6,9.0,6.0,,4.8,-1.0,False,False,False,False,True,False,,True,True,False,False,,False,True,True,True,True,True,True,True,,,True,True,True,,,True,,False,False,False,True,,True,,False,False,False,,True,True
Florida,11811,11946.3,12470.0,12217.0,12242.0,12131.9,12043.0,11508.0,,10216.0,12044.0,12362.6,11245.7,,11645.6,13066.3,12544.0,12089.9,12233.9,12675.0,11439.9,11734.9,11586.6,,11972.9,11783.9,12394.0,,12577.2,11145.4,,12360.0,12898.8,12039.0,12042.0,,11786.0,12004.3,11731.3,11666.0,12312.5,,11695.0,11405.0,135.3,659.0,406.0,431.0,320.9,232.0,-303.0,,-1595.0,233.0,551.6,-565.3,,-165.4,1255.3,733.0,278.9,422.9,864.0,-371.1,-76.1,-224.4,,161.9,-27.1,583.0,,766.2,-665.6,,549.0,1087.8,228.0,231.0,,-25.0,193.3,-79.7,-145.0,501.5,,-116.0,-406.0,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,,False,True,False,,False,False,,False,False,False,False,,True,False,True,False,False,,True,False
