,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Alabama,2275,1724.7,1526.3,772.0,1195.5,-550.3,-748.7,-1503.0,-1079.5,False,False,False
Alaska,42,10.0,11.7,,11.6,-32.0,-30.3,,-30.4,True,,True
Arizona,5207,2375.9,1547.6,1701.0,2155.6,-2831.1,-3659.4,-3506.0,-3051.4,False,False,False
Arkansas,882,368.6,388.8,946.0,291.5,-513.4,-493.2,64.0,-590.5,True,True,False
California,13709,9978.1,8466.5,7694.0,9157.6,-3730.9,-5242.5,-6015.0,-4551.4,False,False,False
Colorado,1971,3010.9,1795.8,1937.0,2525.2,1039.9,-175.2,-34.0,554.2,True,True,True
Connecticut,4468,7422.1,4699.2,4355.0,5088.4,2954.1,231.2,-113.0,620.4,True,True,True
Delaware,623,920.3,474.8,460.0,516.5,428.3,-17.2,-32.0,24.5,True,True,True
District of Columbia,611,937.1,587.6,720.0,886.3,326.1,-23.4,109.0,275.3,True,True,True
Florida,11811,5416.4,3478.2,3320.0,5380.7,-6394.6,-8332.8,-8491.0,-6430.3,False,False,False
Georgia,5977,5184.7,2921.3,2637.0,2885.0,-792.3,-3055.7,-3340.0,-3092.0,False,False,False
Hawaii,84,17.0,17.8,,18.9,-67.0,-66.2,,-65.1,True,,True
Idaho,384,123.6,138.4,87.0,94.9,-260.4,-245.6,-297.0,-289.1,True,False,False
Illinois,8385,12789.7,7582.3,7995.0,8999.4,4404.7,-802.7,-390.0,614.4,True,True,True
Indiana,3311,4323.4,2670.7,2863.0,2759.1,991.4,-661.3,-469.0,-572.9,True,True,True
Iowa,1164,1629.7,863.7,846.0,885.5,465.7,-300.3,-318.0,-278.5,True,True,True
Kansas,481,353.6,310.7,344.0,307.2,-127.4,-170.3,-137.0,-173.8,False,False,False
Kentucky,993,985.3,569.9,509.0,869.5,-7.7,-423.1,-484.0,-123.5,False,False,False
Louisiana,5035,4176.7,3387.9,3392.0,3291.3,-858.3,-1647.1,-1643.0,-1743.7,False,False,False
Maine,134,241.4,157.2,673.0,103.7,107.4,23.2,539.0,-30.3,True,False,True
Maryland,3796,6065.6,4236.3,3794.0,4589.1,2269.6,440.3,-2.0,793.1,True,True,True
Massachusetts,9116,13414.3,8177.8,8739.0,8995.1,4298.3,-938.2,-377.0,-120.9,True,True,True
Michigan,6806,9135.4,6105.9,6155.0,6421.6,2569.4,-460.1,-411.0,-144.4,True,True,True
Minnesota,1903,3433.4,1954.8,11190.0,1912.7,1530.4,51.8,9287.0,9.7,True,False,True
Mississippi,2569,2244.4,1129.3,1044.0,1178.4,-324.6,-1439.7,-1525.0,-1390.6,False,False,False
Missouri,1692,2023.1,917.2,1085.0,1675.0,377.1,-728.8,-561.0,29.0,False,False,True
Montana,116,30.9,18.3,18.0,21.1,-85.1,-97.7,-98.0,-94.9,False,False,False
Nebraska,404,488.7,450.7,402.0,350.8,84.7,46.7,-2.0,-53.2,True,True,True
Nevada,1388,929.7,531.9,631.0,633.5,-458.3,-856.1,-757.0,-754.5,False,False,False
New Hampshire,432,743.9,309.5,286.0,519.0,311.9,-122.5,-146.0,87.0,True,True,True
New Jersey,15985,19458.0,12723.2,13404.0,14173.5,5293.0,-1441.8,-761.0,8.5,True,True,True
New Mexico,800,896.4,494.6,480.0,654.3,96.4,-305.4,-320.0,-145.7,False,False,False
New York,32987,38694.1,32156.7,32990.0,31318.6,6622.1,84.7,918.0,-753.4,True,True,True
North Carolina,2889,3057.1,2396.5,1695.0,2023.0,168.1,-492.5,-1194.0,-866.0,False,False,False
North Dakota,155,171.9,125.2,518.0,92.0,16.9,-29.8,363.0,-63.0,False,False,False
Ohio,3975,4732.4,3021.7,2855.0,3372.0,712.4,-998.3,-1165.0,-648.0,False,False,True
Oklahoma,850,652.7,415.8,478.0,393.4,-197.3,-434.2,-372.0,-456.6,False,False,False
Oregon,480,222.3,173.0,177.0,216.6,-257.7,-307.0,-303.0,-263.4,False,False,False
Pennsylvania,7750,11361.1,6553.9,5944.0,8184.0,3611.1,-1196.1,-1806.0,434.0,True,True,True
Rhode Island,1087,2242.3,845.7,987.0,1001.8,1264.3,-132.3,9.0,23.8,True,True,True
South Carolina,2877,1311.6,808.1,667.0,937.0,-1565.4,-2068.9,-2210.0,-1940.0,False,False,False
South Dakota,173,228.3,145.9,201.0,94.2,55.3,-27.1,28.0,-78.8,True,True,False
Tennessee,1862,752.0,678.7,751.0,488.9,-1110.0,-1183.3,-1111.0,-1373.1,False,False,False
Texas,13873,3712.0,3422.9,3543.0,3062.0,-9970.0,-10259.1,-10139.0,-10620.0,False,False,False
Utah,420,334.7,486.0,195.0,289.2,-85.3,66.0,-225.0,-130.8,True,False,False
Vermont,58,68.9,57.0,55.0,68.7,10.9,-1.0,-3.0,10.7,True,True,True
Virginia,2677,4201.9,2165.1,2195.0,2760.9,1524.9,-511.9,-482.0,83.9,True,True,True
Washington,1942,1907.9,1495.6,1308.0,1307.5,-29.1,-441.4,-629.0,-629.5,False,False,False
West Virginia,246,116.6,134.7,78.0,155.9,-129.4,-111.3,-168.0,-90.1,True,False,True
Wisconsin,1218,1728.3,1237.4,1281.0,914.1,568.3,77.4,121.0,-245.9,True,True,True
Wyoming,42,71.4,27.7,18.0,18.2,29.4,-14.3,-24.0,-23.8,True,True,True
US,188615,196697.3,135231.6,144686.0,129881.1,11531.3,-49934.4,-40480.0,-55284.9,False,False,False
