,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,2275,1555.6,1932.0,1791.0,1264.0,,1713.8,1818.5,1948.3,-719.4,-343.0,-484.0,-1011.0,,-561.2,-456.5,-326.7,True,True,False,,True,True,True
Alaska,42,12.0,22.1,23.5,,,13.7,37.0,21.2,-30.0,-19.9,-18.5,,,-28.3,-5.0,-20.8,True,True,,,True,True,True
Arizona,5207,3064.4,5696.9,4687.4,3642.0,,4001.6,8085.7,3803.9,-2142.6,489.9,-519.6,-1565.0,,-1205.4,2878.7,-1403.1,True,True,True,,True,False,True
Arkansas,882,724.4,708.7,912.2,1251.0,,651.8,774.1,718.8,-157.6,-173.3,30.2,369.0,,-230.2,-107.9,-163.2,False,True,False,,False,True,False
California,13709,10031.6,10645.3,10589.9,7765.0,,8133.3,12001.7,11761.8,-3677.4,-3063.7,-3119.1,-5944.0,,-5575.7,-1707.3,-1947.2,True,True,False,,False,True,True
Colorado,1971,2179.0,1938.4,1860.1,1763.0,,1869.6,1954.7,2338.7,208.0,-32.6,-110.9,-208.0,,-101.4,-16.3,367.7,True,True,False,,True,True,False
Connecticut,4468,4900.6,4594.7,4506.7,4432.0,,4613.2,4515.6,4691.0,432.6,126.7,38.7,-36.0,,145.2,47.6,223.0,True,True,True,,True,True,True
Delaware,608,576.1,524.2,501.7,475.0,,515.1,473.8,600.2,-31.9,-83.8,-106.3,-133.0,,-92.9,-134.2,-7.8,False,False,False,,False,False,True
District of Columbia,611,728.4,613.9,654.8,646.0,,643.6,606.4,657.0,117.4,2.9,43.8,35.0,,32.6,-4.6,46.0,True,True,True,,True,True,True
Florida,11811,5658.1,8340.3,11271.6,5968.0,,5087.4,10180.6,7068.3,-6152.9,-3470.7,-539.4,-5843.0,,-6723.6,-1630.4,-4742.7,True,True,True,,False,True,True
Georgia,5977,4727.6,3865.3,5810.6,3224.0,,3740.4,3803.8,5155.5,-1249.4,-2111.7,-166.4,-2753.0,,-2236.6,-2173.2,-821.5,False,True,False,,False,False,True
Hawaii,84,17.0,21.3,31.4,,,18.2,24.0,20.5,-67.0,-62.7,-52.6,,,-65.8,-60.0,-63.5,True,True,,,True,True,True
Idaho,384,110.7,175.6,117.9,139.0,,97.1,136.2,128.1,-273.3,-208.4,-266.1,-245.0,,-286.9,-247.8,-255.9,True,True,True,,False,True,True
Illinois,8385,10327.6,7492.6,8378.3,8093.0,,7673.6,7227.9,9405.0,1942.6,-892.4,-6.7,-292.0,,-711.4,-1157.1,1020.0,True,True,True,,True,True,True
Indiana,3362,3821.1,3080.6,3183.2,2687.0,,2853.4,3369.0,3935.4,459.1,-281.4,-178.8,-675.0,,-508.6,7.0,573.4,True,True,False,,False,True,False
Iowa,1164,1055.1,1066.1,862.4,807.0,,894.0,894.4,1048.6,-108.9,-97.9,-301.6,-357.0,,-270.0,-269.6,-115.4,True,False,False,,False,False,False
Kansas,481,387.3,337.8,399.7,333.0,,293.8,218.1,402.5,-93.7,-143.2,-81.3,-148.0,,-187.2,-262.9,-78.5,False,True,False,,False,False,True
Kentucky,993,819.1,748.7,799.7,645.0,,826.9,756.1,910.1,-173.9,-244.3,-193.3,-348.0,,-166.1,-236.9,-82.9,False,False,False,,True,False,True
Louisiana,5035,4093.0,3786.8,4018.5,4320.0,,3342.7,3299.7,3990.8,-942.0,-1248.2,-1016.5,-715.0,,-1692.3,-1735.3,-1044.2,False,False,True,,False,False,False
Maine,134,123.7,132.1,115.4,115.0,,109.9,141.6,133.3,-10.3,-1.9,-18.6,-19.0,,-24.1,7.6,-0.7,True,False,False,,False,True,True
Maryland,3796,4444.9,3829.6,3575.7,3710.0,,3559.1,3634.9,4257.3,648.9,33.6,-220.3,-86.0,,-236.9,-161.1,461.3,True,True,True,,True,True,True
Massachusetts,9116,10386.7,8431.9,8747.9,8675.0,,8575.7,8273.7,8998.9,1271.7,-683.1,-367.1,-440.0,,-539.3,-841.3,-116.1,True,True,True,,True,True,True
Michigan,6806,6893.4,6389.2,6482.6,7056.0,,6609.0,6365.1,6583.7,87.4,-416.8,-323.4,250.0,,-197.0,-440.9,-222.3,False,False,False,,False,False,False
Minnesota,1903,2313.1,1913.8,1810.8,2842.0,,1860.1,1514.5,2596.2,410.1,10.8,-92.2,939.0,,-42.9,-388.5,693.2,True,True,False,,True,True,False
Mississippi,2569,1448.3,1712.1,1219.2,1285.0,,1219.1,1253.7,1721.7,-1120.7,-856.9,-1349.8,-1284.0,,-1349.9,-1315.3,-847.3,True,False,False,,False,False,True
Missouri,1668,1833.6,1360.6,2355.5,1212.0,,1813.5,1573.4,1521.1,175.6,-297.4,697.5,-446.0,,155.5,-84.6,-136.9,False,False,False,,True,True,True
