,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2275,2375.0,,2586.3,2607.0,2597.2,2191.0,2773.8,2472.3,2332.6,2278.3,,2264.6,3152.0,,,2260.6,,2633.2,2326.0,2393.2,100.0,,311.3,332.0,322.2,-84.0,498.8,197.3,57.6,3.3,,-10.4,877.0,,,-14.4,,358.2,51.0,118.2,,False,False,False,True,False,False,True,True,,True,False,,,True,,False,True,False
Alaska,42,43.4,,68.3,48.0,21.8,,110.8,65.1,42.7,61.5,,55.3,69.0,,,45.7,,56.3,50.0,51.3,1.4,,26.3,6.0,-20.2,,68.8,23.1,0.7,19.5,,13.3,27.0,,,3.7,,14.3,8.0,9.3,,False,False,False,,False,False,True,False,,False,False,,,False,,False,False,False
Arizona,5207,5999.3,,4723.0,5884.0,6689.2,6138.0,5402.8,6125.3,5028.8,4967.6,,8751.1,8661.0,,,5155.1,,5399.4,5367.0,5723.3,792.3,,-484.0,677.0,1482.2,931.0,195.8,918.3,-178.2,-239.4,,3544.1,3454.0,,,-51.9,,192.4,160.0,516.3,,True,True,False,False,True,False,True,True,,False,False,,,True,,True,True,True
Arkansas,882,770.0,,785.4,796.0,668.4,698.0,1117.6,664.2,624.7,619.4,,711.7,741.0,,,701.9,,705.2,721.0,721.8,-112.0,,-96.6,-86.0,-213.6,-184.0,235.6,-217.8,-257.3,-262.6,,-170.3,-141.0,,,-180.1,,-176.8,-161.0,-160.2,,True,True,False,False,False,False,False,False,,False,False,,,False,,False,False,False
California,13709,14000.6,,13552.2,14337.0,12291.1,13497.0,16932.4,14945.9,11586.8,13897.8,,10423.5,15857.0,,,13777.3,12014.0,14097.4,13666.0,13541.0,291.6,,-156.8,628.0,-1417.9,-212.0,3223.4,1236.9,-2122.2,188.8,,-3285.5,2148.0,,,68.3,-1695.0,388.4,-43.0,-168.0,,True,False,False,True,False,False,False,True,,False,False,,,True,False,False,True,True
Colorado,1971,2086.9,,2125.2,2022.0,2046.3,2034.0,2480.7,1892.8,1942.7,2199.4,,1909.6,2056.0,,,2051.0,,2469.8,2039.0,2150.2,115.9,,154.2,51.0,75.3,63.0,509.7,-78.2,-28.3,228.4,,-61.4,85.0,,,80.0,,498.8,68.0,179.2,,False,True,True,True,False,True,True,False,,True,True,,,True,,False,True,False
Connecticut,4468,4524.3,,4485.2,4448.0,4630.3,4509.0,4601.6,4490.9,4543.9,4470.8,,4452.2,4448.0,,,4522.5,,4839.2,4621.0,4528.4,56.3,,17.2,-20.0,162.3,41.0,133.6,22.9,75.9,2.8,,-15.8,-20.0,,,54.5,,371.2,153.0,60.4,,True,True,False,True,False,True,False,True,,True,True,,,True,,False,False,False
Delaware,608,614.1,,630.2,624.0,627.1,619.0,683.6,599.8,612.6,649.6,,543.7,927.0,,,613.8,,698.0,620.0,622.4,6.1,,22.2,16.0,19.1,11.0,75.6,-8.2,4.6,41.6,,-64.3,319.0,,,5.8,,90.0,12.0,14.4,,False,False,False,False,False,False,True,False,,False,False,,,True,,False,False,False
District of Columbia,611,598.6,,620.4,605.0,619.0,596.0,623.5,610.4,592.8,586.4,,601.7,594.0,,,607.8,,653.3,585.0,612.9,-10.4,,11.4,-4.0,10.0,-13.0,14.5,1.4,-16.2,-22.6,,-7.3,-15.0,,,-1.2,,44.3,-24.0,3.9,,False,True,True,False,False,True,False,False,,True,False,,,True,,False,False,True
Florida,11811,13058.3,,11794.6,11260.0,12594.1,11999.0,12472.5,16128.9,10594.5,8782.7,,11110.2,21917.0,,,12510.1,,11333.5,11863.0,12483.5,1247.3,,-16.4,-551.0,783.1,188.0,661.5,4317.9,-1216.5,-3028.3,,-700.8,10106.0,,,699.1,,-477.5,52.0,672.5,,True,True,True,True,True,False,True,False,,True,False,,,True,,True,True,True
Georgia,5977,5501.1,,5463.1,5361.0,5799.5,4895.0,5789.5,6137.8,4936.2,4452.2,,3898.7,9258.5,,,5109.3,,5931.3,5578.0,5278.5,-475.9,,-513.9,-616.0,-177.5,-1082.0,-187.5,160.8,-1040.8,-1524.8,,-2078.3,3281.5,,,-867.7,,-45.7,-399.0,-698.5,,False,False,True,False,True,True,False,False,,False,False,,,False,,True,True,False
Hawaii,84,26.0,,48.3,33.0,34.2,,116.5,81.8,53.0,28.5,,141.9,67.0,,,28.5,,65.4,26.0,36.7,-58.0,,-35.7,-51.0,-49.8,,32.5,-2.2,-31.0,-55.5,,57.9,-17.0,,,-55.5,,-18.6,-58.0,-47.3,,True,True,True,,True,True,True,True,,True,True,,,True,,True,False,True
Idaho,384,444.7,,459.3,335.0,300.0,299.0,653.4,443.3,255.4,363.3,,297.5,1924.5,,,408.6,,318.8,405.0,502.5,60.7,,75.3,-49.0,-84.0,-85.0,269.4,59.3,-128.6,-20.7,,-86.5,1540.5,,,24.6,,-65.2,21.0,118.5,,False,True,False,False,False,True,False,True,,False,False,,,True,,False,True,False
