,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2275,2425.3,,2371.1,2862.0,1917.6,2057.0,2096.5,2346.5,,2215.2,3291.1,3017.4,2709.4,150.3,,96.1,587.0,-357.4,-218.0,-178.5,71.5,,-59.8,1016.1,742.4,434.4,,True,False,False,False,False,True,,True,False,False,False
Alaska,42,24.9,,66.8,42.0,22.7,,33.3,45.3,,27.9,67.2,61.9,25.7,-17.1,,24.8,0.0,-19.3,,-8.7,3.3,,-14.1,25.2,19.9,-16.3,,False,True,False,,True,True,,True,False,False,True
Arizona,5207,6354.1,,5463.7,5397.0,4196.5,5370.0,4377.0,2698.8,,5179.6,8979.6,5472.2,5407.5,1147.1,,256.7,190.0,-1010.5,163.0,-830.0,-2508.2,,-27.4,3772.6,265.2,200.5,,True,True,True,True,True,False,,True,False,True,True
Arkansas,882,603.9,,806.2,720.0,524.0,558.0,507.9,518.9,,516.8,1204.5,644.4,649.1,-278.1,,-75.8,-162.0,-358.0,-324.0,-374.1,-363.1,,-365.2,322.5,-237.6,-232.9,,True,True,False,False,False,False,,False,False,True,True
California,13709,12268.1,,14250.2,14977.0,15122.7,12200.0,9811.7,14986.5,,11598.6,18177.2,12631.0,12317.4,-1440.9,,541.2,1268.0,1413.7,-1509.0,-3897.3,1277.5,,-2110.4,4468.2,-1078.0,-1391.6,,True,True,True,False,False,True,,False,False,True,True
Colorado,1971,1937.1,,2090.6,1924.0,1913.9,1917.0,1897.9,2184.8,,1967.2,2205.6,2373.5,2222.7,-33.9,,119.6,-47.0,-57.1,-54.0,-73.1,213.8,,-3.8,234.6,402.5,251.7,,False,False,False,False,False,False,,True,False,False,False
Connecticut,4468,4725.1,,4460.9,4416.0,4422.3,4523.0,4542.7,4447.4,,4580.5,4647.6,4492.3,4523.3,257.1,,-7.1,-52.0,-45.7,55.0,74.7,-20.6,,112.5,179.6,24.3,55.3,,True,True,True,True,True,True,,True,True,True,True
Delaware,608,564.1,,626.2,577.0,540.8,565.0,564.2,588.2,,581.6,674.2,545.3,593.8,-43.9,,18.2,-31.0,-67.2,-43.0,-43.8,-19.8,,-26.4,66.2,-62.7,-14.2,,True,True,False,True,True,True,,True,False,False,True
District of Columbia,611,646.6,,603.3,607.0,636.1,625.0,652.3,574.7,,628.8,730.0,748.1,638.5,35.6,,-7.7,-4.0,25.1,14.0,41.3,-36.3,,17.8,119.0,137.1,27.5,,True,True,True,True,False,False,,True,False,False,True
Florida,11811,10056.3,,15260.8,12698.0,11134.6,10746.0,9561.0,5299.1,,9299.5,23727.1,8675.7,11992.1,-1754.7,,3449.8,887.0,-676.4,-1065.0,-2250.0,-6511.9,,-2511.5,11916.1,-3135.3,181.1,,False,True,True,True,False,False,,False,False,False,True
Georgia,5977,4346.6,,6228.9,5546.0,4050.9,3884.0,3846.2,3747.6,,5216.9,8738.7,5312.4,4765.2,-1630.4,,251.9,-431.0,-1926.1,-2093.0,-2130.8,-2229.4,,-760.1,2761.7,-664.6,-1211.8,,True,True,False,False,False,False,,True,False,True,True
Hawaii,84,58.3,,43.1,28.0,20.7,,30.0,21.5,,39.2,43.8,53.9,36.2,-25.7,,-40.9,-56.0,-63.3,,-54.0,-62.5,,-44.8,-40.2,-30.1,-47.8,,False,False,False,,False,False,,False,False,False,False
Idaho,384,235.6,,629.7,276.0,219.8,225.0,221.4,210.9,,189.8,1026.4,321.7,363.1,-148.4,,245.7,-108.0,-164.2,-159.0,-162.6,-173.1,,-194.2,642.4,-62.3,-20.9,,False,True,False,False,False,False,,False,False,True,True
Illinois,8385,8173.7,,8050.2,7557.0,7970.3,8054.0,8023.7,8485.0,,8293.0,8831.1,10849.4,8111.3,-211.3,,-334.8,-828.0,-414.7,-331.0,-361.3,100.0,,-92.0,446.1,2464.4,-273.7,,False,False,False,False,False,True,,True,False,False,False
Indiana,3362,3247.1,,3255.5,3039.0,3149.7,2932.0,3253.5,3475.7,,3245.4,5155.4,4729.3,3386.7,-114.9,,-106.5,-323.0,-212.3,-430.0,-108.5,113.7,,-116.6,1793.4,1367.3,24.7,,True,False,False,False,True,True,,False,False,False,True
Iowa,1164,1074.1,,1216.9,909.0,995.4,867.0,895.2,939.4,,958.3,1520.1,941.4,1018.3,-89.9,,52.9,-255.0,-168.6,-297.0,-268.8,-224.6,,-205.7,356.1,-222.6,-145.7,,True,False,False,False,False,False,,False,False,False,False
Kansas,481,391.3,,698.1,346.0,365.9,396.0,372.6,427.8,,381.7,734.0,390.6,449.4,-89.7,,217.1,-135.0,-115.1,-85.0,-108.4,-53.2,,-99.3,253.0,-90.4,-31.6,,False,False,False,True,False,True,,False,False,False,True
Kentucky,993,978.6,,936.3,947.0,958.0,758.0,1115.7,1722.5,,962.7,3191.5,2059.5,1182.3,-14.4,,-56.7,-46.0,-35.0,-235.0,122.7,729.5,,-30.3,2198.5,1066.5,189.3,,False,False,False,False,False,False,,False,False,False,False
Louisiana,5035,4413.9,,4896.8,4751.0,4439.3,4400.0,4308.9,3818.6,,4744.9,4611.1,3672.5,4998.4,-621.1,,-138.2,-284.0,-595.7,-635.0,-726.1,-1216.4,,-290.1,-423.9,-1362.5,-36.6,,True,True,True,False,False,False,,True,True,False,True
Maine,134,137.6,,124.1,125.0,139.9,131.0,124.0,143.5,,127.6,148.9,134.8,142.4,3.6,,-9.9,-9.0,5.9,-3.0,-10.0,9.5,,-6.4,14.9,0.8,8.4,,False,False,False,True,False,False,,False,False,True,False
Maryland,3796,3774.7,,3650.9,3486.0,3879.1,3688.0,3810.7,3639.0,,3760.9,5321.9,4851.5,3952.7,-21.3,,-145.1,-310.0,83.1,-108.0,14.7,-157.0,,-35.1,1525.9,1055.5,156.7,,False,False,False,False,True,False,,False,False,False,False
Massachusetts,9116,9157.9,,8499.7,8528.0,9348.5,8678.0,9197.7,8363.6,,8910.9,9379.0,9822.2,9039.8,41.9,,-616.3,-588.0,232.5,-438.0,81.7,-752.4,,-205.1,263.0,706.2,-76.2,,False,False,False,False,False,False,,False,False,False,False
