,actual_deaths,Baseline,IowaStateLW-STEM,error-Baseline,error-IowaStateLW-STEM,beat_baseline-IowaStateLW-STEM
Alabama,2275,1994.4,759.0,-280.6,-1516.0,False
Alaska,42,10.0,,-32.0,,
Arizona,5207,2963.4,1354.0,-2243.6,-3853.0,False
Arkansas,882,209.0,459.0,-673.0,-423.0,True
California,13709,11549.1,4983.5,-2159.9,-8725.5,False
Colorado,1971,5084.1,1439.0,3113.1,-532.0,True
Connecticut,4468,10401.0,3971.0,5933.0,-497.0,True
Delaware,608,1384.1,432.0,776.1,-176.0,True
District of Columbia,611,1334.4,556.0,723.4,-55.0,True
Florida,11811,5969.0,2715.0,-5842.0,-9096.0,False
Georgia,5977,4844.9,1905.0,-1132.1,-4072.0,False
Hawaii,84,17.0,,-67.0,,
Idaho,384,168.1,78.0,-215.9,-306.0,False
Illinois,8385,16402.9,7510.0,8017.9,-875.0,True
Indiana,3362,5604.3,2456.0,2242.3,-906.0,True
Iowa,1164,1714.7,634.0,550.7,-530.0,True
Kansas,481,528.0,286.0,47.0,-195.0,False
Kentucky,993,809.7,506.0,-183.3,-487.0,False
Louisiana,5035,5741.7,3546.0,706.7,-1489.0,False
Maine,134,165.1,1991.5,31.1,1857.5,False
Maryland,3796,7510.3,3069.0,3714.3,-727.0,True
Massachusetts,9116,18768.1,8425.0,9652.1,-691.0,True
Michigan,6806,10219.0,5944.5,3646.0,-628.5,True
Minnesota,1903,3157.1,5633.5,1254.1,3730.5,False
Mississippi,2569,1964.0,1222.0,-605.0,-1347.0,False
Missouri,1668,2138.1,1124.0,568.1,-446.0,True
Montana,116,16.0,16.0,-100.0,-100.0,False
Nebraska,404,646.3,390.5,242.3,-13.5,True
Nevada,1388,984.3,516.0,-403.7,-872.0,False
New Hampshire,432,790.4,392.0,358.4,-40.0,True
New Jersey,15985,27916.9,13139.0,13686.9,-1091.0,True
New Mexico,800,1295.7,329.0,495.7,-471.0,True
New York,32987,53460.7,32771.0,21212.7,523.0,True
North Carolina,2889,2620.6,790.0,-268.4,-2099.0,False
North Dakota,155,169.9,89.0,14.9,-66.0,False
Ohio,4256,6128.4,2144.5,1872.4,-2111.5,False
Oklahoma,850,541.7,305.0,-308.3,-545.0,False
Oregon,480,295.6,161.0,-184.4,-319.0,False
Pennsylvania,7750,15420.6,6371.0,7670.6,-1379.0,True
Rhode Island,1069,1720.0,1571.5,700.0,551.5,True
South Carolina,2877,1241.3,444.0,-1635.7,-2433.0,False
South Dakota,173,202.6,422.0,29.6,249.0,False
Tennessee,1862,1170.1,1031.0,-691.9,-831.0,False
Texas,13582,5291.4,2911.0,-8222.6,-10603.0,False
Utah,420,286.1,88.0,-133.9,-332.0,False
Vermont,58,69.9,53.0,11.9,-5.0,True
Virginia,2677,3721.6,1459.0,1044.6,-1218.0,False
Washington,1953,2111.0,1257.0,158.0,-696.0,False
West Virginia,246,273.1,64.0,27.1,-182.0,False
Wisconsin,1218,1293.4,1777.0,118.4,602.0,False
Wyoming,42,23.9,7.0,-18.1,-35.0,False
US,188610,248704.3,129806.5,63079.3,-55818.5,True
