,predicted_cases,actual_cases,error,perc_error
JHUAPL-Bucky,3422943.0,3523233,-100290.0,-2.8%
LANL-GrowthRate,4079562.5,3523233,556329.5,15.8%
USC-SI_kJalpha,4531796.0,3523233,1008563.0,28.6%
Covid19Sim-Simulator,4958305.1,3523233,1435072.1,40.7%
JHU_IDD-CovidSP,5037165.6,3523233,1513932.6,43.0%
UCF-AEM,5112863.0,3523233,1589630.0,45.1%
Karlen-pypm,5460769.2,3523233,1937536.2,55.0%
FDANIHASU-Sweight,5664314.5,3523233,2141081.5,60.8%
UCLA-SuEIR,5753842.3,3523233,2230609.3,63.3%
Columbia_UNC-SurvCon,5774771.0,3523233,2251538.0,63.9%
IowaStateLW-STEM,5837745.0,3523233,2314512.0,65.7%
IBF-TimeSeries,5844974.0,3523233,2321741.0,65.9%
QJHong-Encounter,5995651.0,3523233,2472418.0,70.2%
COVIDhub-baseline,6178040.0,3523233,2654807.0,75.4%
CU-select,6428178.0,3523233,2904945.0,82.5%
CovidAnalytics-DELPHI,8251981.0,3523233,4728748.0,134.2%
