,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,6697,6130.0,5944.1,5692.3,5245.0,5991.0,5083.0,,6591.5,4397.0,5718.4,,4003.4,7209.6,,4529.5,6073.6,6807.0,3360.1,5005.0,7288.6,2645.0,3788.9,3801.5,4930.8,6489.3,5333.8,5107.3,4379.0,6206.0,,5155.9,5829.0,7550.4,,7053.9,4962.5,12200.6,5478.0,4521.9,,-567.0,-752.9,-1004.7,-1452.0,-706.0,-1614.0,,-105.5,-2300.0,-978.6,,-2693.6,512.6,,-2167.5,-623.4,110.0,-3336.9,-1692.0,591.6,-4052.0,-2908.1,-2895.5,-1766.2,-207.7,-1363.2,-1589.7,-2318.0,-491.0,,-1541.1,-868.0,853.4,,356.9,-1734.5,5503.6,-1219.0,-2175.1,,False,False,False,False,False,,True,False,False,,False,True,,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,,False,False,False,,True,False,False,False,False,
Alaska,870,988.0,384.9,943.6,846.0,753.0,535.0,,0.0,393.0,495.9,,882.2,9.6,,971.6,866.0,,1109.2,963.0,733.0,1009.0,555.5,122.0,653.0,802.6,975.4,877.7,964.0,1115.0,,958.0,939.0,613.7,,912.8,793.6,,662.0,925.4,,118.0,-485.1,73.6,-24.0,-117.0,-335.0,,-870.0,-477.0,-374.1,,12.2,-860.4,,101.6,-4.0,,239.2,93.0,-137.0,139.0,-314.5,-748.0,-217.0,-67.4,105.4,7.7,94.0,245.0,,88.0,69.0,-256.3,,42.8,-76.4,,-208.0,55.4,,False,True,True,True,False,,False,False,False,,True,False,,True,True,,False,True,False,False,False,False,False,True,True,True,True,False,,True,True,False,,True,True,,False,True,
Arizona,9544,10840.0,11679.8,11238.6,8800.0,8549.0,8021.0,,11099.4,8376.0,11496.4,,6572.5,11932.8,,7976.8,11288.5,10703.0,5545.4,6255.0,15434.2,4431.0,9011.7,5915.0,9376.4,6873.4,9088.8,8366.0,7081.0,3822.0,,10507.7,8466.0,19690.8,,13823.4,6797.9,8934.7,9410.0,8400.6,,1296.0,2135.8,1694.6,-744.0,-995.0,-1523.0,,1555.4,-1168.0,1952.4,,-2971.5,2388.8,,-1567.2,1744.5,1159.0,-3998.6,-3289.0,5890.2,-5113.0,-532.3,-3629.0,-167.6,-2670.6,-455.2,-1178.0,-2463.0,-5722.0,,963.7,-1078.0,10146.8,,4279.4,-2746.1,-609.3,-134.0,-1143.4,,False,False,True,True,False,,False,True,False,,False,False,,False,False,True,False,False,False,False,True,False,True,False,True,True,False,False,,True,True,False,,False,False,True,True,True,
Arkansas,3965,2668.0,4629.0,6863.3,3424.0,4459.0,3270.0,,3468.5,4510.0,4003.3,,1045.1,3178.6,,2065.4,2682.9,3379.0,2495.5,1585.0,4984.6,1404.0,4021.7,956.5,1926.6,3549.4,3582.9,2987.6,2017.0,5818.0,,3622.2,1611.0,4279.5,,3120.3,2561.0,6105.8,2323.0,2120.4,,-1297.0,664.0,2898.3,-541.0,494.0,-695.0,,-496.5,545.0,38.3,,-2919.9,-786.4,,-1899.6,-1282.1,-586.0,-1469.5,-2380.0,1019.6,-2561.0,56.7,-3008.5,-2038.4,-415.6,-382.1,-977.4,-1948.0,1853.0,,-342.8,-2354.0,314.5,,-844.7,-1404.0,2140.8,-1642.0,-1844.6,,True,False,True,True,True,,True,True,True,,False,True,,False,True,True,False,False,True,False,True,False,False,True,True,True,False,False,,True,False,True,,True,False,False,False,False,
California,36240,47110.0,45493.1,46674.7,33135.0,46488.0,35843.0,,48994.5,16114.0,36397.2,,25858.1,26701.8,,33326.2,45339.1,46202.0,30516.6,34826.0,72809.5,26991.0,31169.2,29538.5,36629.7,25941.7,47577.9,35253.5,33500.0,20046.0,,25022.8,32944.0,69272.0,,85902.9,38325.1,30536.0,42414.0,26915.7,,10870.0,9253.1,10434.7,-3105.0,10248.0,-397.0,,12754.5,-20126.0,157.2,,-10381.9,-9538.2,,-2913.8,9099.1,9962.0,-5723.4,-1414.0,36569.5,-9249.0,-5070.8,-6701.5,389.7,-10298.3,11337.9,-986.5,-2740.0,-16194.0,,-11217.2,-3296.0,33032.0,,49662.9,2085.1,-5704.0,6174.0,-9324.3,,True,True,True,True,True,,False,False,True,,True,True,,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,,False,True,False,,False,True,True,True,True,
Colorado,7650,6829.0,4829.1,6898.8,6285.0,6571.0,6045.0,,7106.0,7115.0,6538.9,,5650.6,8091.4,,6658.9,7176.6,6694.0,8107.1,6374.0,6766.1,3387.5,5193.9,5366.5,6159.0,4200.7,6719.6,6359.2,6778.0,7720.0,,6216.6,5904.0,2238.5,,6738.0,5676.4,5108.7,6746.0,6533.8,,-821.0,-2820.9,-751.2,-1365.0,-1079.0,-1605.0,,-544.0,-535.0,-1111.1,,-1999.4,441.4,,-991.1,-473.4,-956.0,457.1,-1276.0,-883.9,-4262.5,-2456.1,-2283.5,-1491.0,-3449.3,-930.4,-1290.8,-872.0,70.0,,-1433.4,-1746.0,-5411.5,,-912.0,-1973.6,-2541.3,-904.0,-1116.2,,False,True,False,False,False,,True,True,False,,False,True,,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False,False,False,False,
Connecticut,6845,5764.0,3342.7,5736.7,4574.0,4468.0,2643.0,,5456.8,4013.0,197816.3,,3896.0,0.0,,4367.6,3706.9,5209.0,4433.7,4665.0,5492.8,3090.5,4413.2,2876.0,4052.5,5597.4,6149.1,4567.9,3900.0,4291.0,,4427.9,5794.0,5602.2,,6769.7,4572.1,0.0,4792.0,5164.5,,-1081.0,-3502.3,-1108.3,-2271.0,-2377.0,-4202.0,,-1388.2,-2832.0,190971.3,,-2949.0,-6845.0,,-2477.4,-3138.1,-1636.0,-2411.3,-2180.0,-1352.2,-3754.5,-2431.8,-3969.0,-2792.5,-1247.6,-695.9,-2277.1,-2945.0,-2554.0,,-2417.1,-1051.0,-1242.8,,-75.3,-2272.9,-6845.0,-2053.0,-1680.5,,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,False,,True,False,False,False,False,
Delaware,1986,1859.0,746.0,1702.5,1605.0,1430.0,1858.0,,1805.0,1465.0,1693.2,,1380.1,1386.6,,1698.8,1768.7,1401.0,1643.0,1958.0,1621.6,1575.0,1442.8,1165.5,1519.8,1477.2,1879.9,1524.2,1592.0,1418.0,,1573.3,1674.0,2079.1,,2609.7,1400.5,1758.8,1950.0,2078.0,,-127.0,-1240.0,-283.5,-381.0,-556.0,-128.0,,-181.0,-521.0,-292.8,,-605.9,-599.4,,-287.2,-217.3,-585.0,-343.0,-28.0,-364.4,-411.0,-543.2,-820.5,-466.2,-508.8,-106.1,-461.8,-394.0,-568.0,,-412.7,-312.0,93.1,,623.7,-585.5,-227.2,-36.0,92.0,,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,False,False,True,,False,False,False,True,True,
District of Columbia,925,757.0,694.9,766.0,661.0,505.0,606.0,,775.2,773.0,721.0,,602.7,628.0,,614.4,,791.0,628.0,668.0,847.6,538.5,638.7,480.0,617.2,,,596.4,571.0,626.0,,737.7,661.0,1059.4,,938.1,557.2,,708.0,969.3,,-168.0,-230.1,-159.0,-264.0,-420.0,-319.0,,-149.8,-152.0,-204.0,,-322.3,-297.0,,-310.6,,-134.0,-297.0,-257.0,-77.4,-386.5,-286.3,-445.0,-307.8,,,-328.6,-354.0,-299.0,,-187.3,-264.0,134.4,,13.1,-367.8,,-217.0,44.3,,False,True,False,False,False,,True,True,False,,False,False,,False,,True,False,False,True,False,False,False,False,,,False,False,False,,False,False,True,,True,False,,False,True,
Florida,39975,41770.0,35658.8,42015.4,37120.0,37047.0,35960.0,,42503.5,42605.0,51503.3,,38849.3,39785.9,,36820.3,42271.7,38855.0,35467.0,37498.0,38541.4,22841.5,34085.9,30431.0,37271.1,36969.6,38720.9,33620.2,35572.0,40127.0,,38286.6,38289.0,43667.6,,43205.5,31843.7,55011.7,41412.0,32872.2,,1795.0,-4316.2,2040.4,-2855.0,-2928.0,-4015.0,,2528.5,2630.0,11528.3,,-1125.7,-189.1,,-3154.7,2296.7,-1120.0,-4508.0,-2477.0,-1433.6,-17133.5,-5889.1,-9544.0,-2703.9,-3005.4,-1254.1,-6354.8,-4403.0,152.0,,-1688.4,-1686.0,3692.6,,3230.5,-8131.3,15036.7,1437.0,-7102.8,,False,False,False,False,False,,False,False,False,,True,True,,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,,True,True,False,,False,False,False,True,False,
