,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,652,952.0,,1124.6,,788.0,880.0,811.0,,,,,576.5,,453.8,,,865.0,299.8,,648.1,428.0,,926.0,747.7,,,,570.0,851.9,,,,,,619.9,,,,853.5,1193.6,300.0,,472.6,,136.0,228.0,159.0,,,,,-75.5,,-198.2,,,213.0,-352.2,,-3.9,-224.0,,274.0,95.7,,,,-82.0,199.9,,,,,,-32.1,,,,201.5,541.6,,False,,True,True,True,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,,,,,,True,,,,True,False
01003,1792,3176.0,,3188.7,,2787.0,2868.0,3504.0,,,,,1652.6,,1851.5,,,2972.0,4605.6,,2356.1,1517.0,,3767.0,2667.1,,,,1944.0,2501.3,,,,,,1530.6,2871.0,,,2916.9,3144.5,1384.0,,1396.7,,995.0,1076.0,1712.0,,,,,-139.4,,59.5,,,1180.0,2813.6,,564.1,-275.0,,1975.0,875.1,,,,152.0,709.3,,,,,,-261.4,1079.0,,,1124.9,1352.5,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,False,True,,,,True,True,,,,,,True,True,,,True,True
01005,184,504.0,,477.1,,431.0,381.0,494.0,,,,,213.8,,158.1,,,292.0,489.8,,290.1,,,564.0,322.0,,,,248.0,385.4,,,,,,,,,,445.1,359.9,320.0,,293.1,,247.0,197.0,310.0,,,,,29.8,,-25.9,,,108.0,305.8,,106.1,,,380.0,138.0,,,,64.0,201.4,,,,,,,,,,261.1,175.9,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,False,True,,,,True,True,,,,,,,,,,True,True
01007,166,244.0,,231.8,,194.0,255.0,148.0,,,,,202.0,,167.7,,,350.0,114.5,,182.8,,,185.0,217.7,,,,184.0,191.1,,,,,,283.6,,,,141.0,389.1,78.0,,65.8,,28.0,89.0,-18.0,,,,,36.0,,1.7,,,184.0,-51.5,,16.8,,,19.0,51.7,,,,18.0,25.1,,,,,,117.6,,,,-25.0,223.1,,True,,True,False,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,True,,,,,,False,,,,True,False
01009,444,772.0,,742.3,,658.0,667.0,756.0,,,,,468.9,,259.5,,,1010.0,372.2,,528.2,345.5,,689.5,647.5,,,,540.0,585.4,,,,,,713.9,,,,691.0,749.2,328.0,,298.3,,214.0,223.0,312.0,,,,,24.9,,-184.5,,,566.0,-71.8,,84.2,-98.5,,245.5,203.5,,,,96.0,141.4,,,,,,269.9,,,,247.0,305.2,,True,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,,,,,,True,,,,True,True
01011,99,168.0,,163.3,,166.0,178.0,196.0,,,,,103.9,,66.2,,,109.0,252.2,,113.3,,,195.0,150.0,,,,92.0,123.3,,,,,,,,,,164.3,262.3,69.0,,64.3,,67.0,79.0,97.0,,,,,4.9,,-32.8,,,10.0,153.2,,14.3,,,96.0,51.0,,,,-7.0,24.3,,,,,,,,,,65.3,163.3,,True,,True,False,False,,,,,True,,True,,,True,False,,True,,,False,True,,,,True,True,,,,,,,,,,True,False
01013,156,276.0,,295.1,,194.0,214.0,173.0,,,,,173.9,,104.9,,,253.0,101.9,,166.0,,,227.0,178.4,,,,154.0,194.8,,,,,,,,,,241.3,272.2,120.0,,139.1,,38.0,58.0,17.0,,,,,17.9,,-51.1,,,97.0,-54.1,,10.0,,,71.0,22.4,,,,-2.0,38.8,,,,,,,,,,85.3,116.2,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,,,,,,,,,,True,True
01015,1314,1688.0,,1522.1,,1429.0,1662.0,1362.0,,,,,1063.4,,930.4,,,1825.0,991.0,,1149.6,412.5,,1619.0,1321.1,,,,1094.0,2774.1,,,,,,1001.5,,,,1499.2,1892.4,374.0,,208.1,,115.0,348.0,48.0,,,,,-250.6,,-383.6,,,511.0,-323.0,,-164.4,-901.5,,305.0,7.1,,,,-220.0,1460.1,,,,,,-312.5,,,,185.2,578.4,,True,,True,True,True,,,,,True,,False,,,False,True,,True,False,,True,True,,,,True,False,,,,,,True,,,,True,False
01017,233,560.0,,575.0,,456.0,422.0,629.0,,,,,333.7,,267.1,,,421.0,1234.8,,381.4,326.0,,305.0,448.7,,,,306.0,261.0,,,,,,413.9,,,,577.2,543.6,327.0,,342.0,,223.0,189.0,396.0,,,,,100.7,,34.1,,,188.0,1001.8,,148.4,93.0,,72.0,215.7,,,,73.0,28.0,,,,,,180.9,,,,344.2,310.6,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,,,,,,True,,,,False,True
01019,80,148.0,,128.2,,136.0,160.0,108.0,,,,,140.7,,131.6,,,376.0,85.9,,139.2,,,108.0,146.1,,,,123.0,228.2,,,,,,,,,,121.5,212.7,68.0,,48.2,,56.0,80.0,28.0,,,,,60.7,,51.6,,,296.0,5.9,,59.2,,,28.0,66.1,,,,43.0,148.2,,,,,,,,,,41.5,132.7,,True,,True,False,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,False,,,,,,,,,,True,False
