,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,890,1020.0,632.0,,,,,,1010.0,360.5,753.9,,618.0,,,955.7,,,130.0,-258.0,,,,,,120.0,-529.5,-136.1,,-272.0,,,65.7,,,False,,,,,,True,False,False,,False,,,True,,
01003,2586,4760.0,7047.0,,,,,,3468.0,2469.5,3647.7,,4102.5,,,2084.9,3207.0,,2174.0,4461.0,,,,,,882.0,-116.5,1061.7,,1516.5,,,-501.1,621.0,,False,,,,,,True,True,True,,True,,,True,True,
01005,310,410.0,324.0,,,,,,326.0,135.6,333.6,,484.0,,,,,,100.0,14.0,,,,,,16.0,-174.4,23.6,,174.0,,,,,,True,,,,,,True,False,True,,False,,,,,
01007,227,395.0,115.0,,,,,,415.0,122.3,295.3,,251.0,,,501.7,,,168.0,-112.0,,,,,,188.0,-104.7,68.3,,24.0,,,274.7,,,True,,,,,,False,True,True,,True,,,False,,
01009,637,850.0,849.0,,,,,,1256.0,422.4,650.3,,534.0,,,363.9,,,213.0,212.0,,,,,,619.0,-214.6,13.3,,-103.0,,,-273.1,,,True,,,,,,False,False,True,,True,,,False,,
01011,145,230.0,211.0,,,,,,118.0,69.0,162.0,,159.0,,,,,,85.0,66.0,,,,,,-27.0,-76.0,17.0,,14.0,,,,,,True,,,,,,True,True,True,,True,,,,,
01013,225,235.0,89.0,,,,,,281.0,115.1,290.3,,182.0,,,,,,10.0,-136.0,,,,,,56.0,-109.9,65.3,,-43.0,,,,,,False,,,,,,False,False,False,,False,,,,,
01015,1736,2090.0,1154.0,,,,,,2247.0,1412.9,1697.2,,1311.0,,,1490.6,,,354.0,-582.0,,,,,,511.0,-323.1,-38.8,,-425.0,,,-245.4,,,False,,,,,,False,True,True,,False,,,True,,
01017,373,1080.0,748.0,,,,,,506.0,576.6,551.1,,826.5,,,831.2,,,707.0,375.0,,,,,,133.0,203.6,178.1,,453.5,,,458.2,,,True,,,,,,True,True,True,,True,,,True,,
01019,118,255.0,52.0,,,,,,486.0,87.6,234.3,,197.0,,,,,,137.0,-66.0,,,,,,368.0,-30.4,116.3,,79.0,,,,,,True,,,,,,False,True,True,,True,,,,,
01021,425,450.0,61.0,,,,,,805.0,86.0,465.1,,369.0,,,272.7,,,25.0,-364.0,,,,,,380.0,-339.0,40.1,,-56.0,,,-152.3,,,False,,,,,,False,False,False,,False,,,False,,
01023,31,35.0,6.0,,,,,,219.0,103.2,66.6,,0.0,,,,,,4.0,-25.0,,,,,,188.0,72.2,35.6,,-31.0,,,,,,False,,,,,,False,False,False,,False,,,,,
