,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01027,22,26.0,,26.2,,22.0,17.0,14.0,,,,,11.9,,,23.4,,,25.7,26.0,34.7,,17.3,,,12.0,18.1,,,,25.0,22.0,,,,,,,20.6,,,,28.0,22.1,4.0,,4.2,,0.0,-5.0,-8.0,,,,,-10.1,,,1.4,,,3.7,4.0,12.7,,-4.7,,,-10.0,-3.9,,,,3.0,0.0,,,,,,,-1.4,,,,6.0,0.1,,False,,True,False,False,,,,,False,,,True,,,True,False,False,,False,,,False,True,,,,True,True,,,,,,,True,,,,False,True
01029,22,17.0,,13.9,,15.0,13.0,15.0,,,,,12.0,,,9.4,,,19.0,31.0,3.0,,19.1,,,9.0,11.8,,,,9.0,15.0,,,,,,,14.2,,,,16.6,20.3,-5.0,,-8.1,,-7.0,-9.0,-7.0,,,,,-10.0,,,-12.6,,,-3.0,9.0,-19.0,,-2.9,,,-13.0,-10.2,,,,-13.0,-7.0,,,,,,,-7.8,,,,-5.4,-1.7,,False,,False,False,False,,,,,False,,,False,,,True,False,False,,True,,,False,False,,,,False,False,,,,,,,False,,,,False,True
01031,40,50.0,,53.8,,52.0,48.0,46.0,,,,,45.1,,,10.7,,,62.2,138.0,14.0,,82.8,82.0,,25.0,45.8,,,,27.0,50.0,,,,,,61.1,79.5,,,,53.7,96.2,10.0,,13.8,,12.0,8.0,6.0,,,,,5.1,,,-29.3,,,22.2,98.0,-26.0,,42.8,42.0,,-15.0,5.8,,,,-13.0,10.0,,,,,,21.1,39.5,,,,13.7,56.2,,False,,False,True,True,,,,,True,,,False,,,False,False,False,,False,False,,False,True,,,,False,False,,,,,,False,False,,,,False,False
01033,39,38.0,,47.2,,45.0,34.0,27.0,,,,,46.8,,,24.7,,,44.6,79.0,12.7,,84.3,114.0,,3.0,25.8,,,,23.0,50.0,,,,,,43.7,41.4,,,,6.2,84.8,-1.0,,8.2,,6.0,-5.0,-12.0,,,,,7.8,,,-14.3,,,5.6,40.0,-26.3,,45.3,75.0,,-36.0,-13.2,,,,-16.0,11.0,,,,,,4.7,2.4,,,,-32.8,45.8,,False,,False,False,False,,,,,False,,,False,,,False,False,False,,False,False,,False,False,,,,False,False,,,,,,False,False,,,,False,False
01035,3,14.0,,15.5,,11.0,8.0,14.0,,,,,8.6,,,5.6,,,12.0,23.0,9.4,,15.2,,,4.0,7.2,,,,11.0,12.0,,,,,,,21.4,,,,13.0,17.6,11.0,,12.5,,8.0,5.0,11.0,,,,,5.6,,,2.6,,,9.0,20.0,6.4,,12.2,,,1.0,4.2,,,,8.0,9.0,,,,,,,18.4,,,,10.0,14.6,,False,,True,True,False,,,,,True,,,True,,,True,False,True,,False,,,True,True,,,,True,True,,,,,,,False,,,,True,False
01037,30,22.0,,21.0,,21.0,15.0,34.0,,,,,10.1,,,27.4,,,22.7,16.0,100.6,,22.8,,,9.0,16.8,,,,,23.0,,,,,,,15.6,,,,26.5,34.2,-8.0,,-9.0,,-9.0,-15.0,4.0,,,,,-19.9,,,-2.6,,,-7.3,-14.0,70.6,,-7.2,,,-21.0,-13.2,,,,,-7.0,,,,,,,-14.4,,,,-3.5,4.2,,False,,False,False,True,,,,,False,,,True,,,True,False,False,,True,,,False,False,,,,,True,,,,,,,False,,,,True,True
01039,64,74.0,,92.4,,64.0,40.0,87.0,,,,,35.7,,,31.9,,,67.3,94.0,24.8,,72.4,86.0,,23.0,40.5,,,,48.0,60.0,,,,,,79.5,43.3,,,,73.8,75.7,10.0,,28.4,,0.0,-24.0,23.0,,,,,-28.3,,,-32.1,,,3.3,30.0,-39.2,,8.4,22.0,,-41.0,-23.5,,,,-16.0,-4.0,,,,,,15.5,-20.7,,,,9.8,11.7,,False,,True,False,False,,,,,False,,,False,,,True,False,False,,True,False,,False,False,,,,False,True,,,,,,False,False,,,,True,False
01041,22,31.0,,33.1,,26.0,21.0,26.0,,,,,12.9,,,10.1,,,28.8,31.0,21.3,,25.4,,,18.0,23.0,,,,23.0,26.0,,,,,,,21.5,,,,27.2,31.5,9.0,,11.1,,4.0,-1.0,4.0,,,,,-9.1,,,-11.9,,,6.8,9.0,-0.7,,3.4,,,-4.0,1.0,,,,1.0,4.0,,,,,,,-0.5,,,,5.2,9.5,,False,,True,True,True,,,,,False,,,False,,,True,False,True,,True,,,True,True,,,,True,True,,,,,,,True,,,,True,False
01043,69,34.0,,52.9,,50.0,47.0,53.0,,,,,62.5,,,25.4,,,36.1,180.0,13.5,,111.1,116.0,,17.0,33.3,,,,17.0,42.0,,,,,,103.7,29.4,,,,10.7,93.7,-35.0,,-16.1,,-19.0,-22.0,-16.0,,,,,-6.5,,,-43.6,,,-32.9,111.0,-55.5,,42.1,47.0,,-52.0,-35.7,,,,-52.0,-27.0,,,,,,34.7,-39.6,,,,-58.3,24.7,,True,,True,True,True,,,,,True,,,False,,,True,False,False,,False,False,,False,False,,,,False,True,,,,,,True,False,,,,False,True
01045,50,78.0,,79.9,,69.0,56.0,87.0,,,,,42.7,,,38.6,,,80.1,131.0,51.8,,74.6,105.5,,54.0,57.8,,,,72.0,67.0,,,,,,67.7,44.6,,,,67.4,76.7,28.0,,29.9,,19.0,6.0,37.0,,,,,-7.3,,,-11.4,,,30.1,81.0,1.8,,24.6,55.5,,4.0,7.8,,,,22.0,17.0,,,,,,17.7,-5.4,,,,17.4,26.7,,False,,True,True,False,,,,,True,,,True,,,False,False,True,,True,False,,True,True,,,,True,True,,,,,,True,True,,,,True,True
01047,73,50.0,,50.5,,28.0,26.0,19.0,,,,,25.1,,,8.1,,,45.9,60.0,1.4,,31.2,73.5,,8.0,22.0,,,,42.0,39.0,,,,,,47.7,80.0,,,,7.6,52.0,-23.0,,-22.5,,-45.0,-47.0,-54.0,,,,,-47.9,,,-64.9,,,-27.1,-13.0,-71.6,,-41.8,0.5,,-65.0,-51.0,,,,-31.0,-34.0,,,,,,-25.3,7.0,,,,-65.4,-21.0,,True,,False,False,False,,,,,False,,,False,,,False,True,False,,False,True,,False,False,,,,False,False,,,,,,False,True,,,,False,True
