,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
17091,156,148.0,,147.6,,129.0,121.0,112.0,,,,,62.0,,,143.4,,,159.8,111.0,85.1,,165.7,128.0,,133.0,132.9,,,,151.0,131.0,,,,,,198.0,153.2,,,,146.8,149.8,-8.0,,-8.4,,-27.0,-35.0,-44.0,,,,,-94.0,,,-12.6,,,3.8,-45.0,-70.9,,9.7,-28.0,,-23.0,-23.1,,,,-5.0,-25.0,,,,,,42.0,-2.8,,,,-9.2,-6.2,,False,,False,False,False,,,,,False,,,False,,,True,False,False,,False,False,,False,False,,,,True,False,,,,,,False,True,,,,False,True
17093,149,139.0,,137.2,,108.0,114.0,104.0,,,,,71.6,,,109.4,,,132.5,165.0,96.0,,211.9,191.0,,96.0,118.2,,,,104.0,137.0,,,,,,141.0,154.4,99.0,,,90.9,145.2,-10.0,,-11.8,,-41.0,-35.0,-45.0,,,,,-77.4,,,-39.6,,,-16.5,16.0,-53.0,,62.9,42.0,,-53.0,-30.8,,,,-45.0,-12.0,,,,,,-8.0,5.4,-50.0,,,-58.1,-3.8,,False,,False,False,False,,,,,False,,,False,,,False,False,False,,False,False,,False,False,,,,False,False,,,,,,True,True,False,,,False,True
17095,28,60.0,,67.8,,51.0,36.0,22.0,,,,,33.3,,,34.3,,,63.0,105.0,69.0,,65.9,58.5,,6.0,35.2,,,,58.0,65.0,,,,,,96.4,49.8,,,,50.8,56.0,32.0,,39.8,,23.0,8.0,-6.0,,,,,5.3,,,6.3,,,35.0,77.0,41.0,,37.9,30.5,,-22.0,7.2,,,,30.0,37.0,,,,,,68.4,21.8,,,,22.8,28.0,,False,,True,True,True,,,,,True,,,True,,,False,False,False,,False,True,,True,True,,,,True,False,,,,,,False,True,,,,True,True
17097,790,705.0,,715.5,659.1,634.0,596.0,598.0,,,,,384.9,,,578.5,,604.8,684.8,976.0,477.5,,1015.9,915.5,,532.0,633.9,,,,557.0,772.0,,,,,,679.9,617.9,530.0,,,682.8,687.9,-85.0,,-74.5,-130.9,-156.0,-194.0,-192.0,,,,,-405.1,,,-211.5,,-185.2,-105.2,186.0,-312.5,,225.9,125.5,,-258.0,-156.1,,,,-233.0,-18.0,,,,,,-110.1,-172.1,-260.0,,,-107.2,-102.1,,True,False,False,False,False,,,,,False,,,False,,False,False,False,False,,False,False,,False,False,,,,False,True,,,,,,False,False,False,,,False,False
17099,185,150.0,,151.0,,133.0,146.0,133.0,,,,,76.9,,,93.6,,,164.8,152.0,91.6,,203.6,152.0,,124.0,168.7,,,,121.0,166.0,,,,,,151.7,136.6,,,,119.2,,-35.0,,-34.0,,-52.0,-39.0,-52.0,,,,,-108.1,,,-91.4,,,-20.2,-33.0,-93.4,,18.6,-33.0,,-61.0,-16.3,,,,-64.0,-19.0,,,,,,-33.3,-48.4,,,,-65.8,,,True,,False,False,False,,,,,False,,,False,,,True,True,False,,True,True,,False,True,,,,False,True,,,,,,True,False,,,,False,
17101,18,19.0,,21.9,,10.0,12.0,2.0,,,,,12.5,,,15.0,,,22.6,15.0,2.2,,12.4,,,3.0,9.9,,,,8.0,12.0,,,,,,,14.3,,,,8.3,28.3,1.0,,3.9,,-8.0,-6.0,-16.0,,,,,-5.5,,,-3.0,,,4.6,-3.0,-15.8,,-5.6,,,-15.0,-8.1,,,,-10.0,-6.0,,,,,,,-3.7,,,,-9.7,10.3,,False,,False,False,False,,,,,False,,,False,,,False,False,False,,False,,,False,False,,,,False,False,,,,,,,False,,,,False,False
17103,53,17.0,,17.3,,17.0,20.0,22.0,,,,,20.7,,,13.7,,,20.5,66.0,16.8,,29.2,31.0,,7.0,16.4,,,,13.0,19.0,,,,,,27.5,19.3,,,,4.0,34.4,-36.0,,-35.7,,-36.0,-33.0,-31.0,,,,,-32.3,,,-39.3,,,-32.5,13.0,-36.2,,-23.8,-22.0,,-46.0,-36.6,,,,-40.0,-34.0,,,,,,-25.5,-33.7,,,,-49.0,-18.6,,True,,False,True,True,,,,,True,,,False,,,True,True,False,,True,True,,False,False,,,,False,True,,,,,,True,True,,,,False,True
17105,78,60.0,,54.6,,43.0,42.0,39.0,,,,,29.7,,,49.9,,,63.6,38.0,12.5,,63.0,49.5,,36.0,43.8,,,,46.0,56.0,,,,,,72.8,58.4,,,,57.5,62.7,-18.0,,-23.4,,-35.0,-36.0,-39.0,,,,,-48.3,,,-28.1,,,-14.4,-40.0,-65.5,,-15.0,-28.5,,-42.0,-34.2,,,,-32.0,-22.0,,,,,,-5.2,-19.6,,,,-20.5,-15.3,,False,,False,False,False,,,,,False,,,False,,,True,False,False,,True,False,,False,False,,,,False,False,,,,,,True,False,,,,False,True
17107,15,10.0,,11.2,,11.0,16.0,7.0,,,,,18.7,,,5.1,,,11.4,33.0,9.1,,32.1,,,6.0,11.9,,,,7.0,21.0,,,,,,,19.3,,,,5.8,27.7,-5.0,,-3.8,,-4.0,1.0,-8.0,,,,,3.7,,,-9.9,,,-3.6,18.0,-5.9,,17.1,,,-9.0,-3.1,,,,-8.0,6.0,,,,,,,4.3,,,,-9.2,12.7,,True,,True,True,False,,,,,True,,,False,,,True,False,False,,False,,,False,True,,,,False,False,,,,,,,True,,,,False,False
17109,20,15.0,,14.0,,14.0,15.0,13.0,,,,,11.9,,,14.7,,,16.4,61.0,8.0,,29.7,26.0,,9.0,13.9,,,,10.0,17.0,,,,,,16.4,45.0,,,,14.5,26.3,-5.0,,-6.0,,-6.0,-5.0,-7.0,,,,,-8.1,,,-5.3,,,-3.6,41.0,-12.0,,9.7,6.0,,-11.0,-6.1,,,,-10.0,-3.0,,,,,,-3.6,25.0,,,,-5.5,6.3,,False,,False,False,False,,,,,False,,,False,,,True,False,False,,False,False,,False,False,,,,False,True,,,,,,True,False,,,,False,False
17111,323,372.0,,364.6,,318.0,291.0,327.0,,,,,169.1,,,280.8,,309.6,341.9,455.0,230.2,,423.5,409.0,,269.0,313.1,,,,299.0,359.0,,,,,,409.0,375.8,266.0,,,323.3,333.1,49.0,,41.6,,-5.0,-32.0,4.0,,,,,-153.9,,,-42.2,,-13.4,18.9,132.0,-92.8,,100.5,86.0,,-54.0,-9.9,,,,-24.0,36.0,,,,,,86.0,52.8,-57.0,,,0.3,10.1,,True,,True,True,True,,,,,False,,,True,,True,True,False,False,,False,False,,False,True,,,,True,True,,,,,,False,False,False,,,True,True
17113,149,161.0,,167.4,,128.0,116.0,105.0,,,,,95.8,,,162.1,,,153.4,200.0,44.5,,250.0,161.5,,76.0,108.9,,,,120.0,139.0,,,,,,187.0,168.4,117.0,,,128.2,207.0,12.0,,18.4,,-21.0,-33.0,-44.0,,,,,-53.2,,,13.1,,,4.4,51.0,-104.5,,101.0,12.5,,-73.0,-40.1,,,,-29.0,-10.0,,,,,,38.0,19.4,-32.0,,,-20.8,58.0,,False,,False,False,False,,,,,False,,,False,,,True,False,False,,False,False,,False,False,,,,False,True,,,,,,False,False,False,,,False,False
17115,65,37.0,,26.6,,46.0,43.0,43.0,,,,,51.9,,,28.9,,,32.7,106.0,49.6,,130.0,89.5,,9.0,32.8,,,,26.0,57.0,,,,,,59.8,76.4,,,,14.8,76.9,-28.0,,-38.4,,-19.0,-22.0,-22.0,,,,,-13.1,,,-36.1,,,-32.3,41.0,-15.4,,65.0,24.5,,-56.0,-32.2,,,,-39.0,-8.0,,,,,,-5.2,11.4,,,,-50.2,11.9,,False,,True,True,True,,,,,True,,,False,,,False,False,True,,False,True,,False,False,,,,False,True,,,,,,True,True,,,,False,True
17117,35,45.0,,54.6,,47.0,33.0,18.0,,,,,34.1,,,35.7,,,41.5,52.0,19.3,,65.1,50.5,,19.0,29.8,,,,32.0,54.0,,,,,,61.8,40.1,,,,53.8,59.7,10.0,,19.6,,12.0,-2.0,-17.0,,,,,-0.9,,,0.7,,,6.5,17.0,-15.7,,30.1,15.5,,-16.0,-5.2,,,,-3.0,19.0,,,,,,26.8,5.1,,,,18.8,24.7,,False,,False,True,False,,,,,True,,,True,,,True,False,False,,False,False,,False,True,,,,True,False,,,,,,False,True,,,,False,False
17119,333,343.0,,339.5,,288.0,283.0,288.0,,,,,246.7,,,255.6,,,319.7,295.0,201.6,,482.2,363.0,,229.0,284.7,,,,251.0,373.0,,,,,,392.3,268.1,253.0,,,236.7,369.6,10.0,,6.5,,-45.0,-50.0,-45.0,,,,,-86.3,,,-77.4,,,-13.3,-38.0,-131.4,,149.2,30.0,,-104.0,-48.3,,,,-82.0,40.0,,,,,,59.3,-64.9,-80.0,,,-96.3,36.6,,True,,False,False,False,,,,,False,,,False,,,False,False,False,,False,False,,False,False,,,,False,False,,,,,,False,False,False,,,False,False
17121,22,15.0,,10.8,,16.0,22.0,15.0,,,,,24.6,,,12.7,,,18.0,38.0,1.8,,42.0,33.5,,15.0,16.0,,,,8.0,28.0,,,,,,25.3,18.9,,,,10.7,38.5,-7.0,,-11.2,,-6.0,0.0,-7.0,,,,,2.6,,,-9.3,,,-4.0,16.0,-20.2,,20.0,11.5,,-7.0,-6.0,,,,-14.0,6.0,,,,,,3.3,-3.1,,,,-11.3,16.5,,False,,True,True,False,,,,,True,,,False,,,True,False,False,,False,False,,False,True,,,,False,True,,,,,,True,True,,,,False,False
17123,9,11.0,,11.2,,11.0,8.0,13.0,,,,,7.1,,,5.6,,,11.6,15.0,11.8,,16.4,,,2.0,7.8,,,,10.0,13.0,,,,,,,10.9,,,,10.4,24.3,2.0,,2.2,,2.0,-1.0,4.0,,,,,-1.9,,,-3.4,,,2.6,6.0,2.8,,7.4,,,-7.0,-1.2,,,,1.0,4.0,,,,,,,1.9,,,,1.4,15.3,,False,,False,True,False,,,,,True,,,False,,,False,False,False,,False,,,False,True,,,,True,False,,,,,,,True,,,,True,False
17125,15,8.0,,6.6,,8.0,9.0,8.0,,,,,7.5,,,20.1,,,14.0,20.0,1.9,,11.6,,,3.0,9.9,,,,5.0,12.0,,,,,,,14.1,,,,7.4,14.8,-7.0,,-8.4,,-7.0,-6.0,-7.0,,,,,-7.5,,,5.1,,,-1.0,5.0,-13.1,,-3.4,,,-12.0,-5.1,,,,-10.0,-3.0,,,,,,,-0.9,,,,-7.6,-0.2,,False,,False,True,False,,,,,False,,,True,,,True,True,False,,True,,,False,True,,,,False,True,,,,,,,True,,,,False,True
17127,31,10.0,,9.4,,16.0,15.0,29.0,,,,,11.7,,,22.3,,,16.9,19.0,16.9,,23.5,,,11.0,16.2,,,,11.0,18.0,,,,,,,14.4,,,,13.4,30.0,-21.0,,-21.6,,-15.0,-16.0,-2.0,,,,,-19.3,,,-8.7,,,-14.1,-12.0,-14.1,,-7.5,,,-20.0,-14.8,,,,-20.0,-13.0,,,,,,,-16.6,,,,-17.6,-1.0,,False,,True,True,True,,,,,True,,,True,,,True,True,True,,True,,,True,True,,,,True,True,,,,,,,True,,,,True,True
17129,9,10.0,,9.0,,9.0,9.0,19.0,,,,,8.3,,,11.6,,,11.4,15.0,9.1,,16.1,,,8.0,8.2,,,,6.0,15.0,,,,,,,11.3,,,,9.1,17.8,1.0,,-0.0,,0.0,0.0,10.0,,,,,-0.7,,,2.6,,,2.4,6.0,0.1,,7.1,,,-1.0,-0.8,,,,-3.0,6.0,,,,,,,2.3,,,,0.1,8.8,,True,,True,True,False,,,,,True,,,False,,,False,False,True,,False,,,False,True,,,,False,False,,,,,,,False,,,,True,False
17131,10,19.0,,18.4,,15.0,11.0,7.0,,,,,7.8,,,23.5,,,17.4,35.0,17.8,,19.1,,,9.0,10.0,,,,18.0,21.0,,,,,,,16.3,,,,15.5,17.0,9.0,,8.4,,5.0,1.0,-3.0,,,,,-2.2,,,13.5,,,7.4,25.0,7.8,,9.1,,,-1.0,-0.0,,,,8.0,11.0,,,,,,,6.3,,,,5.5,7.0,,True,,True,True,True,,,,,True,,,False,,,True,False,True,,False,,,True,True,,,,True,False,,,,,,,True,,,,True,True
17133,41,52.0,,50.2,,38.0,37.0,40.0,,,,,35.5,,,43.6,,,49.4,35.0,19.0,,56.5,49.0,,27.0,33.0,,,,35.0,54.0,,,,,,74.3,60.8,,,,36.5,57.5,11.0,,9.2,,-3.0,-4.0,-1.0,,,,,-5.5,,,2.6,,,8.4,-6.0,-22.0,,15.5,8.0,,-14.0,-8.0,,,,-6.0,13.0,,,,,,33.3,19.8,,,,-4.5,16.5,,True,,True,True,True,,,,,True,,,True,,,True,True,False,,False,True,,False,True,,,,True,False,,,,,,False,False,,,,True,False
17135,52,43.0,,41.3,,40.0,41.0,40.0,,,,,31.9,,,24.6,,,46.0,34.0,32.6,,52.7,,,35.0,40.9,,,,41.0,45.0,,,,,,124.4,35.5,,,,11.8,55.2,-9.0,,-10.7,,-12.0,-11.0,-12.0,,,,,-20.1,,,-27.4,,,-6.0,-18.0,-19.4,,0.7,,,-17.0,-11.1,,,,-11.0,-7.0,,,,,,72.4,-16.5,,,,-40.2,3.2,,False,,False,False,False,,,,,False,,,False,,,True,False,False,,True,,,False,False,,,,False,True,,,,,,False,False,,,,False,True
17137,25,55.0,,57.1,,52.0,37.0,47.0,,,,,24.2,,,24.0,,,49.0,49.0,57.4,,49.1,69.5,,46.0,35.0,,,,58.0,56.0,,,,,,50.6,58.2,,,,59.0,55.2,30.0,,32.1,,27.0,12.0,22.0,,,,,-0.8,,,-1.0,,,24.0,24.0,32.4,,24.1,44.5,,21.0,10.0,,,,33.0,31.0,,,,,,25.6,33.2,,,,34.0,30.2,,False,,True,True,True,,,,,True,,,True,,,True,True,False,,True,False,,True,True,,,,False,False,,,,,,True,False,,,,False,False
17139,10,9.0,,6.6,,7.0,10.0,7.0,,,,,8.7,,,11.9,,,13.8,15.0,6.5,,18.4,,,5.0,9.7,,,,7.0,12.0,,,,,,,12.3,,,,6.7,16.0,-1.0,,-3.4,,-3.0,0.0,-3.0,,,,,-1.3,,,1.9,,,3.8,5.0,-3.5,,8.4,,,-5.0,-0.3,,,,-3.0,2.0,,,,,,,2.3,,,,-3.3,6.0,,False,,False,True,False,,,,,False,,,False,,,False,False,False,,False,,,False,True,,,,False,False,,,,,,,False,,,,False,False
17141,64,48.0,,46.1,,45.0,38.0,26.0,,,,,29.3,,,33.0,,,49.8,95.0,24.4,,59.5,56.5,,29.0,35.6,,,,38.0,43.0,,,,,,86.2,44.4,,,,45.9,59.9,-16.0,,-17.9,,-19.0,-26.0,-38.0,,,,,-34.7,,,-31.0,,,-14.2,31.0,-39.6,,-4.5,-7.5,,-35.0,-28.4,,,,-26.0,-21.0,,,,,,22.2,-19.6,,,,-18.1,-4.1,,False,,False,False,False,,,,,False,,,False,,,True,False,False,,True,True,,False,False,,,,False,False,,,,,,False,False,,,,False,True
17143,164,220.0,,227.3,,217.0,172.0,241.0,,,,,143.3,,,162.5,,,197.5,308.0,226.5,,312.4,261.0,,148.0,164.3,,,,183.0,214.0,,,,,,211.3,199.8,163.0,,,217.1,240.8,56.0,,63.3,,53.0,8.0,77.0,,,,,-20.7,,,-1.5,,,33.5,144.0,62.5,,148.4,97.0,,-16.0,0.3,,,,19.0,50.0,,,,,,47.3,35.8,-1.0,,,53.1,76.8,,False,,True,True,False,,,,,True,,,True,,,True,False,False,,False,False,,True,True,,,,True,True,,,,,,True,True,True,,,True,False
17145,39,26.0,,22.8,,23.0,28.0,22.0,,,,,23.9,,,31.3,,,33.9,23.0,6.2,,41.5,,,16.0,28.5,,,,13.0,33.0,,,,,,31.8,31.3,,,,8.3,47.0,-13.0,,-16.2,,-16.0,-11.0,-17.0,,,,,-15.1,,,-7.7,,,-5.1,-16.0,-32.8,,2.5,,,-23.0,-10.5,,,,-26.0,-6.0,,,,,,-7.2,-7.7,,,,-30.7,8.0,,False,,False,True,False,,,,,False,,,True,,,True,False,False,,True,,,False,True,,,,False,True,,,,,,True,True,,,,False,True
17147,22,13.0,,13.4,,12.0,11.0,15.0,,,,,9.2,,,16.7,,,17.2,16.0,8.9,,16.2,,,7.0,11.7,,,,13.0,17.0,,,,,,,12.0,,,,10.1,23.4,-9.0,,-8.6,,-10.0,-11.0,-7.0,,,,,-12.8,,,-5.3,,,-4.8,-6.0,-13.1,,-5.8,,,-15.0,-10.3,,,,-9.0,-5.0,,,,,,,-10.0,,,,-11.9,1.4,,True,,False,False,True,,,,,False,,,True,,,True,True,False,,True,,,False,False,,,,False,True,,,,,,,False,,,,False,True
17149,16,7.0,,6.9,,8.0,10.0,8.0,,,,,9.0,,,6.9,,,13.1,23.0,3.1,,13.3,,,3.0,9.6,,,,5.0,9.0,,,,,,,30.5,,,,3.9,19.4,-9.0,,-9.1,,-8.0,-6.0,-8.0,,,,,-7.0,,,-9.1,,,-2.9,7.0,-12.9,,-2.7,,,-13.0,-6.4,,,,-11.0,-7.0,,,,,,,14.5,,,,-12.1,3.4,,False,,True,True,True,,,,,True,,,False,,,True,True,False,,True,,,False,True,,,,False,True,,,,,,,False,,,,False,True
17151,3,0.0,,0.6,,2.0,1.0,0.0,,,,,2.9,,,1.5,,,2.0,6.0,5.3,,3.5,,,0.0,1.0,,,,2.0,3.0,,,,,,,1.1,,,,1.2,3.1,-3.0,,-2.4,,-1.0,-2.0,-3.0,,,,,-0.1,,,-1.5,,,-1.0,3.0,2.3,,0.5,,,-3.0,-2.0,,,,-1.0,0.0,,,,,,,-1.9,,,,-1.8,0.1,,True,,True,True,False,,,,,True,,,True,,,True,False,True,,True,,,False,True,,,,True,True,,,,,,,True,,,,True,True
17153,4,4.0,,4.3,,4.0,3.0,0.0,,,,,4.8,,,0.3,,,5.8,7.0,1.5,,5.7,,,1.0,2.3,,,,3.0,6.0,,,,,,,9.1,,,,5.1,8.6,0.0,,0.3,,0.0,-1.0,-4.0,,,,,0.8,,,-3.7,,,1.8,3.0,-2.5,,1.7,,,-3.0,-1.7,,,,-1.0,2.0,,,,,,,5.1,,,,1.1,4.6,,False,,True,False,False,,,,,False,,,False,,,False,False,False,,False,,,False,False,,,,False,False,,,,,,,False,,,,False,False
17155,8,10.0,,10.1,,8.0,7.0,0.0,,,,,3.0,,,4.8,,,12.3,8.0,12.4,,6.9,,,8.0,8.4,,,,7.0,10.0,,,,,,,10.7,,,,12.3,12.0,2.0,,2.1,,0.0,-1.0,-8.0,,,,,-5.0,,,-3.2,,,4.3,0.0,4.4,,-1.1,,,0.0,0.4,,,,-1.0,2.0,,,,,,,2.7,,,,4.3,4.0,,False,,True,True,False,,,,,False,,,False,,,False,True,False,,True,,,True,True,,,,True,False,,,,,,,False,,,,False,False
17157,15,13.0,,11.4,,14.0,20.0,13.0,,,,,24.5,,,12.3,,,21.7,35.0,10.1,,34.6,21.5,,7.0,15.6,,,,9.0,33.0,,,,,,31.0,25.9,,,,0.0,30.2,-2.0,,-3.6,,-1.0,5.0,-2.0,,,,,9.5,,,-2.7,,,6.7,20.0,-4.9,,19.6,6.5,,-8.0,0.6,,,,-6.0,18.0,,,,,,16.0,10.9,,,,-15.0,15.2,,False,,True,False,False,,,,,False,,,False,,,False,False,False,,False,False,,False,True,,,,False,False,,,,,,False,False,,,,False,False
17159,3,5.0,,5.9,,6.0,7.0,6.0,,,,,9.6,,,8.8,,,5.9,17.0,4.0,,10.7,,,0.0,4.2,,,,5.0,9.0,,,,,,,14.6,,,,0.0,14.5,2.0,,2.9,,3.0,4.0,3.0,,,,,6.6,,,5.8,,,2.9,14.0,1.0,,7.7,,,-3.0,1.2,,,,2.0,6.0,,,,,,,11.6,,,,-3.0,11.5,,False,,False,False,False,,,,,False,,,False,,,False,False,True,,False,,,False,True,,,,False,False,,,,,,,False,,,,False,False
17161,123,137.0,,135.5,,143.0,137.0,144.0,,,,,76.1,,,106.9,,,148.1,386.0,142.7,,150.4,169.5,,120.0,152.6,,,,120.0,177.0,,,,,,151.7,149.2,144.0,,,113.1,147.2,14.0,,12.5,,20.0,14.0,21.0,,,,,-46.9,,,-16.1,,,25.1,263.0,19.7,,27.4,46.5,,-3.0,29.6,,,,-3.0,54.0,,,,,,28.7,26.2,21.0,,,-9.9,24.2,,True,,False,False,False,,,,,False,,,False,,,False,False,False,,False,False,,True,False,,,,True,False,,,,,,False,False,False,,,True,False
17163,328,340.0,,339.7,,289.0,269.0,338.0,,,,,260.3,,,232.9,,,326.1,243.0,222.7,,418.9,937.5,,227.0,266.9,,,,252.0,399.0,,,,,,393.0,246.6,277.0,,,438.7,329.4,12.0,,11.7,,-39.0,-59.0,10.0,,,,,-67.7,,,-95.1,,,-1.9,-85.0,-105.3,,90.9,609.5,,-101.0,-61.1,,,,-76.0,71.0,,,,,,65.0,-81.4,-51.0,,,110.7,1.4,,True,,False,False,True,,,,,False,,,False,,,True,False,False,,False,False,,False,False,,,,False,False,,,,,,False,False,False,,,False,True
17165,32,24.0,,22.1,,22.0,17.0,19.0,,,,,20.2,,,22.0,,,21.5,34.0,27.8,,29.7,,,9.0,14.6,,,,18.0,34.0,,,,,,,34.6,,,,13.2,33.2,-8.0,,-9.9,,-10.0,-15.0,-13.0,,,,,-11.8,,,-10.0,,,-10.5,2.0,-4.2,,-2.3,,,-23.0,-17.4,,,,-14.0,2.0,,,,,,,2.6,,,,-18.8,1.2,,False,,False,False,False,,,,,False,,,False,,,False,True,True,,True,,,False,False,,,,False,True,,,,,,,True,,,,False,True
17167,190,139.0,,133.1,,145.0,144.0,129.0,,,,,105.3,,,150.1,,,151.0,230.0,166.6,,233.6,215.5,,123.0,148.0,,,,117.0,183.0,,,,,,218.9,152.8,119.0,,,109.9,197.3,-51.0,,-56.9,,-45.0,-46.0,-61.0,,,,,-84.7,,,-39.9,,,-39.0,40.0,-23.4,,43.6,25.5,,-67.0,-42.0,,,,-73.0,-7.0,,,,,,28.9,-37.2,-71.0,,,-80.1,7.3,,False,,True,True,False,,,,,False,,,True,,,True,True,True,,True,True,,False,True,,,,False,True,,,,,,True,True,False,,,False,True
17169,7,6.0,,5.5,,6.0,7.0,0.0,,,,,4.1,,,5.9,,,10.0,13.0,0.3,,6.5,,,10.0,6.5,,,,2.0,7.0,,,,,,,7.1,,,,5.4,12.4,-1.0,,-1.5,,-1.0,0.0,-7.0,,,,,-2.9,,,-1.1,,,3.0,6.0,-6.7,,-0.5,,,3.0,-0.5,,,,-5.0,0.0,,,,,,,0.1,,,,-1.6,5.4,,False,,False,True,False,,,,,False,,,False,,,False,False,False,,True,,,False,True,,,,False,True,,,,,,,True,,,,False,False
17171,3,2.0,,2.8,,2.0,2.0,0.0,,,,,4.1,,,1.1,,,1.8,8.0,1.7,,7.0,,,0.0,0.6,,,,2.0,5.0,,,,,,,2.4,,,,1.0,,-1.0,,-0.2,,-1.0,-1.0,-3.0,,,,,1.1,,,-1.9,,,-1.2,5.0,-1.3,,4.0,,,-3.0,-2.4,,,,-1.0,2.0,,,,,,,-0.6,,,,-2.0,,,True,,False,False,False,,,,,False,,,False,,,False,False,False,,False,,,False,False,,,,False,False,,,,,,,True,,,,False,
17173,25,22.0,,20.3,,18.0,16.0,9.0,,,,,12.0,,,8.7,,,22.0,25.0,8.3,,20.7,,,8.0,16.2,,,,16.0,28.0,,,,,,,32.2,,,,18.7,24.5,-3.0,,-4.7,,-7.0,-9.0,-16.0,,,,,-13.0,,,-16.3,,,-3.0,0.0,-16.7,,-4.3,,,-17.0,-8.8,,,,-9.0,3.0,,,,,,,7.2,,,,-6.3,-0.5,,False,,False,False,False,,,,,False,,,False,,,True,True,False,,False,,,False,False,,,,False,False,,,,,,,False,,,,False,True
17175,6,7.0,,6.3,,6.0,6.0,0.0,,,,,3.4,,,4.2,,,7.2,12.0,26.5,,5.1,,,5.0,5.7,,,,6.0,8.0,,,,,,,10.9,,,,6.0,8.5,1.0,,0.3,,0.0,0.0,-6.0,,,,,-2.6,,,-1.8,,,1.2,6.0,20.5,,-0.9,,,-1.0,-0.3,,,,0.0,2.0,,,,,,,4.9,,,,-0.0,2.5,,True,,True,True,False,,,,,False,,,False,,,False,False,False,,True,,,False,True,,,,True,False,,,,,,,False,,,,True,False
