,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,53241,93805.0,91877.0,,84082.3,61254.0,,,86439.0,38149.9,70972.2,41018.3,69536.5,,,75646.8,81582.0,40564.0,38636.0,,30841.3,8013.0,,,33198.0,-15091.1,17731.2,-12222.7,16295.5,,,22405.8,28341.0,True,,True,True,,,True,True,True,True,True,,,True,True
Alaska,5113,7485.0,2732.0,,6943.8,15299.0,,,,4464.7,5250.3,4456.1,4374.5,,,6690.9,5407.0,2372.0,-2381.0,,1830.8,10186.0,,,,-648.3,137.3,-656.9,-738.5,,,1577.9,294.0,False,,True,False,,,,True,True,True,True,,,True,True
Arizona,100350,242280.0,372678.0,,231730.9,182852.0,,,210815.0,102403.8,192475.1,152581.8,174368.5,,,200893.8,209921.0,141930.0,272328.0,,131380.9,82502.0,,,110465.0,2053.8,92125.1,52231.8,74018.5,,,100543.8,109571.0,False,,True,True,,,True,True,True,True,True,,,True,True
Arkansas,36200,64085.0,37282.0,,65534.5,50905.0,,,72358.0,19402.2,45640.3,48964.2,42964.5,,,55123.0,42834.0,27885.0,1082.0,,29334.5,14705.0,,,36158.0,-16797.8,9440.3,12764.2,6764.5,,,18923.0,6634.0,True,,False,True,,,False,True,True,True,True,,,True,True
California,395550,939360.0,595088.0,,865049.9,332144.0,,,921084.0,588665.5,752006.3,816196.2,488986.0,,,888874.9,560052.0,543810.0,199538.0,,469499.9,-63406.0,,,525534.0,193115.5,356456.3,420646.2,93436.0,,,493324.9,164502.0,True,,True,True,,,True,True,True,True,True,,,True,True
Colorado,42496,57415.0,44217.0,,55566.5,48447.0,,,50503.0,14008.3,60457.0,38982.2,42808.5,,,68052.9,41629.0,14919.0,1721.0,,13070.5,5951.0,,,8007.0,-28487.7,17961.0,-3513.8,312.5,,,25556.9,-867.0,True,,True,True,,,True,False,False,True,True,,,False,True
Connecticut,42131,71965.0,135741.0,,70950.0,206693.0,,,71302.0,27647.1,62864.3,69974.3,53762.0,,,31561.9,45902.0,29834.0,93610.0,,28819.0,164562.0,,,29171.0,-14483.9,20733.3,27843.3,11631.0,,,-10569.1,3771.0,False,,True,False,,,True,True,True,True,True,,,True,True
Delaware,12602,22715.0,24301.0,,22362.6,11329.0,,,20159.0,9662.1,15386.1,20279.6,15964.5,,,19042.2,18217.0,10113.0,11699.0,,9760.6,-1273.0,,,7557.0,-2939.9,2784.1,7677.6,3362.5,,,6440.2,5615.0,False,,True,True,,,True,True,True,True,True,,,True,True
District of Columbia,5401,7700.0,6246.0,,7974.0,22307.0,,,8188.0,6920.0,7706.7,8760.7,5332.0,,,7788.8,6549.0,2299.0,845.0,,2573.0,16906.0,,,2787.0,1519.0,2305.7,3359.7,-69.0,,,2387.8,1148.0,True,,False,False,,,False,True,False,False,True,,,False,True
Florida,263768,398640.0,444131.0,,416338.4,2675144.0,,,368985.0,183242.4,363103.9,312235.3,307485.0,,,367055.1,330832.0,134872.0,180363.0,,152570.4,2411376.0,,,105217.0,-80525.6,99335.9,48467.3,43717.0,,,103287.1,67064.0,False,,False,False,,,True,True,True,True,True,,,True,True
