,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,93533,207844.0,,198367.9,,213553.0,122579.9,,205162.4,110173.0,114311.0,,104834.9,,120020.0,29046.9,,111629.4,16640.0,,True,,False,True,,True,True
Alaska,8305,15099.0,,14353.7,,,29224.1,,17803.4,6932.0,6794.0,,6048.7,,,20919.1,,9498.4,-1373.0,,True,,,False,,False,True
Arizona,208362,477365.0,,451683.1,,400462.0,679107.7,,357014.2,243450.0,269003.0,,243321.1,,192100.0,470745.7,,148652.2,35088.0,,True,,True,False,,True,True
Arkansas,67449,142128.0,,139811.3,,173593.0,179060.9,,118644.8,74638.0,74679.0,,72362.3,,106144.0,111611.9,,51195.8,7189.0,,True,,False,False,,True,True
California,859095,2006935.0,,2086350.6,,1632069.0,1151459.4,,1772422.7,1198910.0,1147840.0,,1227255.6,,772974.0,292364.4,,913327.7,339815.0,,False,,True,True,,True,True
Colorado,68515,138425.0,,111414.2,,111022.0,72126.5,,166516.2,66626.0,69910.0,,42899.2,,42507.0,3611.5,,98001.2,-1889.0,,True,,True,True,,False,True
Connecticut,73952,111118.0,,102676.0,,104892.0,189013.1,,103933.5,60328.0,37166.0,,28724.0,,30940.0,115061.1,,29981.5,-13624.0,,True,,True,False,,True,True
Delaware,22042,39214.0,,36898.9,,32415.0,25342.8,,21714.3,19498.0,17172.0,,14856.9,,10373.0,3300.8,,-327.7,-2544.0,,True,,True,True,,True,True
District of Columbia,9021,13636.0,,14306.9,,12161.0,16798.7,,11337.6,7340.0,4615.0,,5285.9,,3140.0,7777.7,,2316.6,-1681.0,,False,,True,False,,True,True
Florida,438985,769048.0,,880387.2,,650273.0,1062645.2,,571830.2,383721.0,330063.0,,441402.2,,211288.0,623660.2,,132845.2,-55264.0,,False,,True,False,,True,True
Georgia,255335,446110.0,,650835.8,,413960.0,404285.5,,387004.2,268103.0,190775.0,,395500.8,,158625.0,148950.5,,131669.2,12768.0,,False,,True,True,,True,True
Hawaii,4297,8589.0,,7866.0,,,12469.2,,4845.0,5015.0,4292.0,,3569.0,,,8172.2,,548.0,718.0,,True,,,False,,True,True
Idaho,21905,49252.0,,42737.0,,41212.0,19942.5,,30804.7,22419.0,27347.0,,20832.0,,19307.0,-1962.5,,8899.7,514.0,,True,,True,True,,True,True
Illinois,161328,340809.0,,300953.0,,279159.0,189291.6,,227567.9,172598.0,179481.0,,139625.0,,117831.0,27963.6,,66239.9,11270.0,,True,,True,True,,True,True
Indiana,102382,248290.0,,223555.2,,233347.0,165324.8,,260778.4,123432.0,145908.0,,121173.2,,130965.0,62942.8,,158396.4,21050.0,,True,,True,True,,False,True
Iowa,40111,85932.0,,75721.1,,77255.0,37624.5,,84265.6,35146.0,45821.0,,35610.1,,37144.0,-2486.5,,44154.6,-4965.0,,True,,True,True,,True,True
Kansas,51414,93338.0,,89413.9,,98155.0,204731.2,,78936.9,48789.0,41924.0,,37999.9,,46741.0,153317.2,,27522.9,-2625.0,,True,,False,False,,True,True
Kentucky,103550,184989.0,,180419.7,,162206.0,339296.6,,121773.3,87283.0,81439.0,,76869.7,,58656.0,235746.6,,18223.3,-16267.0,,True,,True,False,,True,True
Louisiana,87161,183092.0,,201980.7,,182378.0,236139.9,,155367.6,85786.0,95931.0,,114819.7,,95217.0,148978.9,,68206.6,-1375.0,,False,,True,False,,True,True
Maine,15474,26418.0,,26512.6,,23891.0,32813.3,,21656.1,18771.0,10944.0,,11038.6,,8417.0,17339.3,,6182.1,3297.0,,False,,True,False,,True,True
Maryland,77908,141351.0,,144927.7,,129680.0,141707.7,,162313.2,81112.0,63443.0,,67019.7,,51772.0,63799.7,,84405.2,3204.0,,False,,True,False,,False,True
Massachusetts,152545,300678.0,,277140.7,,276631.0,303976.4,,352893.2,171337.0,148133.0,,124595.7,,124086.0,151431.4,,200348.2,18792.0,,True,,True,False,,False,True
Michigan,82997,171024.0,,131602.6,,176905.0,167685.7,,211976.6,91930.0,88027.0,,48605.6,,93908.0,84688.7,,128979.6,8933.0,,True,,False,True,,False,True
Minnesota,49377,116067.0,,101904.1,,114770.0,57388.9,,111204.4,49333.0,66690.0,,52527.1,,65393.0,8011.9,,61827.4,-44.0,,True,,True,True,,True,True
Mississippi,57223,116137.0,,102696.3,,119008.0,120418.5,,90511.2,54602.0,58914.0,,45473.3,,61785.0,63195.5,,33288.2,-2621.0,,True,,False,False,,True,True
Missouri,85007,151466.0,,144711.2,,153429.0,94755.4,,141814.7,75627.0,66459.0,,59704.2,,68422.0,9748.4,,56807.7,-9380.0,,True,,False,True,,True,True
Montana,13735,29106.0,,21653.7,,27662.0,18207.6,,15824.2,11209.0,15371.0,,7918.7,,13927.0,4472.6,,2089.2,-2526.0,,True,,True,True,,True,True
Nebraska,25100,51506.0,,49269.3,,49727.0,30509.4,,62153.3,24586.0,26406.0,,24169.3,,24627.0,5409.4,,37053.3,-514.0,,True,,True,True,,False,True
Nevada,47179,122066.0,,104077.1,,99896.0,61729.7,,119194.1,57866.0,74887.0,,56898.1,,52717.0,14550.7,,72015.1,10687.0,,True,,True,True,,True,True
New Hampshire,22795,39655.0,,35546.0,,40383.0,83389.6,,26940.9,23513.0,16860.0,,12751.0,,17588.0,60594.6,,4145.9,718.0,,True,,False,False,,True,True
New Jersey,207717,266336.0,,332890.6,,221013.0,234426.2,,176609.3,149746.0,58619.0,,125173.6,,13296.0,26709.2,,-31107.7,-57971.0,,False,,True,True,,True,True
New Mexico,29934,67025.0,,58741.0,,61159.0,54476.8,,51766.7,32247.0,37091.0,,28807.0,,31225.0,24542.8,,21832.7,2313.0,,True,,True,True,,True,True
New York,516756,753333.0,,877141.2,,651801.0,1205839.3,,1324017.2,428343.0,236577.0,,360385.2,,135045.0,689083.3,,807261.2,-88413.0,,False,,True,False,,False,True
North Carolina,244193,391426.0,,397610.0,,440902.0,490873.0,,343994.3,253994.0,147233.0,,153417.0,,196709.0,246680.0,,99801.3,9801.0,,False,,False,False,,True,True
North Dakota,5231,11669.0,,11638.1,,16828.0,4105.4,,12012.2,4511.0,6438.0,,6407.1,,11597.0,-1125.6,,6781.2,-720.0,,True,,False,True,,False,True
Ohio,195177,394128.0,,360271.7,,415499.0,270376.5,,318165.9,223246.0,198951.0,,165094.7,,220322.0,75199.5,,122988.9,28069.0,,True,,False,True,,True,True
Oklahoma,98927,201740.0,,185979.6,,191835.0,180970.2,,154376.7,90770.0,102813.0,,87052.6,,92908.0,82043.2,,55449.7,-8157.0,,True,,True,True,,True,True
Oregon,30839,56896.0,,53035.1,,52546.0,62996.0,,39518.4,31345.0,26057.0,,22196.1,,21707.0,32157.0,,8679.4,506.0,,True,,True,False,,True,True
Pennsylvania,214254,396879.0,,330285.3,,375808.0,229997.7,,360334.5,217587.0,182625.0,,116031.3,,161554.0,15743.7,,146080.5,3333.0,,True,,True,True,,True,True
Rhode Island,28008,67655.0,,55910.3,,47912.0,34881.7,,37189.7,14867.0,39647.0,,27902.3,,19904.0,6873.7,,9181.7,-13141.0,,True,,True,True,,True,True
South Carolina,164988,261562.0,,237249.0,,195974.0,281524.4,,230225.9,136121.0,96574.0,,72261.0,,30986.0,116536.4,,65237.9,-28867.0,,True,,True,False,,True,True
South Dakota,9392,21504.0,,17748.5,,20588.0,6030.6,,17091.5,8554.0,12112.0,,8356.5,,11196.0,-3361.4,,7699.5,-838.0,,True,,True,True,,True,True
Tennessee,127437,296226.0,,292859.3,,382544.0,129426.9,,231928.1,144780.0,168789.0,,165422.3,,255107.0,1989.9,,104491.1,17343.0,,True,,False,True,,True,True
Texas,697448,1055138.0,,1084519.2,,1011913.0,1477525.2,,758779.1,532627.0,357690.0,,387071.2,,314465.0,780077.2,,61331.1,-164821.0,,False,,True,False,,True,True
Utah,67047,154483.0,,148872.5,,153704.0,86783.9,,97278.3,74669.0,87436.0,,81825.5,,86657.0,19736.9,,30231.3,7622.0,,True,,True,True,,True,True
Vermont,6308,7707.0,,6976.9,,9172.0,25729.0,,7821.2,5383.0,1399.0,,668.9,,2864.0,19421.0,,1513.2,-925.0,,True,,False,False,,False,True
Virginia,180599,244720.0,,247522.1,,218746.0,290127.7,,138437.5,104051.0,64121.0,,66923.1,,38147.0,109528.7,,-42161.5,-76548.0,,False,,True,False,,True,False
Washington,68178,173901.0,,385105.9,,111602.0,496238.4,,139633.4,64111.0,105723.0,,316927.9,,43424.0,428060.4,,71455.4,-4067.0,,False,,True,False,,True,True
West Virginia,31802,73157.0,,65833.2,,73115.0,75423.3,,64195.4,41209.0,41355.0,,34031.2,,41313.0,43621.3,,32393.4,9407.0,,True,,True,False,,True,True
Wisconsin,68752,171374.0,,158857.1,,151008.0,54570.2,,152874.4,67951.0,102622.0,,90105.1,,82256.0,-14181.8,,84122.4,-801.0,,True,,True,True,,True,True
Wyoming,7631,15022.0,,12109.7,,13874.0,15709.0,,18034.8,5825.0,7391.0,,4478.7,,6243.0,8078.0,,10403.8,-1806.0,,True,,True,False,,False,True
US,6324962,11942700.0,11935691.0,13161481.0,12392585.0,10315165.0,12015730.8,12134483.0,12411881.5,6326749.0,5617738.0,5610729.0,6836519.0,6067623.0,3990203.0,5690768.8,5809521.0,6086919.5,1787.0,True,False,False,True,False,False,False,True
