,mean_rank
LNQ-ens1,5.6
LANL-GrowthRate,7.2
IEM_MED-CovidProject,7.4
Karlen-pypm,7.5
RobertWalraven-ESG,7.8
USC-SI_kJalpha,10.9
JHU_IDD-CovidSP,11.6
JHUAPL-Bucky,12.3
JHU_UNC_GAS-StatMechPool,12.5
COVIDhub-ensemble,12.9
UVA-Ensemble,13.5
MOBS-GLEAM_COVID,14.5
BPagano-RtDriven,15.2
Microsoft-DeepSTIA,15.9
UCLA-SuEIR,16.3
MIT_ISOLAT-Mixtures,16.3
Google_Harvard-CPF,16.9
CovidAnalytics-DELPHI,16.9
TTU-squider,17.3
CU-select,17.5
DDS-NBDS,19.0
Covid19Sim-Simulator,19.6
OneQuietNight-ML,19.8
COVIDhub-trained_ensemble,19.9
SigSci-TS,20.5
IowaStateLW-STEM,20.5
CEID-Walk,21.5
JHU_CSSE-DECOM,21.8
COVIDhub-baseline,22.0
UMich-RidgeTfReg,24.1
