,mean_rank
IEM_MED-CovidProject,7.7
Microsoft-DeepSTIA,7.8
LNQ-ens1,8.5
COVIDhub-ensemble,8.7
RobertWalraven-ESG,9.5
Karlen-pypm,10.6
CU-select,10.7
USC-SI_kJalpha,11.3
UVA-Ensemble,11.7
Covid19Sim-Simulator,13.6
Google_Harvard-CPF,13.9
MIT_ISOLAT-Mixtures,14.8
OliverWyman-Navigator,14.8
BPagano-RtDriven,15.1
JHU_CSSE-DECOM,15.1
SigSci-TS,15.3
LANL-GrowthRate,15.4
CovidAnalytics-DELPHI,15.8
JHU_UNC_GAS-StatMechPool,16.1
JHUAPL-Bucky,17.1
OneQuietNight-ML,17.6
CEID-Walk,18.0
COVIDhub-baseline,18.0
UMich-RidgeTfReg,18.8
MOBS-GLEAM_COVID,19.4
JHU_IDD-CovidSP,19.4
IowaStateLW-STEM,20.1
TTU-squider,21.7
COVIDhub-trained_ensemble,28.7
