,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Alabama,21372,47187.0,37755.8,44603.5,40163.0,40858.0,49380.0,,39696.2,22161.0,42519.4,,33332.9,,30663.6,42045.0,60516.1,47375.0,31002.8,33417.5,32457.4,27763.5,31911.0,26899.9,56963.9,32630.0,37518.0,44181.0,,33159.3,,42039.0,,46364.8,42284.2,42279.0,,25815.0,16383.8,23231.5,18791.0,19486.0,28008.0,,18324.2,789.0,21147.4,,11960.9,,9291.6,20673.0,39144.1,26003.0,9630.8,12045.5,11085.4,6391.5,10539.0,5527.9,35591.9,11258.0,16146.0,22809.0,,11787.3,,20667.0,,24992.8,20912.2,20907.0,,True,True,True,True,False,,True,True,True,,True,,True,True,False,False,True,True,True,True,True,True,False,True,True,True,,True,,True,,True,True,True,
Alaska,3004,3129.0,1923.0,3059.8,2441.0,3412.0,1320.0,,2987.9,959.0,1496.6,,2568.3,,3159.2,,2896.8,4078.0,2255.3,1328.5,2083.2,1774.0,2254.8,861.3,6229.4,2022.4,2617.0,4385.0,,1555.2,4206.0,1576.0,,2885.1,2443.6,2687.0,,125.0,-1081.0,55.8,-563.0,408.0,-1684.0,,-16.1,-2045.0,-1507.4,,-435.7,,155.2,,-107.2,1074.0,-748.7,-1675.5,-920.8,-1230.0,-749.2,-2142.7,3225.4,-981.6,-387.0,1381.0,,-1448.8,1202.0,-1428.0,,-118.9,-560.4,-317.0,,False,True,False,False,False,,True,False,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,True,False,False,
Arizona,36614,77142.0,65330.9,76730.5,56865.0,44142.0,118967.0,,70069.5,73770.0,76457.7,,82677.6,,37914.5,76549.0,61209.2,60845.0,69018.7,31487.5,46648.7,29277.5,48831.9,40733.3,53254.1,43147.5,66344.0,35249.0,,45153.5,71920.0,78656.8,,70621.7,60691.9,52933.0,,40528.0,28716.9,40116.5,20251.0,7528.0,82353.0,,33455.5,37156.0,39843.7,,46063.6,,1300.5,39935.0,24595.2,24231.0,32404.7,-5126.5,10034.7,-7336.5,12217.9,4119.3,16640.1,6533.5,29730.0,-1365.0,,8539.5,35306.0,42042.8,,34007.7,24077.9,16319.0,,True,True,True,True,False,,True,True,True,,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,True,True,True,
Arkansas,13131,35031.0,19762.1,34366.7,28635.0,27097.0,32111.0,,31123.6,26194.0,32087.5,,26849.2,,28562.1,34164.0,16261.8,31769.0,21048.5,23877.5,21606.0,24167.0,26372.9,30273.6,21704.9,27792.8,31575.0,32772.0,,21786.8,,16603.5,,33684.8,34601.3,32305.0,,21900.0,6631.1,21235.7,15504.0,13966.0,18980.0,,17992.6,13063.0,18956.5,,13718.2,,15431.1,21033.0,3130.8,18638.0,7917.5,10746.5,8475.0,11036.0,13241.9,17142.6,8573.9,14661.8,18444.0,19641.0,,8655.8,,3472.5,,20553.8,21470.3,19174.0,,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,
California,155337,291876.0,235368.8,300966.2,197131.0,175383.0,282880.0,,251214.3,93430.0,394294.6,,267443.5,,147433.4,288857.0,173085.9,186285.0,309461.2,94850.0,141628.2,136005.5,211331.5,105619.0,325174.4,174092.2,252701.0,96278.0,,177349.3,,433582.8,,366599.1,40176.8,210065.0,,136539.0,80031.8,145629.2,41794.0,20046.0,127543.0,,95877.3,-61907.0,238957.6,,112106.5,,-7903.6,133520.0,17748.9,30948.0,154124.2,-60487.0,-13708.8,-19331.5,55994.5,-49718.0,169837.4,18755.2,97364.0,-59059.0,,22012.3,,278245.8,,211262.1,-115160.2,54728.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,True,False,True,True,True,True,True,False,True,True,True,,True,,False,,False,True,True,
Colorado,23206,27711.0,8583.6,29365.8,23396.0,25940.0,31224.0,,27943.1,25137.0,21316.2,,24025.4,,22960.0,22840.0,10485.3,25872.0,24928.2,22811.0,18720.9,22045.5,23940.4,12894.5,26403.9,21402.1,25000.0,30692.0,,20429.8,31251.0,7203.3,,31538.8,13147.6,24763.0,,4505.0,-14622.4,6159.8,190.0,2734.0,8018.0,,4737.1,1931.0,-1889.8,,819.4,,-246.0,-366.0,-12720.7,2666.0,1722.2,-395.0,-4485.1,-1160.5,734.4,-10311.5,3197.9,-1803.9,1794.0,7486.0,,-2776.2,8045.0,-16002.7,,8332.8,-10058.4,1557.0,,False,False,True,True,False,,False,True,True,,True,,True,True,False,True,True,True,True,True,True,False,True,True,True,False,,True,False,False,,False,False,True,
Connecticut,20574,28047.0,18674.0,28092.8,24514.0,24137.0,28058.0,,25501.4,23790.0,1911728.9,,33069.9,,18193.3,25923.0,18020.3,24896.0,21079.9,27687.5,28645.5,14546.5,22039.9,23130.8,21599.5,21146.0,25367.0,27419.0,,23279.7,23395.0,26906.8,,32147.2,34945.7,14392.0,,7473.0,-1900.0,7518.8,3940.0,3563.0,7484.0,,4927.4,3216.0,1891154.9,,12495.9,,-2380.7,5349.0,-2553.7,4322.0,505.9,7113.5,8071.5,-6027.5,1465.9,2556.8,1025.5,572.0,4793.0,6845.0,,2705.7,2821.0,6332.8,,11573.2,14371.7,-6182.0,,True,False,True,True,False,,True,True,False,,False,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,False,False,True,
Delaware,6685,6843.0,6570.2,6800.3,6074.0,6430.0,4090.0,,7199.3,6028.0,12297.4,,5384.3,,5260.6,7752.0,6004.5,6819.0,6163.0,4037.0,5273.7,4851.5,5866.1,7419.7,8776.5,6030.6,6642.0,7238.0,,5423.4,4379.0,9256.9,,9388.6,7153.4,5427.0,,158.0,-114.8,115.3,-611.0,-255.0,-2595.0,,514.3,-657.0,5612.4,,-1300.7,,-1424.4,1067.0,-680.5,134.0,-522.0,-2648.0,-1411.3,-1833.5,-818.9,734.7,2091.5,-654.4,-43.0,553.0,,-1261.6,-2306.0,2571.9,,2703.6,468.4,-1258.0,,True,True,False,False,False,,False,False,False,,False,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,False,
District of Columbia,2601,3645.0,2613.0,3773.6,3267.0,1969.0,3326.0,,3556.9,3105.0,3587.0,,2136.4,,3165.3,3740.0,2694.5,3699.0,2885.3,1986.5,2877.3,3641.5,2911.8,,,,3715.0,1792.0,,3190.0,5047.0,4301.4,,3642.4,,4181.0,,1044.0,12.0,1172.6,666.0,-632.0,725.0,,955.9,504.0,986.0,,-464.6,,564.3,1139.0,93.5,1098.0,284.3,-614.5,276.3,1040.5,310.8,,,,1114.0,-809.0,,589.0,2446.0,1700.4,,1041.4,,1580.0,,True,False,True,True,True,,True,True,True,,True,,True,False,True,False,True,True,True,True,True,,,,False,True,,True,False,False,,True,,False,
Florida,132323,173310.0,131122.1,172718.2,154408.0,155934.0,260740.0,,167223.2,182691.0,194249.1,,131917.6,,144410.0,179860.0,162718.1,163808.0,148874.8,140531.5,132880.1,110959.5,127850.3,194032.7,137052.3,137806.0,179851.0,167812.0,,133907.6,,143686.7,,144593.7,183899.1,147979.0,,40987.0,-1200.9,40395.2,22085.0,23611.0,128417.0,,34900.2,50368.0,61926.1,,-405.4,,12087.0,47537.0,30395.1,31485.0,16551.8,8208.5,557.1,-21363.5,-4472.7,61709.7,4729.3,5483.0,47528.0,35489.0,,1584.6,,11363.7,,12270.7,51576.1,15656.0,,True,True,True,True,False,,True,False,False,,True,,True,False,True,True,True,True,True,True,True,False,True,True,False,True,,True,,True,,True,False,True,
