,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1980,2152.0,,,,1720.0,597.8,,,800.1,,,172.0,,,,-260.0,-1382.2,,,-1179.9,,,,,,False,False,,,False,,
01003,5759,9976.0,,,,5829.0,6543.0,,,5383.2,7967.0,,4217.0,,,,70.0,784.0,,,-375.8,2208.0,,,,,True,True,,,True,True,
01005,587,1040.0,,,,702.0,2310.8,,,,,,453.0,,,,115.0,1723.8,,,,,,,,,True,False,,,,,
01007,587,992.0,,,,701.0,368.5,,,,,,405.0,,,,114.0,-218.5,,,,,,,,,True,True,,,,,
01009,1370,2264.0,,,,2002.0,505.2,,,1415.7,,,894.0,,,,632.0,-864.8,,,45.7,,,,,,True,True,,,True,,
01011,287,536.0,,,,195.0,1903.5,,,,,,249.0,,,,-92.0,1616.5,,,,,,,,,True,False,,,,,
01013,426,672.0,,,,521.0,487.8,,,,,,246.0,,,,95.0,61.8,,,,,,,,,True,True,,,,,
01015,3540,3952.0,,,,4244.0,768.2,,,1531.6,,,412.0,,,,704.0,-2771.8,,,-2008.4,,,,,,False,False,,,False,,
01017,1021,1464.0,,,,990.0,2036.0,,,860.0,,,443.0,,,,-31.0,1015.0,,,-161.0,,,,,,True,False,,,True,,
01019,334,536.0,,,,822.0,166.8,,,,,,202.0,,,,488.0,-167.2,,,,,,,,,False,True,,,,,
01021,849,1656.0,,,,1364.0,1367.6,,,791.4,,,807.0,,,,515.0,518.6,,,-57.6,,,,,,True,True,,,True,,
01023,59,48.0,,,,451.0,7.7,,,,,,-11.0,,,,392.0,-51.3,,,,,,,,,False,False,,,,,
01025,998,1240.0,,,,715.0,611.5,,,599.7,,,242.0,,,,-283.0,-386.5,,,-398.3,,,,,,False,False,,,False,,
01027,282,440.0,,,,405.0,152.1,,,,,,158.0,,,,123.0,-129.9,,,,,,,,,True,True,,,,,
01029,330,424.0,,,,527.0,107.6,,,,,,94.0,,,,197.0,-222.4,,,,,,,,,False,False,,,,,
01031,1561,2272.0,,,,1550.0,1048.2,,,1493.1,,,711.0,,,,-11.0,-512.8,,,-67.9,,,,,,True,True,,,True,,
01033,1275,2632.0,,,,2158.0,1135.7,,,1021.9,,,1357.0,,,,883.0,-139.3,,,-253.1,,,,,,True,True,,,True,,
01035,202,312.0,,,,300.0,113.3,0.0,,,,,110.0,,,,98.0,-88.7,-202.0,,,,,,,,True,True,False,,,,
01037,365,368.0,,,,230.0,609.4,3.2,,,,,3.0,,,,-135.0,244.4,-361.8,,,,,,,,False,False,False,,,,
01039,1012,1248.0,,,,1164.0,478.1,131.0,,1281.6,,,236.0,,,,152.0,-533.9,-881.0,,269.6,,,,,,True,False,False,,False,,
01041,480,512.0,,,,349.0,228.2,30.9,,,,,32.0,,,,-131.0,-251.8,-449.1,,,,,,,,False,False,False,,,,
01043,1650,4136.0,,,,3416.0,1184.1,383.3,,2981.0,,,2486.0,,,,1766.0,-465.9,-1266.7,,1331.0,,,,,,True,True,True,,True,,
01045,1233,1936.0,,,,1531.0,850.7,215.9,,914.1,,,703.0,,,,298.0,-382.3,-1017.1,,-318.9,,,,,,True,True,False,,True,,
01047,580,1136.0,,,,927.0,753.7,64.1,,510.4,,,556.0,,,,347.0,173.7,-515.9,,-69.6,,,,,,True,True,True,,True,,
01049,1437,2352.0,,,,3112.0,358.5,0.0,,1074.3,,,915.0,,,,1675.0,-1078.5,-1437.0,,-362.7,,,,,,False,False,False,,True,,
01051,2746,5472.0,,,,2328.0,3001.7,256.6,,3531.9,,,2726.0,,,,-418.0,255.7,-2489.4,,785.9,,,,,,True,True,True,,True,,
01053,1061,1552.0,,,,1183.0,1049.5,68.1,,643.2,,,491.0,,,,122.0,-11.5,-992.9,,-417.8,,,,,,True,True,False,,True,,
01055,2898,5168.0,,,,3997.0,1026.2,0.0,,3490.3,,,2270.0,,,,1099.0,-1871.8,-2898.0,,592.3,,,,,,True,True,False,,True,,
01057,546,600.0,,,,641.0,132.4,0.0,,,,,54.0,,,,95.0,-413.6,-546.0,,,,,,,,False,False,False,,,,
01059,672,1456.0,,,,1610.0,765.3,50.5,,669.4,,,784.0,,,,938.0,93.3,-621.5,,-2.6,,,,,,False,True,True,,True,,
01061,671,1080.0,,,,894.0,928.0,74.4,,,,,409.0,,,,223.0,257.0,-596.6,,,,,,,,True,True,False,,,,
01063,195,456.0,,,,194.0,338.1,10.0,,,,,261.0,,,,-1.0,143.1,-185.0,,,,,,,,True,True,True,,,,
01065,607,952.0,,,,460.0,216.4,46.1,,,,,345.0,,,,-147.0,-390.6,-560.9,,,,,,,,True,False,False,,,,
01067,541,992.0,,,,461.0,597.7,60.4,,,,,451.0,,,,-80.0,56.7,-480.6,,,,,,,,True,True,False,,,,
01069,2619,4664.0,,,,2941.0,3492.9,383.8,,2304.6,,,2045.0,,,,322.0,873.9,-2235.2,,-314.4,,,,,,True,True,False,,True,,
01071,1275,2664.0,,,,2035.0,1100.8,0.0,,1163.9,,,1389.0,,,,760.0,-174.2,-1275.0,,-111.1,,,,,,True,True,True,,True,,
01073,17285,34744.0,,,,24451.0,15689.4,4917.7,,9521.2,15244.0,,17459.0,,,,7166.0,-1595.6,-12367.3,,-7763.8,-2041.0,,,,,True,True,True,,True,True,
01075,259,480.0,,,,489.0,101.2,0.0,,,,,221.0,,,,230.0,-157.8,-259.0,,,,,,,,False,True,False,,,,
01077,1981,4592.0,,,,3648.0,2066.9,533.2,,3036.0,,,2611.0,,,,1667.0,85.9,-1447.8,,1055.0,,,,,,True,True,True,,True,,
01079,724,1424.0,,,,1391.0,466.2,38.8,,,,,700.0,,,,667.0,-257.8,-685.2,,,,,,,,True,True,True,,,,
01081,4442,5664.0,,,,4370.0,3894.0,0.5,,4206.8,4358.0,,1222.0,,,,-72.0,-548.0,-4441.5,,-235.2,-84.0,,,,,True,True,False,,True,True,
01083,2361,4104.0,,,,3176.0,1107.2,0.0,,4117.8,,,1743.0,,,,815.0,-1253.8,-2361.0,,1756.8,,,,,,True,True,False,,False,,
