,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
01001,392,780.0,,837.6,,507.0,505.0,709.0,,,,,422.3,,344.8,,,521.0,652.5,,397.0,326.5,,389.0,464.3,,,,657.0,532.0,430.1,,,,,,514.2,,,,778.0,388.0,,445.6,,115.0,113.0,317.0,,,,,30.3,,-47.2,,,129.0,260.5,,5.0,-65.5,,-3.0,72.3,,,,265.0,140.0,38.1,,,,,,122.2,,,,386.0,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True
01003,1046,2238.0,,2239.4,,1498.0,1513.0,1903.0,,,,,1304.0,,1395.7,,,1689.0,2365.4,,1283.7,751.0,,1424.5,1342.8,,,,1984.0,1629.0,1110.1,,,,,,1280.4,904.0,,,2072.5,1192.0,,1193.4,,452.0,467.0,857.0,,,,,258.0,,349.7,,,643.0,1319.4,,237.7,-295.0,,378.5,296.8,,,,938.0,583.0,64.1,,,,,,234.4,-142.0,,,1026.5,,False,,True,True,True,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,True
01005,113,213.0,,185.8,,168.0,164.0,230.0,,,,,151.1,,141.3,,,206.0,1367.1,,183.9,,,132.0,143.8,,,,228.0,118.0,66.3,,,,,,,,,,198.3,100.0,,72.8,,55.0,51.0,117.0,,,,,38.1,,28.3,,,93.0,1254.1,,70.9,,,19.0,30.8,,,,115.0,5.0,-46.7,,,,,,,,,,85.3,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,False,True,True,,,,,,,,,,True
01007,116,150.0,,141.5,,123.0,122.0,95.0,,,,,138.0,,72.7,,,208.0,113.0,,115.3,,,45.0,92.8,,,,104.0,134.0,94.9,,,,,,194.7,,,,187.6,34.0,,25.5,,7.0,6.0,-21.0,,,,,22.0,,-43.3,,,92.0,-3.0,,-0.7,,,-71.0,-23.2,,,,-12.0,18.0,-21.1,,,,,,78.7,,,,71.6,,True,,True,True,True,,,,,True,,False,,,False,True,,True,,,False,True,,,,True,True,True,,,,,,False,,,,False
01009,191,759.0,,749.4,,530.0,466.0,702.0,,,,,360.3,,367.4,,,576.0,556.2,,417.6,161.0,,292.0,453.3,,,,569.0,500.0,511.2,,,,,,651.5,,,,572.3,568.0,,558.4,,339.0,275.0,511.0,,,,,169.3,,176.4,,,385.0,365.2,,226.6,-30.0,,101.0,262.3,,,,378.0,309.0,320.2,,,,,,460.5,,,,381.3,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True
01011,51,138.0,,132.8,,115.0,107.0,152.0,,,,,80.0,,78.4,,,81.0,308.6,,82.0,,,120.0,109.1,,,,133.0,84.0,66.6,,,,,,,,,,167.5,87.0,,81.8,,64.0,56.0,101.0,,,,,29.0,,27.4,,,30.0,257.6,,31.0,,,69.0,58.1,,,,82.0,33.0,15.6,,,,,,,,,,116.5,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,,,,False
01013,93,189.0,,196.7,,139.0,118.0,142.0,,,,,119.8,,123.1,,,169.0,280.9,,122.1,,,94.5,113.5,,,,171.0,133.0,81.1,,,,,,,,,,174.1,96.0,,103.7,,46.0,25.0,49.0,,,,,26.8,,30.1,,,76.0,187.9,,29.1,,,1.5,20.5,,,,78.0,40.0,-11.9,,,,,,,,,,81.1,,False,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,,,,True
01015,864,1350.0,,1285.4,,920.0,886.0,1558.0,,,,,784.5,,608.4,,,1009.0,843.7,,796.1,379.5,,848.0,855.8,,,,1041.0,907.0,1026.4,,,,,,898.4,,,,1318.4,486.0,,421.4,,56.0,22.0,694.0,,,,,-79.5,,-255.6,,,145.0,-20.3,,-67.9,-484.5,,-16.0,-8.2,,,,177.0,43.0,162.4,,,,,,34.4,,,,454.4,,True,,True,True,False,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True
01017,148,255.0,,266.0,,172.0,156.0,162.0,,,,,234.8,,165.1,,,272.0,342.1,,207.6,156.0,,46.0,157.6,,,,231.0,154.0,77.7,,,,,,225.2,,,,247.4,107.0,,118.0,,24.0,8.0,14.0,,,,,86.8,,17.1,,,124.0,194.1,,59.6,8.0,,-102.0,9.6,,,,83.0,6.0,-70.3,,,,,,77.2,,,,99.4,,False,,True,True,True,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,True
01019,39,123.0,,118.2,,104.0,92.0,73.0,,,,,104.6,,109.2,,,225.0,105.4,,110.2,,,33.0,62.2,,,,85.0,108.0,176.4,,,,,,,,,,108.1,84.0,,79.2,,65.0,53.0,34.0,,,,,65.6,,70.2,,,186.0,66.4,,71.2,,,-6.0,23.2,,,,46.0,69.0,137.4,,,,,,,,,,69.1,,True,,True,True,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,True,False,,,,,,,,,,True
01021,259,234.0,,246.9,,209.0,180.0,140.0,,,,,231.1,,259.9,,,418.0,290.0,,183.9,77.0,,110.0,172.3,,,,174.0,209.0,234.7,,,,,,158.8,,,,203.9,-25.0,,-12.1,,-50.0,-79.0,-119.0,,,,,-27.9,,0.9,,,159.0,31.0,,-75.1,-182.0,,-149.0,-86.7,,,,-85.0,-50.0,-24.3,,,,,,-100.2,,,,-55.1,,True,,False,False,False,,,,,False,,True,,,False,False,,False,False,,False,False,,,,False,False,True,,,,,,False,,,,False
01023,10,30.0,,28.6,,30.0,47.0,28.0,,,,,32.7,,30.3,,,120.0,45.5,,32.4,,,21.0,16.4,,,,10.0,38.0,34.6,,,,,,,,,,59.0,20.0,,18.6,,20.0,37.0,18.0,,,,,22.7,,20.3,,,110.0,35.5,,22.4,,,11.0,6.4,,,,0.0,28.0,24.6,,,,,,,,,,49.0,,True,,False,False,True,,,,,False,,False,,,False,False,,False,,,True,True,,,,True,False,False,,,,,,,,,,False
01025,109,435.0,,433.4,,282.0,293.0,431.0,,,,,273.4,,104.0,,,216.0,1006.1,,273.7,,,198.0,251.5,,,,474.0,294.0,64.6,,,,,,299.2,,,,536.8,326.0,,324.4,,173.0,184.0,322.0,,,,,164.4,,-5.0,,,107.0,897.1,,164.7,,,89.0,142.5,,,,365.0,185.0,-44.4,,,,,,190.2,,,,427.8,,True,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,False,True,True,,,,,,True,,,,False
01027,84,93.0,,97.5,,76.0,73.0,60.0,,,,,79.8,,86.9,,,122.0,57.9,,65.9,,,43.0,73.4,,,,52.0,76.0,106.7,,,,,,,,,,101.4,9.0,,13.5,,-8.0,-11.0,-24.0,,,,,-4.2,,2.9,,,38.0,-26.1,,-18.1,,,-41.0,-10.6,,,,-32.0,-8.0,22.7,,,,,,,,,,17.4,,False,,True,False,False,,,,,True,,True,,,False,False,,False,,,False,False,,,,False,True,False,,,,,,,,,,False
01029,57,156.0,,144.3,,110.0,97.0,51.0,,,,,80.3,,60.2,,,146.0,186.7,,80.6,,,81.0,91.0,,,,119.0,115.0,139.5,,,,,,,,,,110.3,99.0,,87.3,,53.0,40.0,-6.0,,,,,23.3,,3.2,,,89.0,129.7,,23.6,,,24.0,34.0,,,,62.0,58.0,82.5,,,,,,,,,,53.3,,True,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,,,,True
01031,168,642.0,,670.6,,492.0,462.0,666.0,,,,,354.8,,289.4,,,473.0,746.0,,434.9,173.0,,415.0,417.1,,,,559.0,486.0,650.9,,,,,,607.0,,,,541.3,474.0,,502.6,,324.0,294.0,498.0,,,,,186.8,,121.4,,,305.0,578.0,,266.9,5.0,,247.0,249.1,,,,391.0,318.0,482.9,,,,,,439.0,,,,373.3,,False,,True,True,False,,,,,True,,True,,,True,False,,True,True,,True,True,,,,True,True,False,,,,,,True,,,,True
01033,138,471.0,,483.1,,412.0,349.0,498.0,,,,,346.9,,295.0,,,515.0,832.2,,409.9,153.0,,246.0,309.7,,,,373.0,441.0,208.6,,,,,,302.1,,,,553.0,333.0,,345.1,,274.0,211.0,360.0,,,,,208.9,,157.0,,,377.0,694.2,,271.9,15.0,,108.0,171.7,,,,235.0,303.0,70.6,,,,,,164.1,,,,415.0,,False,,True,True,False,,,,,True,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,,,,False
01035,36,90.0,,92.5,,75.0,73.0,84.0,,,,,62.8,,66.5,,,102.0,62.0,,53.4,,,68.0,56.1,,,,86.0,70.0,83.5,,,,,,,,,,87.8,54.0,,56.5,,39.0,37.0,48.0,,,,,26.8,,30.5,,,66.0,26.0,,17.4,,,32.0,20.1,,,,50.0,34.0,47.5,,,,,,,,,,51.8,,False,,True,True,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,True,True,,,,,,,,,,True
01037,142,216.0,,199.2,,142.0,147.0,240.0,,,,,48.3,,121.8,,,93.0,407.4,,73.8,,,233.0,129.4,,,,226.0,130.0,90.9,,,,,,,,,,159.6,74.0,,57.2,,0.0,5.0,98.0,,,,,-93.7,,-20.2,,,-49.0,265.4,,-68.2,,,91.0,-12.6,,,,84.0,-12.0,-51.1,,,,,,,,,,17.6,,True,,True,True,False,,,,,False,,True,,,True,False,,True,,,False,True,,,,False,True,True,,,,,,,,,,True
