,mean_rank
USC-SI_kJalpha,12.0
COVIDhub-baseline,12.3
Covid19Sim-Simulator,12.5
COVIDhub-trained_ensemble,12.8
MOBS-GLEAM_COVID,12.9
COVIDhub-ensemble,12.9
IowaStateLW-STEM,13.3
CEID-Walk,13.4
JHU_CSSE-DECOM,14.5
SigSci-TS,14.9
UCLA-SuEIR,15.0
JHU_IDD-CovidSP,15.1
Microsoft-DeepSTIA,15.4
LNQ-ens1,16.4
RobertWalraven-ESG,16.7
UVA-Ensemble,17.0
IUPUI-HkPrMobiDyR,17.1
UChicagoCHATTOPADHYAY-UnIT,17.2
OneQuietNight-ML,18.0
IEM_MED-CovidProject,18.1
CU-select,18.3
DDS-NBDS,18.4
Karlen-pypm,18.6
OliverWyman-Navigator,19.1
Google_Harvard-CPF,19.4
JHUAPL-Bucky,20.0
MIT_ISOLAT-Mixtures,20.5
BPagano-RtDriven,20.6
CovidAnalytics-DELPHI,20.7
Geneva-DetGrowth,22.4
TTU-squider,23.3
UMich-RidgeTfReg,24.7
JHU_UNC_GAS-StatMechPool,25.3
LANL-GrowthRate,26.2
