,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1094,1842.0,1845.0,,,,,1477.0,3650.8,1451.1,1885.0,,1489.4,,,748.0,751.0,,,,,383.0,2556.8,357.1,791.0,,395.4,,,False,,,,,True,False,True,False,,True,,
01003,3538,5844.0,4644.0,,,,,5917.0,2962.9,4544.2,4341.5,,2019.2,3447.0,,2306.0,1106.0,,,,,2379.0,-575.1,1006.2,803.5,,-1518.8,-91.0,,True,,,,,False,True,True,True,,True,True,
01005,392,450.0,103.0,,,,,553.0,292.6,452.3,442.0,,,,,58.0,-289.0,,,,,161.0,-99.4,60.3,50.0,,,,,False,,,,,False,False,False,True,,,,
01007,306,636.0,437.0,,,,,560.0,677.8,433.7,527.0,,248.3,,,330.0,131.0,,,,,254.0,371.8,127.7,221.0,,-57.7,,,True,,,,,True,False,True,True,,True,,
01009,807,1470.0,2355.0,,,,,1906.0,883.8,1075.4,1166.0,,1443.0,,,663.0,1548.0,,,,,1099.0,76.8,268.4,359.0,,636.0,,,False,,,,,False,True,True,True,,True,,
01011,191,222.0,97.0,,,,,162.0,54.1,252.1,177.0,,,,,31.0,-94.0,,,,,-29.0,-136.9,61.1,-14.0,,,,,False,,,,,True,False,False,True,,,,
01013,272,354.0,197.0,,,,,477.0,200.6,399.1,375.0,,,,,82.0,-75.0,,,,,205.0,-71.4,127.1,103.0,,,,,True,,,,,False,True,False,False,,,,
01015,2154,3750.0,5979.0,,,,,3593.0,3958.5,2382.1,3556.0,,1407.9,,,1596.0,3825.0,,,,,1439.0,1804.5,228.1,1402.0,,-746.1,,,False,,,,,True,False,True,True,,True,,
01017,589,1188.0,1257.0,,,,,751.0,1089.5,692.1,770.0,,697.6,,,599.0,668.0,,,,,162.0,500.5,103.1,181.0,,108.6,,,False,,,,,True,True,True,True,,True,,
01019,169,462.0,473.0,,,,,790.0,629.7,326.2,338.5,,,,,293.0,304.0,,,,,621.0,460.7,157.2,169.5,,,,,False,,,,,False,False,True,True,,,,
01021,515,696.0,164.0,,,,,1209.0,651.5,722.9,620.0,,631.7,,,181.0,-351.0,,,,,694.0,136.5,207.9,105.0,,116.7,,,False,,,,,False,True,False,True,,True,,
01023,38,72.0,9.0,,,,,359.0,43.3,83.7,15.0,,,,,34.0,-29.0,,,,,321.0,5.3,45.7,-23.0,,,,,True,,,,,False,True,False,True,,,,
01025,640,1062.0,1834.0,,,,,661.0,592.7,553.6,1199.5,,554.7,,,422.0,1194.0,,,,,21.0,-47.3,-86.4,559.5,,-85.3,,,False,,,,,True,True,True,False,,True,,
01027,177,228.0,89.0,,,,,354.0,207.5,150.6,172.0,,,,,51.0,-88.0,,,,,177.0,30.5,-26.4,-5.0,,,,,False,,,,,False,True,True,True,,,,
01029,203,330.0,85.0,,,,,452.0,369.6,278.8,267.0,,,,,127.0,-118.0,,,,,249.0,166.6,75.8,64.0,,,,,True,,,,,False,False,True,True,,,,
01031,858,1650.0,2198.0,,,,,1360.0,2559.1,1166.1,1534.0,,1047.8,,,792.0,1340.0,,,,,502.0,1701.1,308.1,676.0,,189.8,,,False,,,,,True,False,True,True,,True,,
01033,707,1464.0,1118.0,,,,,1878.0,746.3,1264.3,1225.5,,579.9,,,757.0,411.0,,,,,1171.0,39.3,557.3,518.5,,-127.1,,,True,,,,,False,True,True,True,,True,,
