,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,246,292.0,,311.3,,246.0,607.0,263.0,,,,211.7,,169.2,,,246.0,313.0,,273.7,116.5,,198.0,235.0,,,,292.0,243.0,229.9,,,,,,,,,194.1,370.4,46.0,,65.3,,0.0,361.0,17.0,,,,-34.3,,-76.8,,,0.0,67.0,,27.7,-129.5,,-48.0,-11.0,,,,46.0,-3.0,-16.1,,,,,,,,,-51.9,124.4,,False,,True,False,True,,,,True,,False,,,True,False,,True,False,,False,True,,,,False,True,True,,,,,,,,,False,False
01003,663,766.0,,764.6,,587.0,1335.0,478.0,,,,621.5,,758.3,,,774.0,587.2,,972.8,498.5,,397.0,564.3,,,,777.0,600.0,733.0,,,,,,483.0,,,587.5,1152.2,103.0,,101.6,,-76.0,672.0,-185.0,,,,-41.5,,95.3,,,111.0,-75.8,,309.8,-164.5,,-266.0,-98.7,,,,114.0,-63.0,70.0,,,,,,-180.0,,,-75.5,489.2,,True,,True,False,False,,,,True,,True,,,False,True,,False,False,,False,True,,,,False,True,True,,,,,,False,,,True,False
01005,75,76.0,,61.4,,67.0,188.0,74.0,,,,70.6,,76.4,,,84.0,36.0,,122.2,,,21.0,46.9,,,,78.0,44.0,63.0,,,,,,,,,66.6,108.3,1.0,,-13.6,,-8.0,113.0,-1.0,,,,-4.4,,1.4,,,9.0,-39.0,,47.2,,,-54.0,-28.1,,,,3.0,-31.0,-12.0,,,,,,,,,-8.4,33.3,,False,,False,False,False,,,,False,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,,,False,False
01007,57,118.0,,113.5,,77.0,220.0,52.0,,,,67.4,,70.2,,,100.0,32.6,,86.5,,,43.0,67.9,,,,79.0,82.0,78.5,,,,,,,,,64.0,143.9,61.0,,56.5,,20.0,163.0,-5.0,,,,10.4,,13.2,,,43.0,-24.4,,29.5,,,-14.0,10.9,,,,22.0,25.0,21.5,,,,,,,,,7.0,86.9,,True,,True,False,True,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,,,True,False
01009,140,98.0,,95.5,,130.0,480.0,228.0,,,,179.9,,70.2,,,313.0,370.2,,201.2,75.0,,27.0,102.5,,,,,146.0,296.1,,,,,,,,,47.7,276.4,-42.0,,-44.5,,-10.0,340.0,88.0,,,,39.9,,-69.8,,,173.0,230.2,,61.2,-65.0,,-113.0,-37.5,,,,,6.0,156.1,,,,,,,,,-92.3,136.4,,False,,True,False,False,,,,True,,False,,,False,False,,False,False,,False,True,,,,,True,False,,,,,,,,,False,False
01011,32,36.0,,33.0,,32.0,135.0,55.0,,,,36.3,,18.1,,,31.0,29.7,,55.2,,,22.0,28.7,,,,47.0,27.0,26.2,,,,,,,,,37.2,64.8,4.0,,1.0,,0.0,103.0,23.0,,,,4.3,,-13.9,,,-1.0,-2.3,,23.2,,,-10.0,-3.3,,,,15.0,-5.0,-5.8,,,,,,,,,5.2,32.8,,True,,True,False,False,,,,False,,False,,,True,True,,False,,,False,True,,,,False,False,False,,,,,,,,,False,False
01013,58,70.0,,76.1,,68.0,191.0,51.0,,,,63.4,,58.9,,,68.0,73.5,,77.5,,,34.0,54.4,,,,73.0,50.0,62.3,,,,,,,,,81.2,92.2,12.0,,18.1,,10.0,133.0,-7.0,,,,5.4,,0.9,,,10.0,15.5,,19.5,,,-24.0,-3.6,,,,15.0,-8.0,4.3,,,,,,,,,23.2,34.2,,False,,True,False,True,,,,True,,True,,,True,False,,False,,,False,True,,,,False,True,True,,,,,,,,,False,False
01015,603,522.0,,506.8,,488.0,1055.0,521.0,,,,403.4,,403.0,,,542.0,513.0,,530.1,123.5,,447.5,502.0,,,,480.0,394.0,627.4,,,,,,,,,243.5,708.2,-81.0,,-96.2,,-115.0,452.0,-82.0,,,,-199.6,,-200.0,,,-61.0,-90.0,,-72.9,-479.5,,-155.5,-101.0,,,,-123.0,-209.0,24.4,,,,,,,,,-359.5,105.2,,False,,False,False,False,,,,False,,False,,,True,False,,True,False,,False,False,,,,False,False,True,,,,,,,,,False,False
01017,89,118.0,,114.9,,97.0,298.0,142.0,,,,116.4,,79.3,,,126.0,27.7,,146.3,22.0,,43.0,75.5,,,,95.0,70.0,64.1,,,,,,,,,130.8,168.0,29.0,,25.9,,8.0,209.0,53.0,,,,27.4,,-9.7,,,37.0,-61.3,,57.3,-67.0,,-46.0,-13.5,,,,6.0,-19.0,-24.9,,,,,,,,,41.8,79.0,,True,,True,False,False,,,,True,,True,,,False,False,,False,False,,False,True,,,,True,True,True,,,,,,,,,False,False
01019,26,26.0,,23.8,,28.0,132.0,25.0,,,,50.4,,50.5,,,124.0,28.6,,59.7,,,14.0,22.6,,,,27.0,24.0,107.8,,,,,,,,,1.5,56.8,0.0,,-2.2,,2.0,106.0,-1.0,,,,24.4,,24.5,,,98.0,2.6,,33.7,,,-12.0,-3.4,,,,1.0,-2.0,81.8,,,,,,,,,-24.5,30.8,,False,,False,False,False,,,,False,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,,,False,False
