,predicted_cases,actual_cases,error,perc_error
LANL-GrowthRate,1534828.5,1614939,-80110.5,-5.0%
IEM_MED-CovidProject,1734063.2,1614939,119124.2,7.4%
Karlen-pypm,1782972.9,1614939,168033.9,10.4%
Columbia_UNC-SurvCon,1790275.0,1614939,175336.0,10.9%
LNQ-ens1,1803237.6,1614939,188298.6,11.7%
RobertWalraven-ESG,1824872.0,1614939,209933.0,13.0%
CovidAnalytics-DELPHI,1833737.0,1614939,218798.0,13.5%
BPagano-RtDriven,1851328.5,1614939,236389.5,14.6%
Microsoft-DeepSTIA,1855141.1,1614939,240202.1,14.9%
UpstateSU-GRU,1922880.0,1614939,307941.0,19.1%
UCLA-SuEIR,1969123.3,1614939,354184.3,21.9%
SigSci-TS,1999169.0,1614939,384230.0,23.8%
JHUAPL-Bucky,2010426.0,1614939,395487.0,24.5%
USC-SI_kJalpha,2014146.0,1614939,399207.0,24.7%
OneQuietNight-ML,2014621.0,1614939,399682.0,24.7%
COVIDhub-ensemble,2016813.0,1614939,401874.0,24.9%
MIT_ISOLAT-Mixtures,2024457.2,1614939,409518.2,25.4%
UCF-AEM,2080828.0,1614939,465889.0,28.8%
COVIDhub-trained_ensemble,2087260.0,1614939,472321.0,29.2%
JHU_IDD-CovidSP,2115272.4,1614939,500333.4,31.0%
UMich-RidgeTfReg,2226518.5,1614939,611579.5,37.9%
FDANIHASU-Sweight,2228810.6,1614939,613871.6,38.0%
MOBS-GLEAM_COVID,2242917.6,1614939,627978.6,38.9%
JHU_CSSE-DECOM,2245685.0,1614939,630746.0,39.1%
QJHong-Encounter,2288195.4,1614939,673256.4,41.7%
TTU-squider,2327025.5,1614939,712086.5,44.1%
OliverWyman-Navigator,2342449.0,1614939,727510.0,45.0%
IowaStateLW-STEM,2486409.0,1614939,871470.0,54.0%
IBF-TimeSeries,2491447.0,1614939,876508.0,54.3%
COVIDhub-baseline,2528706.0,1614939,913767.0,56.6%
Covid19Sim-Simulator,2530218.5,1614939,915279.5,56.7%
CU-select,2532897.0,1614939,917958.0,56.8%
CEID-Walk,2581262.5,1614939,966323.5,59.8%
DDS-NBDS,9917913.5,1614939,8302974.5,514.1%
Google_Harvard-CPF,,1614939,,
JHU_UNC_GAS-StatMechPool,,1614939,,
