,predicted_cases,actual_cases,error,perc_error
USC-SI_kJalpha,6099836.0,4759408,1340428.0,28.2%
JHU_IDD-CovidSP,7044194.2,4759408,2284786.2,48.0%
UCLA-SuEIR,7805463.6,4759408,3046055.6,64.0%
UCF-AEM,7920214.0,4759408,3160806.0,66.4%
JHUAPL-Bucky,8192026.9,4759408,3432618.9,72.1%
Covid19Sim-Simulator,8299203.5,4759408,3539795.5,74.4%
LANL-GrowthRate,8674692.0,4759408,3915284.0,82.3%
IBF-TimeSeries,9233620.7,4759408,4474212.7,94.0%
COVIDhub-baseline,9390468.0,4759408,4631060.0,97.3%
CovidAnalytics-DELPHI,9473362.0,4759408,4713954.0,99.0%
IowaStateLW-STEM,9494416.0,4759408,4735008.0,99.5%
CU-select,9910536.0,4759408,5151128.0,108.2%
Columbia_UNC-SurvCon,10529996.0,4759408,5770588.0,121.2%
