,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,12827,17090.0,20315.0,15847.1,14883.0,26135.0,14580.0,,15824.4,11721.0,,16202.5,,13340.0,21170.0,15132.5,13507.0,20541.8,15205.0,9909.9,8431.5,13623.3,16231.6,20868.4,13240.3,16238.0,11438.0,,15340.2,15777.0,23232.6,,22035.0,13642.0,13161.7,,4263.0,7488.0,3020.1,2056.0,13308.0,1753.0,,2997.4,-1106.0,,3375.5,,513.0,8343.0,2305.5,680.0,7714.8,2378.0,-2917.1,-4395.5,796.3,3404.6,8041.4,413.3,3411.0,-1389.0,,2513.2,2950.0,10405.6,,9208.0,815.0,334.7,,False,True,True,False,True,,True,True,,True,,True,False,True,True,False,True,True,False,True,True,False,True,True,True,,True,True,False,,False,True,True,
Alaska,1858,2292.0,617.5,2221.8,1824.0,4740.0,1226.0,,2102.9,632.0,,731.2,,2283.4,,2199.1,2836.0,1433.2,919.5,1251.0,1419.0,1568.7,1275.7,2101.0,1918.2,1927.0,2593.0,,1402.5,2367.0,915.0,,2766.1,1644.0,1635.6,,434.0,-1240.5,363.8,-34.0,2882.0,-632.0,,244.9,-1226.0,,-1126.8,,425.4,,341.1,978.0,-424.8,-938.5,-607.0,-439.0,-289.3,-582.3,243.0,60.2,69.0,735.0,,-455.5,509.0,-943.0,,908.1,-214.0,-222.4,,False,True,True,False,False,,True,False,,False,,True,,True,False,True,False,False,False,True,False,True,True,True,False,,False,False,False,,False,True,True,
Arizona,20384,32460.0,29934.6,32777.3,22979.0,37195.0,21134.0,,30119.0,36546.0,,19038.9,,19988.0,38318.0,17339.2,25687.0,45174.6,12854.0,22271.0,14195.5,22461.7,14171.4,34832.3,19993.8,28068.0,7372.0,,23954.7,22487.0,45520.8,,15251.7,26711.0,19654.9,,12076.0,9550.6,12393.3,2595.0,16811.0,750.0,,9735.0,16162.0,,-1345.1,,-396.0,17934.0,-3044.8,5303.0,24790.6,-7530.0,1887.0,-6188.5,2077.7,-6212.6,14448.3,-390.2,7684.0,-13012.0,,3570.7,2103.0,25136.8,,-5132.3,6327.0,-729.1,,True,False,True,False,True,,True,False,,True,,True,False,True,True,False,True,True,True,True,True,False,True,True,False,,True,True,False,,True,True,True,
Arkansas,6633,12996.0,11278.4,13353.5,12607.0,23033.0,11950.0,,13891.7,14304.0,,10647.6,,12265.9,19351.0,17283.9,12235.0,13716.5,5736.5,11799.7,8298.5,9738.4,14764.4,12517.8,12485.3,13799.0,14681.0,,12712.7,11282.0,9872.0,,14629.8,10231.0,12902.5,,6363.0,4645.4,6720.5,5974.0,16400.0,5317.0,,7258.7,7671.0,,4014.6,,5632.9,12718.0,10650.9,5602.0,7083.5,-896.5,5166.7,1665.5,3105.4,8131.4,5884.8,5852.3,7166.0,8048.0,,6079.7,4649.0,3239.0,,7996.8,3598.0,6269.5,,True,False,True,False,True,,False,False,,True,,True,False,False,True,False,True,True,True,True,False,True,True,False,False,,True,True,True,,False,True,True,
California,83350,143974.0,110286.4,138746.0,94903.0,175597.0,108396.0,,131518.3,42820.0,,70289.8,,78249.4,122054.0,89292.3,103701.0,213392.2,43960.0,76797.5,71386.5,97466.4,59418.1,178943.9,85677.1,122226.0,31618.0,,81204.5,107637.0,264571.5,,44569.4,112009.0,68888.3,,60624.0,26936.4,55396.0,11553.0,92247.0,25046.0,,48168.3,-40530.0,,-13060.2,,-5100.6,38704.0,5942.3,20351.0,130042.2,-39390.0,-6552.5,-11963.5,14116.4,-23931.9,95593.9,2327.1,38876.0,-51732.0,,-2145.5,24287.0,181221.5,,-38780.6,28659.0,-14461.7,,True,True,True,False,True,,True,True,,True,,True,True,True,True,False,True,True,True,True,True,False,True,True,True,,True,True,False,,True,True,True,
Colorado,14479,17454.0,7629.7,17303.4,15246.0,30796.0,17065.0,,17174.6,15321.0,,13011.7,,14519.6,15461.0,8518.5,17652.0,19156.3,6417.0,11421.5,12214.0,15171.0,9620.1,15098.2,14466.9,16689.0,18258.0,,14467.8,16840.0,5407.3,,11316.0,17655.0,15781.4,,2975.0,-6849.3,2824.4,767.0,16317.0,2586.0,,2695.6,842.0,,-1467.3,,40.6,982.0,-5960.5,3173.0,4677.3,-8062.0,-3057.5,-2265.0,692.0,-4858.9,619.2,-12.1,2210.0,3779.0,,-11.2,2361.0,-9071.7,,-3163.0,3176.0,1302.4,,False,True,True,False,True,,True,True,,True,,True,True,False,False,False,False,False,True,True,False,True,True,True,False,,True,True,False,,False,False,True,
Connecticut,12609,15930.0,8946.2,15813.1,12848.0,28585.0,12961.0,,13681.0,10484.0,,7320.5,,11256.2,13535.0,6923.8,14265.0,14879.8,8345.0,8763.3,7650.0,11476.0,13348.3,17505.3,12167.5,13468.0,11344.0,,14237.2,16007.0,12577.7,,19667.7,9107.0,13230.6,,3321.0,-3662.8,3204.1,239.0,15976.0,352.0,,1072.0,-2125.0,,-5288.5,,-1352.8,926.0,-5685.2,1656.0,2270.8,-4264.0,-3845.7,-4959.0,-1133.0,739.3,4896.3,-441.5,859.0,-1265.0,,1628.2,3398.0,-31.3,,7058.7,-3502.0,621.6,,False,True,True,False,True,,True,True,,False,,True,True,False,True,True,False,False,False,True,True,False,True,True,True,,True,False,True,,False,False,True,
Delaware,3845,5680.0,2170.4,5611.2,3922.0,8269.0,3678.0,,4761.7,3431.0,,3928.3,,3888.2,4075.0,1558.3,5716.0,4148.7,3087.0,3459.6,2945.0,3680.6,3405.6,4192.7,4029.5,4609.0,4189.0,,3814.6,5978.0,5444.2,,4171.8,4427.0,4513.4,,1835.0,-1674.6,1766.2,77.0,4424.0,-167.0,,916.7,-414.0,,83.3,,43.2,230.0,-2286.7,1871.0,303.7,-758.0,-385.4,-900.0,-164.4,-439.4,347.7,184.5,764.0,344.0,,-30.4,2133.0,1599.2,,326.8,582.0,668.4,,True,True,True,False,True,,True,True,,True,,True,True,False,False,True,True,True,True,True,True,True,True,True,True,,True,False,True,,True,True,True,
District of Columbia,1682,1838.0,1821.6,1800.9,1583.0,3385.0,1336.0,,1800.1,1808.0,,1350.4,,1554.2,2108.0,1459.9,2173.0,2280.7,1201.5,1453.8,1065.0,1365.0,,,,1834.0,874.0,,1611.8,1485.0,2252.5,,,1748.0,2122.9,,156.0,139.6,118.9,-99.0,1703.0,-346.0,,118.1,126.0,,-331.6,,-127.8,426.0,-222.1,491.0,598.7,-480.5,-228.2,-617.0,-317.0,,,,152.0,-808.0,,-70.2,-197.0,570.5,,,66.0,440.9,,True,True,True,False,False,,True,True,,False,,True,False,False,False,False,False,False,False,False,,,,True,False,,True,False,False,,,True,False,
Florida,81745,101156.0,69850.1,100192.3,86715.0,155546.0,76756.0,,88524.5,101557.0,,68445.2,,80459.0,99678.0,76018.1,100203.0,98951.6,40553.5,76496.8,65831.0,76494.5,90197.0,121303.0,80208.2,97253.0,84940.0,,87543.7,94541.0,94908.1,,110764.9,88200.0,66519.5,,19411.0,-11894.9,18447.3,4970.0,73801.0,-4989.0,,6779.5,19812.0,,-13299.8,,-1286.0,17933.0,-5726.9,18458.0,17206.6,-41191.5,-5248.2,-15914.0,-5250.5,8452.0,39558.0,-1536.8,15508.0,3195.0,,5798.7,12796.0,13163.1,,29019.9,6455.0,-15225.5,,True,True,True,False,True,,True,False,,True,,True,True,True,True,True,False,True,True,True,True,False,True,True,True,,True,True,True,,False,True,True,
